keys,es-419
Text/11/text,"La frontera de la Papa está en [pulse freq=3][color=CRIMSON]caos[/color][/pulse]. Papas aterrorizadas inundan los puestos de control, desesperadas por escapar tras la filtración de documentos."
Text/12/text,Te escabulles con Sasha. [wave amp=20 freq=3][color=CHARTREUSE]¡Tenemos que seguir adelante![/color][/wave] La gente ahora sabe la verdad.
Text/13/text,"Ya no pueden silenciar la verdad. Si logramos infiltrar la instalación [color=DARK_VIOLET]Reserva de Raíces[/color] y transmitir pruebas, esto [tornado radius=3 freq=2][color=CHARTREUSE]encenderá la revolución[/color][/tornado]."
Text/14/text,Ese lugar es una fortaleza. Y ahora tenemos a un [color=YELLOW]exagente de aduanas[/color] entre nosotros. Sus ojos se entrecierran hacia ti con sospecha.
Choice/15/text,"Entiendo tu duda, pero estoy comprometido con esta causa."
Choice/16/text,Ya lo he sacrificado todo. No me echaré atrás ahora.
Text/17/text,Lindas palabras. Pero ya las hemos oído antes.
Text/18/text,"Ellos nos ayudaron a conseguir los documentos. Eso es acción, no palabras."
Text/19/text,"Ya no puedo volver a ser una papa leal. Bienvenido a la resistencia, camarada."
Text/1a_rescue1/text,Un explorador se acerca corriendo. ¡La encontramos! ¡[color=CHARTREUSE]Sasha está en el bloque de detención![/color]
Text/1a_rescue2/text,Se están preparando para... [tornado radius=3 freq=2][color=CRIMSON]procesarla[/color][/tornado]... ¡en menos de una hora!
Text/1a_rescue3/text,Tenemos que salvarla. [pulse freq=2][color=CHARTREUSE]Ella empezó todo esto.[/color][/pulse] No nos iremos sin ella.
Text/1a_rescue4/text,¡[wave amp=25 freq=3][color=YELLOW]Atraviesa la instalación a toda velocidad![/color][/wave] ¡Alcanza a Sasha antes de que sea demasiado tarde!
Text/1a_rescue_fail1/text,Tropiezas. ¡El camino está bloqueado por guardias!
Text/1a_rescue_fail2/text,Viktor irrumpe por una puerta lateral. ¡[color=CHARTREUSE]¡VE! ¡Yo los detendré![/color]
Text/1a_rescue_fail3/text,Por Elena. Por todos ellos. ¡[color=STEEL_BLUE]No dejaré que muera otro más![/color]
Text/1a_rescue_fail4/text,Murphy tira de una alarma de incendios. ¡[color=CHARTREUSE]Por Tommy![/color] ¡Los aspersores ciegan a los guardias!
Text/1a_rescue_fail5/text,¡[color=STEEL_BLUE]Crearé una distracción. Sácala de ahí![/color]
Text/1a_rescue_fail6/text,"¡Una [color=YELLOW]cinta transportadora de procesamiento se atasca[/color], arrojando chispas y distrayendo a los guardias!"
Text/1a_rescue_fail7/text,El destino —o los fantasmas de los procesados— te concede una segunda oportunidad.
Text/1a_rescue5/text,"Sasha levanta la vista de su celda, magullada pero entera. Sus ojos se abren de par en par. ¡[color=CHARTREUSE]Viniste.[/color]"
Text/1a_rescue6/text,Claro que vine. [color=CHARTREUSE]Terminaremos esto juntos.[/color]
Choice/1a_rescue7/text,Tenía miedo de no volver a verte.
Choice/1a_rescue8/text,Nos tenías preocupados a morir. No vuelvas a hacer eso.
Choice/1a_rescue9/text,Tenemos trabajo que hacer. Idaho está esperando.
Text/1a_rescue10/text,[color=CHARTREUSE]Sasha te abraza brevemente.[/color] Sabía que vendrías. Nunca lo dudé.
Text/1a_rescue11/text,Ahora hagamos que paguen por todos los que se han llevado. [color=CHARTREUSE]Juntos.[/color]
Text/1a_rescue12/text,Sasha esboza una sonrisa débil a pesar de su dolor. [color=STEEL_BLUE]Lo intentaré.[/color] Pero algunas cosas valen el riesgo.
Text/1a_rescue13/text,Que estés aquí lo demuestra. Ahora terminemos con esto.
Text/1a_rescue14/text,"Sasha asiente, su determinación reavivada. [color=CHARTREUSE]Tienes razón.[/color] El sentimentalismo puede esperar."
Text/1a_rescue15/text,Idaho cree que ha ganado. Mostrémosle lo equivocado que está.
Text/1a/text,"Después de una tensa infiltración, tu equipo se encuentra en el corazón de [color=DARK_VIOLET]Reserva Raíz[/color], con la [pulse freq=3][color=CRIMSON]horrible maquinaria de opresión[/color][/pulse] al descubierto."
Text/1b/text,"[wave amp=25 freq=3][color=RED]Las alarmas suenan[/color][/wave] mientras los guardias se apresuran a responder a tu intrusión. Corres por los pasillos, esquivando sistemas de seguridad."
Text/1c/text,"Una pantalla parpadea. ""Vaya, vaya, el [color=CRIMSON]traidor[/color] regresa con escoria rebelde."""
Text/1d/text,¿Creíste que podrías detener el progreso de Spud? [color=DARK_VIOLET]Reserva Raíz[/color] es la savia de esta nación.
Text/1e/text,Pero no te preocupes. Seguirás sirviendo a Spud... [tornado radius=4 freq=3][color=DARK_VIOLET]¡en las cubas de procesamiento![/color][/tornado]
Text/1f/text,La pantalla se apaga de repente.
Text/20/text,"Te giras hacia los demás con determinación. ""¡Tenemos que llegar al búnker de Idaho. ¡Ahora!"""
Text/158/text,¡Las fuerzas de seguridad se acercan! [pulse freq=3][color=YELLOW]¡Ábrete paso a la fuerza![/color][/pulse]
Text/21_fail1/text,Los guardias se acercan desde todas direcciones. [color=CRIMSON]¡No hay adónde correr![/color]
