keys,bg
Text/50/text,"Задоволителна работа днес, кълн. Помни, ефективността е ключова. Имаме квоти за изпълнение."
Text/51/text,"Не забравяй да си вземеш дажбата от [wave amp=15 freq=2][color=DARK_VIOLET]Коренов Резерв[/color][/wave]. Знаеш какво казва радиото, това е вкусът на бъдещето на Картофия!"
Text/52/text,"Докато събираш нещата си, малка бележка се изплъзва из работните ти документи."
Text/52b/text,Не беше там тази сутрин. Някой я е поставил [color=YELLOW]по време на смяната ти[/color].
Text/53/text,"[color=GOLD]Не всичко е такова, каквото изглежда. Корените на нашата нация са изгнили.[/color]"
Text/53b/text,"[color=GOLD]Следвай следата, но внимавай да не бъдеш заглушен.[/color]"
Text/53c/text,[color=GOLD]Гледай кой яде [/color][color=DARK_VIOLET]Резерва[/color][color=GOLD]. Гледай кой отказва.[/color]
Text/53d/text,[color=GOLD]- [/color][color=CHARTREUSE]Приятел[/color]
Choice/53e/text,"""Дръж бележката скрита - разследвай тихо"""
Choice/53f/text,"""Унищожи бележката - това може да е тест"""
Choice/53g/text,"""Покажи бележката на Ръсет веднага"""
Text/53h/text,Сгъваш бележката внимателно и я пъхаш в джоба си. [color=CHARTREUSE]Някой протяга ръка.[/color]
Text/53i/text,"Но кой? И защо ти, още на първия си ден?"
Text/53j/text,Късаш бележката на малки парченца
Text/53k/text,"Ръсет каза, че кълнове, които задават въпроси, биват ""преназначавани"". По-добре да не рискуваш."
Text/53l/text,"Хващаш Ръсет преди да си тръгне. ""Сър? Намерих това в документите си..."""
Text/53m/text,"Ръсет грабва бележката, прочита я. Изражението му трепва - [color=YELLOW]дали не беше разпознаване?[/color]"
Text/53n/text,"Пропаганда. Бунтовници, опитващи се да корумпират нови служители. [color=DARK_ORANGE]Постъпи правилно, като ми донесе това.[/color]"
Text/53o/text,"Той прибира бележката в джоба си. Забрави, че някога си я виждал. И наблюдавай за всеки, който действа... [color=CRIMSON]подозрително[/color]."
Text/54/text,"Тази бележка... и начинът, по който Ръсет отговори на въпроса ми за [pulse freq=3][color=CRIMSON]отхвърлените картофи[/color][/pulse]..."
Text/54b/text,"""[color=VIOLET]Обработени. Според протокола.[/color]"" Какво изобщо означава това?"
Text/54c/text,"Тази бележка... тя каза, че корените са [color=CRIMSON]изгнили[/color]."
Text/54d/text,"Но Картофия е славна, нали? Това ни казаха. Това, в което вярвах."
Text/54e/text,"Изваждаш бележката, четейки я отново. ""[color=GOLD]Гледай кой яде Резерва. Гледай кой отказва.[/color]"""
Text/54f/text,Утре ще обърнеш внимание. [color=YELLOW]Някой се опитва да ти каже нещо.[/color]
Text/54g/text,"Лицето на Ръсет, когато прочете бележката. За момент той изглеждаше почти... [color=STEEL_BLUE]уплашен[/color]."
Text/54h/text,Какво всъщност е [color=DARK_VIOLET]Root Reserve[/color]? И защо някой би те предупредил за него?
Text/54i/text,"Бележката я няма, но думите остават. [color=YELLOW]Не всичко е такова, каквото изглежда.[/color]"
Text/54j/text,Може би унищожаването ѝ беше умният избор. Може би просто заглуши единствения си съюзник.
Text/55/text,Трябва да остана [color=YELLOW]нащрек[/color]. Тук се случва нещо повече от подпечатване на паспорти.
Choice/53e/disabled_text,
Choice/53f/disabled_text,
Choice/53g/disabled_text,
