keys,hu
main_menu_feedback,Visszajelzés és hibák
main_menu_version,Verzió 1.2.0
main_menu_new_game,Új játék
main_menu_continue,Folytatás
main_menu_level_select,Szint választás
main_menu_score_attack,Pontszámtámadás
main_menu_options,Beállítások
main_menu_credits,Stáblista
main_menu_exit,Kilépés
select_language,Nyelv
social_discord_tooltip,Csatlakozz Discordunkhoz!
social_steam_tooltip,Látogass meg minket a Steamen!
social_twitch_tooltip,Twitch integráció
twitch_status_disabled,Letiltva
twitch_status_no_viewers,Nincs néző a poolban
twitch_status_ready,{count} néző készen
twitch_connection_disabled,Letiltva
twitch_connection_disconnected,Kapcsolat bontva
twitch_connection_connected,Csatlakoztatva
twitch_connection_connecting,Csatlakozás...
options_menu_title,Beállítások
options_difficulty,Nehézség
options_difficulty_easy,Könnyű
options_difficulty_normal,Normál
options_difficulty_expert,Szakértő
options_music_volume,Zene hangereje
options_sfx_volume,Hangeffektek hangereje
options_camera_shake,Kamera rázás
options_back,Vissza
paused_menu_title,Szüneteltetve
shift_summary_title,MŰSZAK ÖSSZEGZÉS
shift_summary_continue,Folytatás
shift_summary_restart,Újraindítás
shift_summary_main_menu,Főmenü
shift_summary_submit_score,Pontszám beküldése
shift_summary_runner_stats,FUTÓ STATISZTIKÁK
shift_summary_document_stats,DOKUMENTUM STATISZTIKÁK
shift_summary_performance,TELJESÍTMÉNY
shift_summary_bonuses,BÓNUSZOK
_FORMAT KEYS,
time_format,{minutes}p {seconds}mp
_SHIFT SUMMARY DETAILS,
shift_complete_success,MŰSZAK {shift} TELJESÍTVE\nSIKER!
shift_complete_failure,MŰSZAK {shift} TELJESÍTVE\n{failure}
strike_limit_reached,SZTRÁJK HATÁR ELÉRVE!
quota_not_met,KVÓTA NEM TELJESÜLT!
shift_summary_title_with_difficulty,MŰSZAK ÖSSZEGZÉS\n{difficulty}
runner_stats_template,\nFUTÓ STATISZTIKÁK\nFutó próbálkozások: {runner_attempts}\nKilőtt rakéták: {fired}\nEltalált futók: {hit}\nTökéletes találatok: {perfect}\nTalálati arány: {rate}%
document_stats_template,DOKUMENTUM STATISZTIKÁK\nLepecsételt dokumentumok: {stamped}\nJóváhagyott krumplik: {approved}\nElutasított krumplik: {rejected}\nTökéletes pecsétek: {perfect_stamps}
bonus_stats_template,BÓNUSZOK\nFeldolgozási sebesség bónusz: {processing_speed_bonus}\nPecsét pontosság bónusz: {accuracy}\nTökéletes találat bónusz: {perfect_hit_bonus}\nTeljes pontszám bónusz: {total_score_bonus}
