keys,ko
Text/299_suppress1/text,저항군의 공격이 시작되며 혼돈이 발생합니다. 폭발이 검문소를 뒤흔듭니다.
Text/299_suppress2/text,"도망칠 수도, 숨을 수도 있었습니다. 대신, 당신은 [color=DARK_ORANGE]당신의 편을 선택했습니다[/color]."
Text/299_suppress3/text,러셋이 당신의 팔을 잡습니다. [pulse freq=2][color=YELLOW]지금이 기회야![/color][/pulse] 충성을 증명해!
Text/299_suppress4/text,저항군이 동쪽 문을 뚫으려 하고 있어! [color=CRIMSON]그들을 막아![/color]
Text/299_suppress5/text,당신은 무기를 꽉 쥡니다. 이들은 당신이 아는 사람일 수도 있습니다. 당신이 도왔던 사람들.
Text/299_suppress6/text,하지만 생존에는 대가가 따릅니다. [color=DARK_ORANGE]당신은 선택을 했습니다.[/color]
Text/299_suppress7/text,[pulse freq=3][color=CRIMSON]국가를 위해 싸워라![/color][/pulse] 저항군의 공격을 진압해!
Text/299_suppress8/text,"연기가 걷히자, 시체들이 땅에 널려 있습니다. 몇몇은 저항군 배지를 달고 있습니다."
Text/299_suppress9/text,[color=STEEL_BLUE]쓰러진 이들 사이에서 익숙한 얼굴들이 보입니다.[/color]
Text/299_suppress10/text,머피가 죽은 이들 사이에 누워 있습니다. 그의 눈은 허공을 응시합니다. 손에는 토미의 사진이 쥐어져 있습니다.
Text/299_suppress11/text,[color=STEEL_BLUE]그는 자신이 믿는 것을 위해 싸우다 죽었습니다. 당신은 그것을 죽이는 데 일조했습니다.[/color]
Text/300/text,저항군의 공격은 실패했습니다. 검문소는 그 어느 때보다 굳건히 서 있습니다. 그리고 당신은 당신의 자리를 지킵니다.
Text/301/text,[pulse freq=2][color=GOLD]아이다호 수상 만세![/color][/pulse] 스퍼드의 수호자! 반역자들의 정복자!
Text/302/text,화려한 예복을 입은 거대한 감자가 정예 경호원들의 호위를 받으며 장갑차에서 내립니다.
Text/303/text,아이다호는 차갑고 계산적인 눈으로 검문소를 둘러봅니다.
Text/304/text,러셋이 앞으로 달려가 깊이 허리 숙여 인사합니다. 수상님! 귀한 걸음 해주셔서 영광입니다!
Text/305/text,반역자들은 명령하신 대로 [color=DARK_VIOLET]처리되었습니다[/color]. 이번 분기 생산량은 40% 증가했습니다!
Text/306/text,그리고 이 자가 봉기 동안 충성을 지킨 장교인가?
Text/307/text,"예, 수상님. 흔들림 없는 헌신을 보였습니다. 의심스러운 활동을 보고했습니다. 모범적인 시민입니다."
Text/308/text,아이다호가 앞으로 나서서 당신의 가슴에 메달을 달아줍니다. [color=GOLD]황금 덩이줄기[/color]를요.
Text/309/text,탁월한 공로에 대하여. 당신은 [color=DARK_ORANGE]스퍼드에 대한 충성[/color]은 언제나 보상받는다는 것을 증명했습니다.
Choice/30a/text,"감사합니다, 수상님. 스퍼드에 영광을."
