keys,de
Text/a6/text,"Die Grenzanlage fühlt sich heute anders an. Angespannt. Sicherheitspatrouillen in größerer Zahl, während vorsichtiges Schweigen das Geplauder ersetzt."
Text/a7/text,Letzte Nacht wurden [pulse freq=2][color=CRIMSON]verbotene Materialien[/color][/pulse] entdeckt. Flugblätter mit Lügen über [color=DARK_VIOLET]Root Reserve[/color].
Text/a8/text,Wir implementieren [wave amp=15 freq=2][color=DARK_ORANGE]Bedrohungsstufe ORANGE Protokolle[/color][/wave]. Alle Beamten unterliegen Loyalitätsüberprüfungen. Alle Reisenden werden maximal überprüft.
Text/a9/text,Es funktioniert. Die Flugblätter verbreiten sich. Die Leute stellen Fragen über [color=DARK_VIOLET]Root Reserve[/color].
Text/aa/text,"Ich habe Quellen, die mir sagen, dass es ein Lieferprotokoll in Russets Büro gibt - Transportmanifeste, die [tornado radius=3 freq=2][color=CHARTREUSE]alles beweisen könnten[/color][/tornado]."
Text/ab/text,"Ich brauche deine Hilfe, um es zu bekommen. Heute Abend, nach der letzten Schicht. Kann ich auf dich zählen?"
Choice/ac/text,Ich bin dabei. Lass uns die Wahrheit aufdecken.
Choice/ad/text,"Ich weiß nicht, Sasha... das könnte gefährlich sein."
Text/ae/text,"Gott sei Dank. Ich wusste, du hast [color=CHARTREUSE]stärkere Wurzeln als die anderen[/color]. Wir treffen uns um Mitternacht."
Text/af/text,"Manchmal müssen wir [color=CHARTREUSE]riskieren, zerquetscht zu werden, um das Richtige zu tun[/color]. Denk darüber nach."
Text/b0/text,"[color=DARK_ORANGE]Loyalitätsprüfung[/color]. Bitte nenne deinen Namen und deine Dienstnummer. Dann sage mir, warum du Spud dienst."
Choice/b1/text,"Ich diene, um unsere Grenzen vor gefährlichen Einflüssen zu schützen."
Choice/b2/text,"Ich diene, um sicherzustellen, dass jeder eine faire Behandlung erhält."
Text/b3/text,"Gute Antwort. Spud braucht loyale Beschützer. Scanner zeigt grün. Weitermachen, Beamter."
Text/b4/text,"Die Augenbrauen des Beamten heben sich. Faire Behandlung? Scanner blinkt [color=DARK_ORANGE]bernsteinfarben[/color]. Denken Sie daran, unsere Hauptsorge ist Sicherheit, nicht Fairness."
Text/b5/text,Das heutige Kontingent wurde erhöht. Jeder mit verdächtigen Materialien ist für [color=DARK_VIOLET]spezielle Verarbeitung[/color] zu kennzeichnen.
Text/b6/text,Ich werde [color=DARK_ORANGE]deine Entscheidungen[/color] heute sehr genau beobachten.
Text/b7/text,"Heute Abend könnte alles verändern. Aber zuerst [color=YELLOW]überlebe den Tag, ohne Verdacht zu erregen[/color]."
Choice/ac/disabled_text,
Choice/b2/disabled_text,
Choice/b1/disabled_text,
Choice/ad/disabled_text,
