keys,vi
Text/299_suppress1/text,Hỗn loạn bùng nổ khi cuộc tấn công của phe kháng chiến bắt đầu. Tiếng nổ làm rung chuyển trạm kiểm soát.
Text/299_suppress2/text,"Bạn có thể chạy trốn. Bạn có thể ẩn nấp. Thay vào đó, bạn [color=DARK_ORANGE]chọn phe của mình[/color]."
Text/299_suppress3/text,Russet nắm lấy cánh tay bạn. [pulse freq=2][color=YELLOW]ĐÂY LÀ CƠ HỘI CỦA BẠN![/color][/pulse] Hãy chứng minh lòng trung thành của bạn!
Text/299_suppress4/text,Phe kháng chiến đang cố gắng đột nhập cổng phía đông! [color=CRIMSON]Ngăn chặn chúng![/color]
Text/299_suppress5/text,Bạn siết chặt vũ khí. Đây có thể là những người bạn quen biết. Những người bạn đã giúp đỡ.
Text/299_suppress6/text,Nhưng sự sống còn có cái giá của nó. [color=DARK_ORANGE]Bạn đã đưa ra lựa chọn của mình.[/color]
Text/299_suppress7/text,[pulse freq=3][color=CRIMSON]Chiến đấu vì Nhà nước![/color][/pulse] Đàn áp cuộc tấn công của phe kháng chiến!
Text/299_suppress8/text,"Khi khói tan, xác chết nằm la liệt trên mặt đất. Một số đeo huy hiệu kháng chiến."
Text/299_suppress9/text,[color=STEEL_BLUE]Bạn nhận ra những gương mặt trong số những người đã ngã xuống.[/color]
Text/299_suppress10/text,Murphy nằm trong số những người đã chết. Đôi mắt anh ta nhìn vô định. Bức ảnh của Tommy được nắm chặt trong tay anh ta.
Text/299_suppress11/text,[color=STEEL_BLUE]Anh ta chết vì chiến đấu cho điều mình tin tưởng. Bạn đã giúp giết chết nó.[/color]
Text/300/text,"Cuộc tấn công của phe kháng chiến đã thất bại. Trạm kiểm soát vẫn đứng vững, mạnh mẽ hơn bao giờ hết. Và bạn vẫn ở vị trí của mình."
Text/301/text,[pulse freq=2][color=GOLD]VẠN TUẾ THỦ TƯỚNG IDAHO![/color][/pulse] Người bảo vệ Spud! Kẻ đánh bại những kẻ phản bội!
Text/302/text,"Một củ khoai tây khổng lồ trong trang phục lộng lẫy bước xuống từ một chiếc xe bọc thép, được hộ tống bởi các vệ binh tinh nhuệ."
Text/303/text,"Idaho khảo sát trạm kiểm soát với đôi mắt lạnh lùng, tính toán."
Text/304/text,"Russet vội vã tiến lên, cúi đầu thật sâu. Thưa Thủ tướng! Chúng tôi rất vinh dự được đón tiếp ngài!"
Text/305/text,Những kẻ phản bội đã được [color=DARK_VIOLET]xử lý[/color] theo lệnh của ngài. Sản lượng đã tăng 40% trong quý này!
Text/306/text,Và đây là sĩ quan đã trung thành trong cuộc nổi dậy?
