keys,pt-BR
Text/50/text,"Trabalho satisfatório hoje, broto. Lembre-se, eficiência é fundamental. Temos cotas a cumprir."
Text/51/text,"Não se esqueça de pegar sua ração de [wave amp=15 freq=2][color=DARK_VIOLET]Reserva de Raiz[/color][/wave]. Você sabe o que o rádio diz, é o sabor do futuro de Spud!"
Text/52/text,"Enquanto você arruma suas coisas, um pequeno bilhete escorrega de entre seus papéis de trabalho."
Text/52b/text,Não estava lá esta manhã. Alguém o colocou [color=YELLOW]durante seu turno[/color].
Text/53/text,[color=GOLD]Nem tudo é o que parece. As raízes de nossa nação apodreceram.[/color]
Text/53b/text,"[color=GOLD]Siga a trilha, mas tome cuidado para não ser silenciado.[/color]"
Text/53c/text,[color=GOLD]Observe quem come a [/color][color=DARK_VIOLET]Reserva[/color][color=GOLD]. Observe quem recusa.[/color]
Text/53d/text,[color=GOLD]- [/color][color=CHARTREUSE]Um amigo[/color]
Choice/53e/text,"""Mantenha o bilhete escondido - investigue discretamente"""
Choice/53f/text,"""Destrua o bilhete - isso pode ser um teste"""
Choice/53g/text,"""Mostre o bilhete a Russet imediatamente"""
Text/53h/text,Você dobra o bilhete cuidadosamente e o guarda no bolso. [color=CHARTREUSE]Alguém está tentando entrar em contato.[/color]
Text/53i/text,"Mas quem? E por que você, logo no seu primeiro dia?"
Text/53j/text,Você rasga o bilhete em pedacinhos.
Text/53k/text,"Russet disse que brotos que fazem perguntas são ""remanejados"". Melhor não arriscar."
Text/53l/text,"Você alcança Russet antes que ele saia. ""Senhor? Encontrei isto em meus papéis..."""
Text/53m/text,"Russet arranca o bilhete, lê-o. Sua expressão vacila - [color=YELLOW]foi reconhecimento?[/color]"
Text/53n/text,Propaganda. Rebeldes tentando corromper novos oficiais. [color=DARK_ORANGE]Você fez bem em me trazer isto.[/color]
Text/53o/text,Ele guarda o bilhete no bolso. Esqueça que você um dia o viu. E observe qualquer um agindo... [color=CRIMSON]suspeito[/color].
Text/54/text,Aquele bilhete... e o jeito que Russet respondeu minha pergunta sobre [pulse freq=3][color=CRIMSON]batatas rejeitadas[/color][/pulse]...
Text/54b/text,"""[color=VIOLET]Processadas. De acordo com o protocolo.[/color]"" O que isso significa, afinal?"
Text/54c/text,Aquele bilhete... dizia que as raízes apodreceram [color=CRIMSON]podres[/color].
Text/54d/text,"Mas Spud é gloriosa, não é? Foi o que nos disseram. O que eu acreditava."
Text/54e/text,"Você tira o bilhete, lendo-o novamente. ""[color=GOLD]Observe quem come a Reserva. Observe quem recusa.[/color]"""
Text/54f/text,"Amanhã, você prestará atenção. [color=YELLOW]Alguém está tentando te dizer algo.[/color]"
Text/54g/text,"A face de Russet quando ele leu o bilhete. Por um instante, ele pareceu quase... [color=STEEL_BLUE]com medo[/color]."
Text/54h/text,O que é [color=DARK_VIOLET]Root Reserve[/color] de verdade? E por que alguém te avisaria sobre isso?
Text/54i/text,"O bilhete sumiu, mas as palavras persistem. [color=YELLOW]Nem tudo é o que parece.[/color]"
Text/54j/text,Talvez destruí-lo tenha sido a escolha inteligente. Talvez você tenha acabado de silenciar seu único aliado.
Text/55/text,Eu deveria ficar [color=YELLOW]alerta[/color]. Há mais acontecendo aqui do que carimbar passaportes.
Choice/53e/disabled_text,
Choice/53f/disabled_text,
Choice/53g/disabled_text,
