keys,en,cs,da,de,es,fi,fr,hu,id,it,nl,no,pl,pt,ro,sk,sv,tr,vi,ar,bg,el,es-419,ja,ko,pt-BR,ru,th,uk,zh-CN,zh-TW
dialogue_spud_being_called_1,"Next spud, your destiny awaits.","Další krok, tvůj osud čeká.","Næste skridt, din skæbne venter.","Nächster Schritt, dein Schicksal wartet.","Siguiente paso, tu destino te espera.","Seuraava askel, kohtalo odottaa.","Prochaine étape, ton destin t'attend.","Következő lépés, a sorsod vár.","Langkah selanjutnya, nasibmu menunggu.","Prossimo passo, il tuo destino ti aspetta.","Volgende stap, je lot wacht.","Neste steg, din skjebne venter.","Następny krok, twój los czeka.","Próximo passo, teu destino espera.","Următorul pas, destinul tău te așteaptă.","Ďalší krok, tvoj osud čaká.","Nästa steg, ditt öde väntar.","Sonraki adım, kaderin seni bekliyor.","Bước tiếp theo, số phận của bạn đang chờ.","Next spud, your destiny awaits.","Next spud, your destiny awaits.","Next spud, your destiny awaits.","Next spud, your destiny awaits.","Next spud, your destiny awaits.","Next spud, your destiny awaits.","Next spud, your destiny awaits.","Next spud, your destiny awaits.","Next spud, your destiny awaits.","Next spud, your destiny awaits.","Next spud, your destiny awaits.","Next spud, your destiny awaits."
dialogue_spud_being_called_2,"Front of queue, moment of truth approaches.","Vpředu ve frontě, moment pravdy se blíží.","Forrest i køen, sandheds øjeblik nærmer sig.","Front der Warteschlange, der Moment der Wahrheit naht.","Frente a la cola, el momento de la verdad se acerca.","Jonon kärjessä, totuuden hetki lähestyy.","En tête de la file, le moment de vérité approche.","A sor élén, az igazság pillanata közeledik.","Terdepan di antrian, momen kebenaran mendekat.","In testa alla fila, il momento della verità si avvicina.","Vooraan in de rij, het moment van waarheid nadert.","Fremst i køen, sannhetens øyeblikk nærmer seg.","Przodem w kolejce, chwila prawdy nadchodzi.","Frente da fila, momento da verdade se aproxima.","În fruntea cozii, momentul adevărului se apropie.","Vpredu v rade, moment pravdy sa blíži.","Längst fram i kön, sanningens ögonblick närmar sig.","Sıranın başında, gerçek anı yaklaşıyor.","Đầu hàng, khoảnh khắc sự thật đang đến gần.","Front of queue, moment of truth approaches.","Front of queue, moment of truth approaches.","Front of queue, moment of truth approaches.","Front of queue, moment of truth approaches.","Front of queue, moment of truth approaches.","Front of queue, moment of truth approaches.","Front of queue, moment of truth approaches.","Front of queue, moment of truth approaches.","Front of queue, moment of truth approaches.","Front of queue, moment of truth approaches.","Front of queue, moment of truth approaches.","Front of queue, moment of truth approaches."
dialogue_spud_being_called_3,"Step forward, chosen one of tuber-kind.","Postup vpřed, vyvolený z brambor.","Skridt fremad, den udvalgte af knoldvæsener.","Schritt vor, Auserwählter der Knollenart.","Adelante, elegido de la estirpe de tubérculos.","Astu eteenpäin, perunakunnan valittu.","Avance, élu de la tribu des tubercules.","Lépj előre, a gumós lények kiválasztottja.","Maju, yang terpilih dari keluarga umbi.","Avanti, prescelto della stirpe dei tuberi.","Stap vooruit, uitverkorene van de knollensoort.","Stig frem, den utvalgte av knokkelvesener.","Krok naprzód, wybrany z rodu bulw.","Avança, escolhido da estirpe dos tubérculos.","Înaintează, alesul neamului de tuberculi.","Postúp vpred, vyvolený z rodu hľúz.","Stig fram, vald av knölväsendet.","İleri doğru, yumru türünün seçilmişi.","Tiến lên, kẻ được chọn của giống khoai.","Step forward, chosen one of tuber-kind.","Step forward, chosen one of tuber-kind.","Step forward, chosen one of tuber-kind.","Step forward, chosen one of tuber-kind.","Step forward, chosen one of tuber-kind.","Step forward, chosen one of tuber-kind.","Step forward, chosen one of tuber-kind.","Step forward, chosen one of tuber-kind.","Step forward, chosen one of tuber-kind.","Step forward, chosen one of tuber-kind.","Step forward, chosen one of tuber-kind.","Step forward, chosen one of tuber-kind."
dialogue_spud_being_called_4,Congratulations! Your waiting succeeded.,Gratulujeme! Vaše čekání uspělo.,Tillykke! Din venten lykkedes.,Glückwunsch! Dein Warten hatte Erfolg.,¡Felicidades! Tu espera tuvo éxito.,Onnittelut! Odotuksesi onnistui.,Félicitations ! Ton attente a réussi.,Gratulálunk! A várakozásod sikeres volt.,Selamat! Penantianmu berhasil.,Congratulazioni! La tua attesa ha avuto successo.,Gefeliciteerd! Je wachten is geslaagd.,Gratulerer! Din venting har lyktes.,Gratulacje! Twoje czekanie się opłaciło.,Parabéns! Tua espera teve sucesso.,Felicitări! Așteptarea ta a avut succes.,Gratulujeme! Tvoje čakanie uspelo.,Gratulerar! Din väntan har lyckats.,Tebrikler! Beklemeniz başarılı oldu.,Chúc mừng! Sự chờ đợi của bạn đã thành công.,Congratulations! Your waiting succeeded.,Congratulations! Your waiting succeeded.,Congratulations! Your waiting succeeded.,Congratulations! Your waiting succeeded.,Congratulations! Your waiting succeeded.,Congratulations! Your waiting succeeded.,Congratulations! Your waiting succeeded.,Congratulations! Your waiting succeeded.,Congratulations! Your waiting succeeded.,Congratulations! Your waiting succeeded.,Congratulations! Your waiting succeeded.,Congratulations! Your waiting succeeded.
dialogue_spud_being_called_5,The Great Potato Bureaucracy summons you.,Velká brambořská byrokracie vás povolává.,Den Store Kartoffel Bureaukrati indkalder dig.,Die Große Kartoffel-Bürokratie ruft dich.,La Gran Burocracia de la Patata te convoca.,Suuri Perunabyrokratia kutsuu sinut.,La Grande Bureaucratie de la Pomme de Terre te convoque.,A Nagy Burgonya Bürokrácia hív téged.,Birokrasi Besar Kentang memanggilmu.,La Grande Burocrazia della Patata ti convoca.,De Grote Aardappel Bureaucratie roept je op.,Den Store Potet Byråkratiet innkaller deg.,Wielka Biurokracja Ziemniaka wzywa cię.,A Grande Burocracia da Batata te convoca.,Marea Birocrație a Cartofilor te convoacă.,Veľká Byrokracia Zemiakov ťa povoláva.,Den Stora Potatisbyråkratin kallar dig.,Büyük Patates Bürokrasisi seni çağırıyor.,Đại Quan Chế Khoai Tây triệu bạn.,The Great Potato Bureaucracy summons you.,The Great Potato Bureaucracy summons you.,The Great Potato Bureaucracy summons you.,The Great Potato Bureaucracy summons you.,The Great Potato Bureaucracy summons you.,The Great Potato Bureaucracy summons you.,The Great Potato Bureaucracy summons you.,The Great Potato Bureaucracy summons you.,The Great Potato Bureaucracy summons you.,The Great Potato Bureaucracy summons you.,The Great Potato Bureaucracy summons you.,The Great Potato Bureaucracy summons you.
dialogue_spud_being_called_6,"Advance, noble tuber! Papers await!","Postup, ušlechtilý brambore! Dokumenty čekají!","Fremad, ædle knold! Papirer venter!","Vorwärts, edle Knolle! Dokumente warten!","¡Avanza, noble tubérculo! ¡Los papeles esperan!","Eteenpäin, jalo mukulainen! Paperit odottavat!","Avance, noble tubercule ! Les papiers attendent !","Előre, nemes gumós! A papírok várnak!","Maju, umbi mulia! Dokumen menunggu!","Avanza, nobile tubero! I documenti attendono!","Vooruit, edele knol! Papieren wachten!","Fremover, edel knokkel! Papirene venter!","Naprzód, szlachetna bulwo! Dokumenty czekają!","Avança, nobre tubérculo! Os papéis esperam!","Înainte, nobilule tubercul! Hârtiile te așteaptă!","Vpred, šľachetná hľuza! Dokumenty čakajú!","Framåt, ädle knöl! Papperen väntar!","İleri, asil yumru! Belgeler bekliyor!","Tiến lên, khoai cao quý! Giấy tờ đang chờ!","Advance, noble tuber! Papers await!","Advance, noble tuber! Papers await!","Advance, noble tuber! Papers await!","Advance, noble tuber! Papers await!","Advance, noble tuber! Papers await!","Advance, noble tuber! Papers await!","Advance, noble tuber! Papers await!","Advance, noble tuber! Papers await!","Advance, noble tuber! Papers await!","Advance, noble tuber! Papers await!","Advance, noble tuber! Papers await!","Advance, noble tuber! Papers await!"
dialogue_spud_being_called_7,Move forth! The stamp grows restless.,Kupředu! Razítko začíná být netrpělivé.,Bevæg dig! Stemplet bliver utålmodigt.,Vorwärts! Der Stempel wird unruhig.,¡Muévete! El sello se impacienta.,Etene! Leima käy levottomaksi.,Avance ! Le tampon devient nerveux.,Mozogj! A pecsét türelmetlenné válik.,Bergerak! Stempel menjadi gelisah.,Muoviti! Il timbro diventa irrequieto.,Beweeg! Het stempel wordt nerveus.,Beveg deg! Stempelet blir utålmodig.,Ruszaj! Pieczęć staje się niespokojny.,Move-te! O carimbo fica inquieto.,Mișcă-te! Ștampila devine nerăbdătoare.,Pohyb! Pečiatka sa stáva netrpezlivou.,Rör dig! Stämpeln blir otålig.,Harekete geç! Damga sabırsızlanıyor.,Di chuyển! Con dấu trở nên bồn chồn.,Move forth! The stamp grows restless.,Move forth! The stamp grows restless.,Move forth! The stamp grows restless.,Move forth! The stamp grows restless.,Move forth! The stamp grows restless.,Move forth! The stamp grows restless.,Move forth! The stamp grows restless.,Move forth! The stamp grows restless.,Move forth! The stamp grows restless.,Move forth! The stamp grows restless.,Move forth! The stamp grows restless.,Move forth! The stamp grows restless.
dialogue_spud_being_called_8,Step lively! Form P-38B needs filling.,Pohybujte se svižně! Formulář P-38B potřebuje vyplnit.,Rør dig hurtigt! Formular P-38B skal udfyldes.,Rühre dich flott! Formular P-38B muss ausgefüllt werden.,¡Muévete con agilidad! El formulario P-38B necesita ser rellenado.,Liiku reippaasti! Lomake P-38B vaatii täyttämistä.,Bouge prestement ! Le formulaire P-38B nécessite d'être rempli.,Mozogj gyorsan! A P-38B űrlap kitöltésre vár.,Bergerak cepat! Formulir P-38B perlu diisi.,Muoviti agilmente! Il modulo P-38B necessita di essere compilato.,Beweeg vlot! Formulier P-38B moet worden ingevuld.,Beveg deg raskt! Skjema P-38B må fylles ut.,Poruszaj się sprawnie! Formularz P-38B wymaga wypełnienia.,Move-te com agilidade! O formulário P-38B precisa ser preenchido.,Mișcă-te rapid! Formularul P-38B necesită completare.,Pohybuj sa rýchlo! Formulár P-38B potrebuje vyplniť.,Rör dig snabbt! Formulär P-38B behöver fyllas i.,Çabuk hareket et! P-38B formu doldurulmayı bekliyor.,Di chuyển nhanh! Mẫu P-38B cần được điền.,Step lively! Form P-38B needs filling.,Step lively! Form P-38B needs filling.,Step lively! Form P-38B needs filling.,Step lively! Form P-38B needs filling.,Step lively! Form P-38B needs filling.,Step lively! Form P-38B needs filling.,Step lively! Form P-38B needs filling.,Step lively! Form P-38B needs filling.,Step lively! Form P-38B needs filling.,Step lively! Form P-38B needs filling.,Step lively! Form P-38B needs filling.,Step lively! Form P-38B needs filling.
dialogue_spud_being_called_9,"Come forward, fate requires your entry.","Pojď dopředu, osud vyžaduje tvůj vstup.","Kom fremad, skæbnen kræver din indgang.","Komm vor, das Schicksal verlangt deinen Eintrag.","Ven adelante, el destino requiere tu entrada.","Tule eteenpäin, kohtalo vaatii sinun saapumistasi.","Viens en avant, le destin exige ton entrée.","Gyere előre, a sors megköveteli a belépésedet.","Majulah, nasib menuntut kedatanganmu.","Vieni avanti, il destino richiede il tuo ingresso.","Kom naar voren, het lot eist je binnenkomst.","Kom fremover, skjebnen krever din inntreden.","Przyjdź naprzód, los wymaga twojego wejścia.","Vem adiante, o destino exige tua entrada.","Vino înainte, destinul îți cere intrarea.","Poď vpred, osud si vyžaduje tvoj vstup.","Kom framåt, ödet kräver din inträde.","İleri gel, kader senin girişini talep ediyor.","Tiến về phía trước, số phận đòi hỏi sự nhập cuộc của bạn.","Come forward, fate requires your entry.","Come forward, fate requires your entry.","Come forward, fate requires your entry.","Come forward, fate requires your entry.","Come forward, fate requires your entry.","Come forward, fate requires your entry.","Come forward, fate requires your entry.","Come forward, fate requires your entry.","Come forward, fate requires your entry.","Come forward, fate requires your entry.","Come forward, fate requires your entry.","Come forward, fate requires your entry."
dialogue_spud_being_called_10,"Approach the counter of judgment, spud.","Přibliž se k přepážce soudu, brambore.","Næm dig frem til dommens skranke, knold.","Nähere dich dem Schalter des Urteils, Knolle.","Acércate al mostrador del juicio, tubérculo.","Lähesty tuomion tiskiä, mukulainen.","Approche du comptoir du jugement, tubercule.","Közelíts a megítélés pultjához, gumós.","Dekati meja penilaian, umbi.","Avvicinati al bancone del giudizio, tubero.","Benader de balie van oordeel, knol.","Næm deg frem til dommens skranke, knokkel.","Zbliż się do lady wyroku, bulwo.","Aproxima-te do balcão do julgamento, tubérculo.","Apropie-te de ghișeul judecății, tubercul.","Priblíž sa k prepážke súdu, hľuza.","Närma dig domens disk, knöl.","Yargı bankosuna yaklaş, yumru.","Đến gần quầy phán quyết, khoai ơi.","Approach the counter of judgment, spud.","Approach the counter of judgment, spud.","Approach the counter of judgment, spud.","Approach the counter of judgment, spud.","Approach the counter of judgment, spud.","Approach the counter of judgment, spud.","Approach the counter of judgment, spud.","Approach the counter of judgment, spud.","Approach the counter of judgment, spud.","Approach the counter of judgment, spud.","Approach the counter of judgment, spud.","Approach the counter of judgment, spud."
