keys,hu
Text/11/text,"A Spud határ [pulse freq=3][color=CRIMSON]káoszban[/color][/pulse] van. Pánikba esett krumplik özönlik el az ellenőrzőpontokat, kétségbeesetten menekülve a kiszivárgott dokumentumok után."
Text/12/text,Átsurransz Sashával. [wave amp=20 freq=3][color=CHARTREUSE]Tovább kell haladnunk![/color][/wave] Az emberek most már ismerik az igazságot.
Text/13/text,"Többé nem hallgattathatják el az igazságot. Ha be tudunk szivárogni a [color=DARK_VIOLET]Gyökértartalék[/color] létesítménybe és bizonyítékokat sugározhatunk, az [tornado radius=3 freq=2][color=CHARTREUSE]lángra lobbantja a forradalmat[/color][/tornado]."
Text/14/text,Az a hely egy erőd. És most van köztünk egy [color=YELLOW]korábbi vámtiszt[/color]. Szemük gyanakodva szűkül össze feléd.
Choice/15/text,"Értem a kételyeiteket, de elkötelezett vagyok az ügy iránt."
Choice/16/text,Már mindent feláldoztam. Most nem hátrálok meg.
Text/17/text,Szép szavak. De ilyeneket már hallottunk korábban.
Text/18/text,"Segítettek nekünk megszerezni a dokumentumokat. Az tettek, nem szavak."
Text/19/text,"Most már nem térhetsz vissza, hogy lojális krumpli legyél. Üdvözlünk az ellenállásban, elvtárs."
Text/1a/text,"Egy feszült beszivárgás után csapatod a [color=DARK_VIOLET]Gyökértartalék[/color] szívében áll, az [pulse freq=3][color=CRIMSON]elnyomás szörnyű gépezetét[/color][/pulse] felfedve."
Text/1b/text,"[wave amp=25 freq=3][color=RED]Riasztók szólnak[/color][/wave], miközben az őrök sietnek reagálni a behatolásotokra. Folyosókon rohantok keresztül, kikerülve a biztonsági rendszereket."
Text/1c/text,"Egy képernyő villan fel. ""Nos, nos, a [color=CRIMSON]áruló[/color] visszatér a lázadó söpredékkel."""
Text/1d/text,"Azt hitted, megállíthatod Spud fejlődését? A [color=DARK_VIOLET]Gyökértartalék[/color] e nemzet életere."
Text/1e/text,De ne aggódj. Továbbra is szolgálni fogod Spudot... [tornado radius=4 freq=3][color=DARK_VIOLET]a feldolgozó tartályokban![/color][/tornado]
Text/1f/text,A képernyő hirtelen elsötétül.
Text/20/text,"A többiek felé fordulsz elszántan. ""El kell érnünk Idaho bunkerét. Most!"""
Text/21/text,"Csapatod átharcol a biztonsági őrök hullámain, épp hogy elkerülve az elfogást. Sasha ellenállói figyelemelterelést teremtenek, megtisztítva utatokat előre."
Text/22/text,Egy hajmeresztő szökés után a karbantartó alagutakon keresztül végre eléritek a biztonságos liftet Idaho privát bunkeréhez.
Text/23/text,Sashával és szövetségeseiddel az oldaladon végre szembesíted Idahót.
Text/24/text,"Vége van, Idaho. A titkaid lelepleződtek. Hogy ez hogyan végződik... [pulse freq=2]az rajtad múlik.[/pulse]"
Choice/25/text,Tárgyalj a hatalom békés átadásáról (Diplomáciai)
Choice/26/text,Követeld Idaho azonnali letartóztatását (Igazságszolgáltatás)
Choice/27/text,Gyakorolj önbíráskodást Idaho bűneiért (Bosszú)
Choice/28/text,Összpontosíts a Gyökértartalék infrastruktúrájának lebontására (Lebontás)
Text/29/text,"Idaho, ennek nem kell több vérontással végződnie. Ha együttműködsz..."
Text/2a/text,"Ó, te [color=STEEL_BLUE]idealista bolond[/color]. Azt hiszed, ez egy tárgyalás?"
Text/2b/text,"Idaho összetör egy gombot, és [color=RED]riasztók kezdenek szólni[/color]. ""Az egyetlen dolog, amit nektek adok, egy [color=DARK_VIOLET]egyirányú jegy a sütőkádakba![/color]"""
Text/2c/text,"Nem hiszem, Idaho. Őrök! Láttátok az aktát, [color=YELLOW]tudjátok, mit tett a családjaitokkal.[/color]"
Text/2d/text,Egy nagydarab őr előlép és gyorsan a földre löki Idahót.
Text/2e/text,Egy lövés visszhangzik a kamrában. A képernyő elsötétül.
Text/2f/text,"Idaho, Spud burgonyanépének nevében, [color=CHARTREUSE]le vagy tartóztatva![/color]"
Text/30/text,"Vége van. A nép beszélt. [color=CHARTREUSE]Új Spudot építünk, ahol gyökereink a földben vannak, nem a szenvedésben.[/color]"
Text/31/text,"[color=CRIMSON]Nem lesz alku, nem lesz kegyelem[/color] számodra, Idaho. Egy zsarnok igazságszolgáltatása minden, amit érdemelsz."
Text/32/text,Egy leszámolás. Az vagyok én. [color=CHARTREUSE]Minden feláldozott krumpliért visszavesszük a jövőnket![/color]
Text/33/text,"Felejtsétek el őt. Ő egy tünet, nem a betegség. [color=CHARTREUSE]Tépjetek ki minden gyökeret és szárat ebből a szörnyűségből.[/color]"
Text/34/text,Mennünk kell! Most!
Text/35/text,A [color=DARK_VIOLET]Gyökértartalék[/color] bukása változások tűzvészét lobbantja lángra egész Spudban.
Text/36/text,"Krumplik minden tartományban felkelnek, elfogadva egy [color=CHARTREUSE]új víziót nemzetük számára[/color]."
Text/37/text,"Amíg hűek maradunk gyökereinkhez, az ideálokhoz, amelyek idehoztak minket... [color=CHARTREUSE]találunk egy utat.[/color]"
