keys,no
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - OPPDATERINGSNOTATER
patch_1_2_0_personal_note_header,EN PERSONLIG MERKNAD FRA UTVIKLEREN
patch_1_2_0_personal_note,"Denne oppdateringen er dedikert til min lille, som tilbrakte de første månedene av livet på nyfødtintensiven – fra 1 pund ved fødselen til nå 20 pund med ren glede. Takk til alle som har blitt med på denne reisen – over 2000 spillere har nå opplevd Spud Customs!"
patch_1_2_0_visual_header,VISUELLE FORBEDRINGER
patch_1_2_0_visual_1,Integrering av animert kunst: Inkorporerte nye animerte GIF-er fra StagNation i åpningsscenene
patch_1_2_0_visual_2,Kunstoverhaling: Malte om de fem første scenene spillerne ser for forbedret visuell kvalitet
patch_1_2_0_visual_3,Dynamiske bakgrunner: Bakgrunnsvisualer endres nå etter hvert som vanskelighetsgraden øker
patch_1_2_0_story_header,HISTORIE OG NARRATIV
patch_1_2_0_story_1,Vedvarende valg: Narrative valg følger nå riktig med gjennom alle nivåer
patch_1_2_0_story_2,Visuell progresjon: Lagt til visuelle indikatorer for historieprogresjon i hovedspillscenene basert på nåværende vaktskiftnummer
patch_1_2_0_story_3,Fikser for forgrenende dialog: Fikset problemer med forgrenende dialog i de siste narrative scenene
patch_1_2_0_bugfix_header,FEILRETTINGER
patch_1_2_0_bugfix_1,Prestasjonssystem: Fikset sporing av prestasjoner – alle prestasjoner låses nå opp riktig
patch_1_2_0_bugfix_2,Ledertavle: Fikset problem der ledertavlen satt fast under lasting
patch_1_2_0_bugfix_3,Skjermristing: Skjermristing tilbakestilles nå riktig til utgangspunktet etter hver bruk
patch_1_2_0_bugfix_4,Vanskelighetsgradskalering: Fikset skaleringsfaktor for enkel modus
patch_1_2_0_bugfix_5,Bakgrunnsvisning: Fikset manglende bakgrunner under dialogscener
patch_1_2_0_bugfix_6,Tekstlesbarhet: Forbedret tekstfarge for bedre lesbarhet
patch_1_2_0_engagement_header,SPILLERENGASJEMENT
patch_1_2_0_engagement_1,Forespørsler om anmeldelser: Lagt til anmeldelsesforespørsler for demo- og fullversjonsspillere
patch_1_2_0_engagement_2,Fikser for oversettelser: Diverse oversettelsesforbedringer på tvers av støttede språk
patch_1_2_0_technical_header,TEKNISKE FORBEDRINGER
patch_1_2_0_technical_1,Utvidet språkstøtte: Støtter nå alle 31 Steam-støttede språk
patch_1_2_0_technical_2,Overhaling av oversettelsessystem: Omorganiserte oversettelsesfiler for bedre vedlikeholdbarhet
