keys,el
Text/11/text,"Τα σύνορα των Πατατών είναι σε [pulse freq=3][color=CRIMSON]χάος[/color][/pulse]. Πανικόβουλες πατάτες κατακλύζουν τα σημεία ελέγχου, απελπισμένες να διαφύγουν μετά τη διαρροή των εγγράφων."
Text/12/text,Γλιστράς μέσα με τη Σάσα. [wave amp=20 freq=3][color=CHARTREUSE]Πρέπει να συνεχίσουμε![/color][/wave] Ο κόσμος ξέρει την αλήθεια τώρα.
Text/13/text,"Δεν μπορούν να φιμώσουν την αλήθεια άλλο πια. Αν καταφέρουμε να διεισδύσουμε στην εγκατάσταση [color=DARK_VIOLET]Root Reserve[/color] και να μεταδώσουμε αποδείξεις, θα [tornado radius=3 freq=2][color=CHARTREUSE]πυροδοτήσει την επανάσταση[/color][/tornado]."
Text/14/text,Αυτό το μέρος είναι ένα φρούριο. Και τώρα έχουμε έναν [color=YELLOW]πρώην τελωνειακό υπάλληλο[/color] ανάμεσά μας. Τα μάτια τους στενεύουν και σε κοιτούν καχύποπτα.
Choice/15/text,"Κατανοώ την αμφιβολία σας, αλλά είμαι αφοσιωμένος σε αυτόν τον σκοπό."
Choice/16/text,Έχω ήδη θυσιάσει τα πάντα. Δεν θα υποχωρήσω τώρα.
Text/17/text,Ωραία λόγια. Αλλά τα έχουμε ξανακούσει.
Text/18/text,"Μας βοήθησαν να πάρουμε τα έγγραφα. Αυτό είναι πράξη, όχι λόγια."
Text/19/text,"Δεν μπορώ να γυρίσω πίσω και να είμαι μια πιστή πατάτα τώρα. Καλώς ήρθες στην αντίσταση, σύντροφε."
Text/1a_rescue1/text,Ένας ανιχνευτής τρέχει προς το μέρος μας. Την βρήκαμε! [color=CHARTREUSE]Η Σάσα είναι στο μπλοκ κράτησης![/color]
Text/1a_rescue2/text,Ετοιμάζονται να... [tornado radius=3 freq=2][color=CRIMSON]την επεξεργαστούν[/color][/tornado]... σε λιγότερο από μία ώρα!
Text/1a_rescue3/text,Πρέπει να την σώσουμε. [pulse freq=2][color=CHARTREUSE]Αυτή ξεκίνησε όλα αυτά.[/color][/pulse] Δεν φεύγουμε χωρίς αυτήν.
Text/1a_rescue4/text,[wave amp=25 freq=3][color=YELLOW]Τρέξτε μέσα στην εγκατάσταση![/color][/wave] Φτάστε στη Σάσα πριν να είναι αργά!
Text/1a_rescue_fail1/text,Σκοντάφτεις. Ο δρόμος μπροστά είναι μπλοκαρισμένος από φρουρούς!
Text/1a_rescue_fail2/text,Ο Βίκτορ εισβάλλει από μια πλαϊνή πόρτα. [color=CHARTREUSE]ΠΗΓΑΙΝΕ! Θα τους κρατήσω![/color]
Text/1a_rescue_fail3/text,Για την Έλενα. Για όλους αυτούς. [color=STEEL_BLUE]Δεν θα αφήσω άλλον να πεθάνει![/color]
Text/1a_rescue_fail4/text,Ο Μέρφι τραβάει έναν συναγερμό πυρκαγιάς. [color=CHARTREUSE]Για τον Τόμι![/color] Οι ψεκαστήρες τυφλώνουν τους φρουρούς!
Text/1a_rescue_fail5/text,[color=STEEL_BLUE]Θα δημιουργήσω αντιπερισπασμό. Βγάλ' την από εκεί![/color]
Text/1a_rescue_fail6/text,"Ένας [color=YELLOW]μεταφορικός ιμάντας επεξεργασίας μπλοκάρει[/color], εκτοξεύοντας σπίθες και αποσπώντας την προσοχή των φρουρών!"
Text/1a_rescue_fail7/text,Η μοίρα – ή τα φαντάσματα των επεξεργασμένων – σου δίνει μια δεύτερη ευκαιρία.
Text/1a_rescue5/text,"Η Σάσα σηκώνει το βλέμμα από το κελί της, μελανιασμένη αλλά άθικτη. Τα μάτια της ανοίγουν διάπλατα. [color=CHARTREUSE]Ήρθες.[/color]"
Text/1a_rescue6/text,Φυσικά ήρθα. [color=CHARTREUSE]Θα το τελειώσουμε μαζί.[/color]
Choice/1a_rescue7/text,Φοβόμουν ότι δεν θα σε ξαναέβλεπα ποτέ.
Choice/1a_rescue8/text,Μας έκανες να ανησυχήσουμε πολύ. Μην το ξανακάνεις αυτό.
Choice/1a_rescue9/text,Έχουμε δουλειά να κάνουμε. Το Αϊντάχο περιμένει.
Text/1a_rescue10/text,[color=CHARTREUSE]Η Σάσα σε τραβάει σε μια σύντομη αγκαλιά.[/color] Ήξερα ότι θα ερχόσουν. Ποτέ δεν αμφέβαλα.
Text/1a_rescue11/text,Τώρα ας τους κάνουμε να πληρώσουν για όλους όσους πήραν. [color=CHARTREUSE]Μαζί.[/color]
Text/1a_rescue12/text,Η Σάσα καταφέρνει ένα αδύναμο χαμόγελο μέσα στον πόνο της. [color=STEEL_BLUE]Θα προσπαθήσω.[/color] Αλλά κάποια πράγματα αξίζουν το ρίσκο.
Text/1a_rescue13/text,Το ότι είσαι εδώ το αποδεικνύει. Τώρα ας το τελειώσουμε αυτό.
Text/1a_rescue14/text,"Η Σάσα γνέφει, η αποφασιστικότητά της αναζωπυρώνεται. [color=CHARTREUSE]Έχεις δίκιο.[/color] Το συναίσθημα μπορεί να περιμένει."
Text/1a_rescue15/text,Ο Άινταχο νομίζει ότι νίκησε. Ας του δείξουμε πόσο λάθος κάνει.
Text/1a/text,"Μετά από μια τεταμένη διείσδυση, η ομάδα σου βρίσκεται στην καρδιά του [color=DARK_VIOLET]Αποθέματος Ρίζας[/color], τα [pulse freq=3][color=CRIMSON]φρικιαστικά μηχανήματα καταπίεσης[/color][/pulse] αποκαλύφθηκαν."
Text/1b/text,"[wave amp=25 freq=3][color=RED]Οι συναγερμοί ηχούν[/color][/wave] καθώς οι φρουροί σπεύδουν να ανταποκριθούν στην εισβολή σας. Τρέχετε μέσα από διαδρόμους, αποφεύγοντας συστήματα ασφαλείας."
Text/1c/text,"Μια οθόνη αναβοσβήνει. ""Ω, ω, ο [color=CRIMSON]προδότης[/color] επιστρέφει με επαναστάτες σκουπίδια."""
Text/1d/text,Νόμιζες ότι μπορούσες να σταματήσεις την πρόοδο του Spud; Το [color=DARK_VIOLET]Απόθεμα Ρίζας[/color] είναι η ζωοδότρα δύναμη αυτού του έθνους.
Text/1e/text,Αλλά μην ανησυχείς. Θα υπηρετήσεις ακόμα τον Spud... [tornado radius=4 freq=3][color=DARK_VIOLET]στις δεξαμενές επεξεργασίας![/color][/tornado]
Text/1f/text,Η οθόνη ξαφνικά μαυρίζει.
Text/20/text,"Στρέφεσαι στους άλλους με αποφασιστικότητα. ""Πρέπει να φτάσουμε στο καταφύγιο του Άινταχο. Τώρα!"""
Text/158/text,Δυνάμεις ασφαλείας πλησιάζουν! [pulse freq=3][color=YELLOW]Ανοίξτε δρόμο με τη βία![/color][/pulse]
Text/21_fail1/text,Φρουροί πλησιάζουν από κάθε κατεύθυνση. [color=CRIMSON]Δεν υπάρχει πουθενά να τρέξεις![/color]
Text/21_fail2/text,"Ο Βίκτορ εμφανίζεται πίσω από τους φρουρούς, η φωνή του ψυχρή σαν ατσάλι. [color=STEEL_BLUE]Κάτω τα όπλα. Τώρα.[/color]"
Text/21_fail3/text,Οι φρουροί διστάζουν - ο Βίκτορ ήταν ένας από τους δικούς τους. [color=CRIMSON]Το όνομα της Έλενας είναι σε αυτά τα μανιφέστα. Οι οικογένειές σας μπορεί να είναι οι επόμενες.[/color]
Text/21_fail4/text,Κάποιοι φρουροί κατεβάζουν τα όπλα τους. Άλλοι τρέπονται σε φυγή. Ο δρόμος καθαρίζει.
Text/21_fail5/text,"Μια έκρηξη συγκλονίζει την ανατολική πτέρυγα. Η φωνή του Μέρφι τρίζει στις επικοινωνίες: [color=CHARTREUSE]""Αυτή είναι η αντιπερισπασμός μου! ΚΙΝΗΘΕΙΤΕ!""[/color]"
Text/21_fail6/text,[color=STEEL_BLUE]Οι φρουροί διασκορπίζονται προς την έκρηξη. Ο Τόμι θα ήταν περήφανος.[/color]
Text/21_fail7/text,Η Σάσα επιτίθεται στον επικεφαλής φρουρό από πίσω. [color=CHARTREUSE]Δεν επέζησα από αυτό το κελί μόνο και μόνο για να σε δω να πεθαίνεις![/color]
Text/21_fail8/text,[color=STEEL_BLUE]ΤΡΕΞΕ! Το έχω![/color]
Text/21/text,"Η ομάδα σου μάχεται μέσα από κύματα ασφαλείας, αποφεύγοντας οριακά τη σύλληψη. Οι μαχητές της αντίστασης της Σάσα δημιουργούν αντιπερισπασμούς, ανοίγοντας τον δρόμο σας προς τα εμπρός."
Text/22/text,"Μετά από μια οδυνηρή απόδραση μέσα από σήραγγες συντήρησης, φτάνεις επιτέλους στον ασφαλή ανελκυστήρα προς το ιδιωτικό καταφύγιο του Άινταχο."
Text/23/text,"Με τη Σάσα και τους συμμάχους σου στο πλευρό σου, αντιμετωπίζεις τον Άινταχο επιτέλους."
Text/24/text,"Τελείωσε, Άινταχο. Τα μυστικά σου αποκαλύφθηκαν. Το πώς θα τελειώσει... [pulse freq=2]εξαρτάται από εσένα.[/pulse]"
Choice/25/text,Διαπραγματευτείτε μια ειρηνική μετάβαση εξουσίας (Διπλωματικό)
Choice/26/text,Απαιτήστε την άμεση σύλληψη του Άινταχο (Δικαιοσύνη)
Choice/27/text,Εφαρμόστε αυτοδικία για τα εγκλήματα του Άινταχο (Εκδίκηση)
Choice/28/text,Επικεντρωθείτε στην αποδόμηση της υποδομής της Root Reserve (Αποδόμηση)
Text/29/text,"Άινταχο, δεν χρειάζεται να τελειώσει με περισσότερο αιματοκύλισμα. Αν συνεργαστείς..."
Text/2a/text,"Ω, εσύ [color=STEEL_BLUE]ιδεαλιστή ανόητε[/color]. Νομίζεις ότι είναι διαπραγμάτευση;"
Text/2b/text,"Ο Άινταχο πατάει ένα κουμπί, και [color=RED]οι συναγερμοί αρχίζουν να ηχούν[/color]. ""Το μόνο που θα σου δώσω είναι ένα [color=DARK_VIOLET]εισιτήριο χωρίς επιστροφή στις φριτέζες![/color]"""
Text/2c/text,"Δεν το νομίζω, Άινταχο. Φρουροί! Είδατε τον φάκελο, [color=YELLOW]ξέρετε τι έκανε στις οικογένειές σας.[/color]"
Text/2d/text,Ένας ογκώδης φρουρός προχωρά και κλωτσάει γρήγορα τον Άινταχο στο έδαφος.
Text/2e/text,Ένας πυροβολισμός αντηχεί στον θάλαμο. Η οθόνη μαυρίζει.
Text/2f/text,"Άινταχο, στο όνομα των ανθρώπων-πατατών του Spud, [color=CHARTREUSE]είσαι υπό σύλληψη![/color]"
Text/30/text,"Τελείωσε. Ο λαός μίλησε. [color=CHARTREUSE]Θα χτίσουμε ένα νέο Spud όπου οι ρίζες μας θα είναι στο χώμα, όχι στον πόνο.[/color]"
Text/31/text,"Δεν θα υπάρξουν [color=CRIMSON]συμφωνίες, ούτε έλεος[/color] για σένα, Άινταχο. Η δικαιοσύνη ενός τυράννου είναι το μόνο που σου αξίζει."
Text/32/text,"Ένας απολογισμός. Αυτό είμαι. [color=CHARTREUSE]Για κάθε πατάτα που θυσιάστηκε, παίρνουμε πίσω το μέλλον μας![/color]"
Text/33/text,"Ξεχάστε τον. Είναι ένα σύμπτωμα, όχι η ασθένεια. [color=CHARTREUSE]Γκρεμίστε κάθε ρίζα και βλαστό αυτού του τερατουργήματος.[/color]"
Text/34/text,Πρέπει να φύγουμε! Τώρα!
Text/35/text,Η πτώση της [color=DARK_VIOLET]Root Reserve[/color] πυροδοτεί μια πυρκαγιά αλλαγής σε όλο το Spud.
Text/36/text,"Οι πατάτες σε κάθε επαρχία εξεγείρονται, αγκαλιάζοντας ένα [color=CHARTREUSE]νέο όραμα για το έθνος τους[/color]."
Text/37/text,"Όσο μένουμε πιστοί στις ρίζες μας, στα ιδανικά που μας έφεραν εδώ... [color=CHARTREUSE]θα βρούμε έναν τρόπο.[/color]"
Text/38/text,"Και έτσι, από τις στάχτες του παλιού Spud, ένα [color=CHARTREUSE]νέο έθνος αρχίζει να ριζώνει[/color]. Η βασιλεία της [color=DARK_VIOLET]Root Reserve[/color] τελείωσε."
Text/151/text,"[color=CHARTREUSE]Η Σάσα πλησιάζει, το χέρι της βρίσκει το δικό σου καθώς παρακολουθείτε μαζί τη νέα αυγή.[/color] Το χτίσαμε εμείς. Εσύ κι εγώ."
Text/152/text,"Όσο μένουμε πιστοί στις ρίζες μας, στα ιδανικά που μας έφεραν εδώ... [color=CHARTREUSE]θα βρούμε έναν τρόπο.[/color] Μαζί."
Text/153/text,[color=CHARTREUSE]Σφίγγεις το χέρι της. Μαζί.[/color]
