keys,bg
Text/11/text,"Картофената граница е в [pulse freq=3][color=CRIMSON]хаос[/color][/pulse]. Паникьосани картофи заливат контролно-пропускателните пунктове, отчаяни да избягат след изтичането на документите."
Text/12/text,Промушвате се със Саша. [wave amp=20 freq=3][color=CHARTREUSE]Трябва да продължим да напредваме![/color][/wave] Хората вече знаят истината.
Text/13/text,"Вече не могат да заглушат истината. Ако успеем да се инфилтрираме в съоръжението [color=DARK_VIOLET]„Коренов резерв“[/color] и да излъчим доказателства, това ще [tornado radius=3 freq=2][color=CHARTREUSE]запали революцията[/color][/tornado]."
Text/14/text,Това място е крепост. А сега имаме [color=YELLOW]бивш митнически агент[/color] сред нас. Очите им се присвиват подозрително към теб.
Choice/15/text,"Разбирам съмненията ви, но съм отдаден на тази кауза."
Choice/16/text,Вече пожертвах всичко. Няма да отстъпя сега.
Text/17/text,Красиви думи. Но сме ги чували и преди.
Text/18/text,"Те ни помогнаха да вземем документите. Това е действие, не думи."
Text/19/text,"Вече не мога да се върна към това да бъда лоялен картоф. Добре дошъл в съпротивата, другарю."
Text/1a_rescue1/text,Разузнавач се втурва. Намерихме я! [color=CHARTREUSE]Саша е в блока за задържане![/color]
Text/1a_rescue2/text,Подготвят се да... [tornado radius=3 freq=2][color=CRIMSON]я обработят[/color][/tornado]... след по-малко от час!
Text/1a_rescue3/text,Трябва да я спасим. [pulse freq=2][color=CHARTREUSE]Тя започна всичко това.[/color][/pulse] Няма да си тръгнем без нея.
Text/1a_rescue4/text,"[wave amp=25 freq=3][color=YELLOW]Преминете през съоръжението![/color][/wave] Стигнете до Саша, преди да е станало твърде късно!"
Text/1a_rescue_fail1/text,Препъвате се. Пътят напред е блокиран от пазачи!
Text/1a_rescue_fail2/text,Виктор нахлува през странична врата. [color=CHARTREUSE]ВЪРВИ! Аз ще ги задържа![/color]
Text/1a_rescue_fail3/text,За Елена. За всички тях. [color=STEEL_BLUE]Няма да позволя още един да умре![/color]
Text/1a_rescue_fail4/text,Мърфи дръпва пожарната аларма. [color=CHARTREUSE]За Томи![/color] Пръскачките заслепяват пазачите!
Text/1a_rescue_fail5/text,[color=STEEL_BLUE]Ще създам разсейване. Изведи я оттам![/color]
Text/1a_rescue_fail6/text,"[color=YELLOW]Конвейер за обработка засяда[/color], изсипвайки искри и разсейвайки пазачите!"
Text/1a_rescue_fail7/text,Съдбата – или призраците на обработените – ти дава втори шанс.
Text/1a_rescue5/text,"Саша вдига поглед от килията си, наранена, но несломена. Очите ѝ се разширяват. [color=CHARTREUSE]Дойде.[/color]"
Text/1a_rescue6/text,"Разбира се, че дойдох. [color=CHARTREUSE]Ще довършим това заедно.[/color]"
Choice/1a_rescue7/text,"Страхувах се, че никога повече няма да те видя."
Choice/1a_rescue8/text,Изкара ни акъла от притеснение. Недей да правиш това отново.
Choice/1a_rescue9/text,Имаме работа за вършене. Айдахо чака.
Text/1a_rescue10/text,"[color=CHARTREUSE]Саша те прегръща за кратко.[/color] Знаех, че ще дойдеш. Никога не съм се съмнявала."
Text/1a_rescue11/text,"Сега да ги накараме да платят за всеки, когото са отнели. [color=CHARTREUSE]Заедно.[/color]"
Text/1a_rescue12/text,Саша успява да се усмихне слабо през болката си. [color=STEEL_BLUE]Ще опитам.[/color] Но някои неща си струват риска.
Text/1a_rescue13/text,"Това, че си тук, го доказва. Сега да приключим с това."
Text/1a_rescue14/text,"Саша кима, решимостта ѝ се възражда. [color=CHARTREUSE]Прав си.[/color] Чувствата могат да почакат."
Text/1a_rescue15/text,"Айдахо си мисли, че е спечелил. Да му покажем колко греши."
Text/1a/text,"След напрегната инфилтрация, екипът ви стои в сърцето на [color=DARK_VIOLET]Резервата на Корените[/color], [pulse freq=3][color=CRIMSON]ужасяващата машина на потисничеството[/color][/pulse] разкрита."
Text/1b/text,"[wave amp=25 freq=3][color=RED]Аларми реват[/color][/wave], докато охраната се втурва да отговори на вашето нахлуване. Вие препускате през коридори, избягвайки системите за сигурност."
Text/1c/text,"Екран примигва и светва. ""Е, е, [color=CRIMSON]предателят[/color] се завръща с бунтовническа измет."""
Text/1d/text,"Мислехте ли, че можете да спрете прогреса на Спъд? [color=DARK_VIOLET]Резервата на Корените[/color] е жизнената сила на тази нация."
Text/1e/text,Но не се тревожете. Все пак ще служите на Спъд... [tornado radius=4 freq=3][color=DARK_VIOLET]в преработвателните вани![/color][/tornado]
Text/1f/text,Екранът внезапно почернява.
Text/20/text,"Обръщате се към останалите с решимост. ""Трябва да стигнем до бункера на Айдахо. Веднага!"""
Text/158/text,Силите за сигурност се приближават! [pulse freq=3][color=YELLOW]Пробийте си път![/color][/pulse]
Text/21_fail1/text,Охраната се приближава от всички посоки. [color=CRIMSON]Няма къде да бягате![/color]
Text/21_fail2/text,"Виктор се появява зад охраната, гласът му студен като стомана. [color=STEEL_BLUE]Спрете. Веднага.[/color]"
Text/21_fail3/text,Охраната се колебае – Виктор беше един от тях. [color=CRIMSON]Името на Елена е в тези манифести. Вашите семейства може да са следващите.[/color]
Text/21_fail4/text,Някои охранители свалят оръжията си. Други бягат. Пътят се изчиства.
Text/21_fail5/text,"Експлозия разтърсва източното крило. Гласът на Мърфи пращи по комуникациите: [color=CHARTREUSE]""Това е моето отвличане на вниманието! ДВИЖЕТЕ СЕ!""[/color]"
Text/21_fail6/text,[color=STEEL_BLUE]Охраната се разпръсва към експлозията. Томи би се гордял.[/color]
Text/21_fail7/text,"Саша поваля главния охранител отзад. [color=CHARTREUSE]Не оцелях в онази килия, само за да те гледам как умираш![/color]"
Text/21_fail8/text,[color=STEEL_BLUE]БЯГАЙТЕ! Аз ще се оправя![/color]
Text/21/text,"Вашата група си пробива път през вълни от охрана, като едва избягва залавяне. Бойците от съпротивата на Саша създават отвличания на вниманието, разчиствайки пътя ви напред."
Text/22/text,"След мъчително бягство през тунели за поддръжка, най-накрая достигате до защитения асансьор към личния бункер на Айдахо."
Text/23/text,"Със Саша и вашите съюзници до вас, най-накрая се изправяте срещу Айдахо."
Text/24/text,"Приключи, Айдахо. Тайните ти са разкрити. Как ще свърши това... [pulse freq=2]зависи от теб.[/pulse]"
Choice/25/text,Договори мирен преход на властта (Дипломатично)
Choice/26/text,Изискай незабавен арест на Айдахо (Справедливост)
Choice/27/text,Приложи саморазправа за престъпленията на Айдахо (Отмъщение)
Choice/28/text,Съсредоточи се върху демонтирането на инфраструктурата на Root Reserve (Разрушаване)
Text/29/text,"Айдахо, не е нужно да свършва с още кръвопролития. Ако сътрудничиш..."
Text/2a/text,"О, ти [color=STEEL_BLUE]идеалистичен глупако[/color]. Мислиш, че това са преговори?"
Text/2b/text,"Айдахо удря бутон и [color=RED]аларми започват да вият[/color]. ""Единственото, което ще ти дам, е [color=DARK_VIOLET]еднопосочен билет до фритюрниците![/color]"""
Text/2c/text,"Не мисля така, Айдахо. Пазачи! Видяхте досието, [color=YELLOW]знаете какво направи той на семействата ви.[/color]"
Text/2d/text,Едър пазач пристъпва напред и бързо рита Айдахо на земята.
Text/2e/text,Изстрел отекна в камерата. Екранът избледнява до черно.
Text/2f/text,"Айдахо, в името на картофения народ на Спъд, [color=CHARTREUSE]ти си арестуван![/color]"
Text/30/text,"Приключи. Народът се произнесе. [color=CHARTREUSE]Ще изградим нов Спъд, където корените ни са в почвата, а не в страданието.[/color]"
Text/31/text,"Няма да има [color=CRIMSON]сделки, нито милост[/color] за теб, Айдахо. Тиранинска справедливост е всичко, което заслужаваш."
Text/32/text,"Разплата. Това съм аз. [color=CHARTREUSE]За всеки пожертван картоф, ние си връщаме бъдещето![/color]"
Text/33/text,"Забрави го. Той е симптом, не болестта. [color=CHARTREUSE]Разрушете всеки корен и стъбло на това чудовище.[/color]"
Text/34/text,Трябва да вървим! Сега!
Text/35/text,Падането на [color=DARK_VIOLET]Root Reserve[/color] запалва пожар от промени из целия Спъд.
Text/36/text,"Картофите във всяка провинция се надигат, прегръщайки [color=CHARTREUSE]нова визия за своята нация[/color]."
Text/37/text,"Докато оставаме верни на корените си, на идеалите, които ни доведоха тук... [color=CHARTREUSE]ще намерим начин.[/color]"
Text/38/text,"И така, от пепелта на стария Спъд, една [color=CHARTREUSE]нова нация започва да пуска корени[/color]. Царството на [color=DARK_VIOLET]Root Reserve[/color] приключи."
Text/151/text,"[color=CHARTREUSE]Саша се приближава, ръката ѝ намира твоята, докато гледате заедно новата зора.[/color] Ние го построихме. Ти и аз."
Text/152/text,"Докато оставаме верни на корените си, на идеалите, които ни доведоха тук... [color=CHARTREUSE]ще намерим начин.[/color] Заедно."
Text/153/text,[color=CHARTREUSE]Стискаш ръката ѝ. Заедно.[/color]
Text/154/text,"[color=STEEL_BLUE]Саша стои до теб.[/color] Твоят огън запали искрата, която изгори тяхната империя."
Text/155/text,[color=STEEL_BLUE]Гневът се е охладил до решителност. Все още има работа за вършене.[/color]
Text/156/text,[color=STEEL_BLUE]Саша ви дарява окуражителна усмивка.[/color] Изминали сте дълъг път от онзи контролен пункт. Всички ние.
Text/157/text,"[color=STEEL_BLUE]Вината може никога да не избледнее напълно, но сте открили смисъл във възстановяването.[/color]"
Choice/15/disabled_text,
Choice/16/disabled_text,
Choice/25/disabled_text,
Choice/26/disabled_text,
Choice/27/disabled_text,
Choice/28/disabled_text,
Choice/1a_rescue7/disabled_text,
Choice/1a_rescue8/disabled_text,
Choice/1a_rescue9/disabled_text,
