keys,el
alert_border_runner,ΕΝΤΟΠΙΣΤΗΚΕ ΔΙΑΦΥΓΩΝ ΣΤΑ ΣΥΝΟΡΑ!\nΚάντε κλικ για εκτόξευση πυραύλου!
alert_rejected_fleeing,ΑΠΟΡΡΙΦΘΕΙΣΑ ΠΑΤΑΤΑ ΔΙΑΦΕΥΓΕΙ!\nΚάντε κλικ για εκτόξευση πυραύλου!
alert_runner_escaped,Ο ΔΡΑΠΕΤΗΣ ΕΞΕΦΥΓΕ!\nΠροστέθηκε ποινή!
citation_runner_escaped,Ένας παράνομος διασυνοριακός δραπέτευσε! Απέτυχες να τον αναχαιτίσεις εγκαίρως.
alert_points_deducted,Ο ΔΡΑΠΕΤΗΣ ΕΞΕΦΥΓΕ!\nΠροστέθηκε ποινή!\n-{penalty} πόντοι!
alert_perfect_hit,ΤΕΛΕΙΑ ΒΟΛΗ! +{perfect} πόντοι μπόνους ακρίβειας
alert_perfect_stamp,ΤΕΛΕΙΑ ΣΦΡΑΓΙΔΑ! +{points} πόντοι!
alert_combo,ΚΟΜΠΟ x{mult}! +{streak} πόντοι μπόνους κόμπο
alert_quota_met,"Το όριο επετεύχθη, η βάρδια ολοκληρώθηκε! \nΜπόνους: {bonus} πόντοι!"
alert_strike_removed,Η ποινή αφαιρέθηκε!
alert_correct_decision,"Κάνατε τη σωστή επιλογή, αξιωματικέ.\n+{points} πόντοι!"
alert_wrong_decision,"Προκαλέσατε άσκοπη ταλαιπωρία, αξιωματικέ...\n+1 Ποινή!"
alert_potato_should_be_approved,\nΑυτή η πατάτα πληροί όλες τις απαιτήσεις και θα έπρεπε να είχε εγκριθεί.
incorrect_decision,Λάθος απόφαση στην επεξεργασία εγγράφου.
alert_strike_out,Το μέγιστο όριο ποινών ξεπεράστηκε! Η βάρδιά σας τελείωσε.
ui_score,Σκορ: {score}
ui_quota,Όριο: {current} / {target}
ui_strikes,Ποινές: {current} / {max}
ui_click_megaphone,Κάντε κλικ στο μεγάφωνο για να καλέσετε την επόμενη πατάτα
ui_drag_document,Σύρετε το έγγραφο στο τραπέζι ελέγχου
ui_stamp_document,Επιλέξτε σφραγίδα για έγκριση ή απόρριψη
