keys,cs
Text/11/text,"Hranice Spudu je v [pulse freq=3][color=CRIMSON]chaosu[/color][/pulse]. Vyděšené brambory zaplavují kontrolní stanoviště, zoufale se snaží uniknout po úniku dokumentů."
Text/12/text,Proklouzneš s Sašou. [wave amp=20 freq=3][color=CHARTREUSE]Musíme pokračovat dál![/color][/wave] Lidé teď znají pravdu.
Text/13/text,"Už nemohou pravdu umlčet. Pokud se nám podaří infiltrovat zařízení [color=DARK_VIOLET]Kořenové Rezervy[/color] a vysílat důkazy, [tornado radius=3 freq=2][color=CHARTREUSE]zažehne to revoluci[/color][/tornado]."
Text/14/text,To místo je pevnost. A teď máme mezi sebou [color=YELLOW]bývalého celního agenta[/color]. Jejich oči se na tebe podezřívavě zúží.
Choice/15/text,"Chápu vaše pochybnosti, ale jsem této věci oddaný."
Choice/16/text,Už jsem obětoval všechno. Teď neustoupím.
Text/17/text,Hezká slova. Ale ty jsme už slyšeli dříve.
Text/18/text,"Pomohli nám získat dokumenty. To jsou činy, ne slova."
Text/19/text,"Teď se už nemůžeš vrátit k tomu být loajální brambor. Vítej v odboji, soudruhu."
Text/1a/text,"Po napjatém proniknutí stojí váš tým v srdci [color=DARK_VIOLET]Kořenové Rezervy[/color], [pulse freq=3][color=CRIMSON]hrůzné mašinérie útlaku[/color][/pulse] odhalené."
Text/1b/text,"[wave amp=25 freq=3][color=RED]Alarmy kvílí[/color][/wave] zatímco stráže spěchají reagovat na váš průnik. Proháníte se chodbami, vyhýbáte se bezpečnostním systémům."
Text/1c/text,"Obrazovka zabliká. ""No no, [color=CRIMSON]zrádce[/color] se vrací s rebelskou spodinou."""
Text/1d/text,"Myslel sis, že můžeš zastavit pokrok Spudu? [color=DARK_VIOLET]Kořenová Rezerva[/color] je životní silou tohoto národa."
Text/1e/text,Ale neboj se. Stále budeš sloužit Spudu... [tornado radius=4 freq=3][color=DARK_VIOLET]ve zpracovatelských kádích![/color][/tornado]
Text/1f/text,Obrazovka náhle zčerná.
Text/20/text,"Otočíš se k ostatním s odhodláním. ""Musíme se dostat do Idahova bunkru. Hned!"""
Text/21/text,"Vaše skupina se probojuje vlnami bezpečnostních složek, těsně unikne zajetí. Sašini odbojáři vytvářejí diverze, čistí vám cestu vpřed."
Text/22/text,Po strastiplném úniku údržbářskými tunely konečně dosáhnete bezpečnostního výtahu do Idahova soukromého bunkru.
Text/23/text,Se Sašou a svými spojenci po boku konečně konfrontuješ Idaha.
Text/24/text,"Je konec, Idaho. Tvá tajemství jsou odhalena. Jak to skončí... [pulse freq=2]to záleží na tobě.[/pulse]"
Choice/25/text,Vyjednat mírový přechod moci (Diplomatický)
Choice/26/text,Požadovat okamžité Idahovo zatčení (Spravedlnost)
Choice/27/text,Vykonat vigilantskou spravedlnost za Idahovy zločiny (Pomsta)
Choice/28/text,Zaměřit se na rozebrání infrastruktury Kořenové Rezervy (Demontáž)
Text/29/text,"Idaho, nemusí to skončit dalším krveprolitím. Pokud budeš spolupracovat..."
Text/2a/text,"Ach, ty [color=STEEL_BLUE]idealistický blázne[/color]. Myslíš si, že je to vyjednávání?"
Text/2b/text,"Idaho rozbije tlačítko a [color=RED]alarmy začnou kvílet[/color]. ""Jediné, co vám dám, je [color=DARK_VIOLET]jednosměrná cesta do fritovacích kádí![/color]"""
Text/2c/text,"Nemyslím si to, Idaho. Stráže! Viděli jste spis, [color=YELLOW]víte, co udělal vašim rodinám.[/color]"
Text/2d/text,Obrovská stráž vystoupí vpřed a rychle srazí Idaha k zemi.
Text/2e/text,Chodbou se rozlehne výstřel. Obrazovka potemní.
Text/2f/text,"Idaho, ve jménu bramborového lidu Spudu, [color=CHARTREUSE]jsi zatčen![/color]"
Text/30/text,"Je konec. Lid promluvil. [color=CHARTREUSE]Vybudujeme nový Spud, kde naše kořeny budou v půdě, ne v utrpení.[/color]"
Text/31/text,"Pro tebe [color=CRIMSON]nebudou žádné dohody, žádné slitování[/color], Idaho. Spravedlnost tyrana je vše, co si zasloužíš."
Text/32/text,Zúčtování. To jsem já. [color=CHARTREUSE]Za každou obětovanou bramboru si bereme zpět naši budoucnost![/color]
Text/33/text,"Zapomeňte na něj. Je symptomem, ne nemocí. [color=CHARTREUSE]Strhněte každý kořen a stonek této obludnosti.[/color]"
Text/34/text,Musíme jít! Hned!
Text/35/text,Pád [color=DARK_VIOLET]Kořenové Rezervy[/color] zažehne požár změny napříč Spudem.
Text/36/text,"Brambory v každé provincii povstávají, přijímají [color=CHARTREUSE]novou vizi pro svůj národ[/color]."
Text/37/text,"Dokud zůstaneme věrni našim kořenům, ideálům, které nás sem přivedly... [color=CHARTREUSE]najdeme cestu.[/color]"
Text/38/text,A tak z popela starého Spudu [color=CHARTREUSE]začíná zapouštět kořeny nový národ[/color]. Vláda [color=DARK_VIOLET]Kořenové Rezervy[/color] skončila.
Choice/15/disabled_text,
Choice/28/disabled_text,
Choice/27/disabled_text,
Choice/26/disabled_text,
Choice/25/disabled_text,
Choice/16/disabled_text,
Text/1a_rescue1/text,Zvěd přiběhne. Našli jsme ji! [color=CHARTREUSE]Saša je v zadržovacím bloku![/color]
Text/1a_rescue2/text,Připravují se ji... [tornado radius=3 freq=2][color=CRIMSON]zpracovat[/color][/tornado]... za necelou hodinu!
Text/1a_rescue3/text,Musíme ji zachránit. [pulse freq=2][color=CHARTREUSE]Ona to všechno začala.[/color][/pulse] Bez ní neodejdeme.
Text/1a_rescue4/text,"[wave amp=25 freq=3][color=YELLOW]Probojujte se zařízením![/color][/wave] Dostaňte se k Saše, než bude příliš pozdě!"
Text/1a_rescue_fail1/text,Klopýtnete. Cesta vpřed je zablokovaná strážemi!
