keys,tr
Text/131/text,"Sen savaş sürerken çömeliyorsun. Üzgünüm, Sasha. [color=STEEL_BLUE]Senin kadar cesur değilim[/color]."
Text/132/text,[color=CRIMSON]Terörist saldırısı[/color] püskürtüldü! Elebaşları şu anda [color=DARK_VIOLET]işleniyor[/color].
Text/133/text,"Şef Yukon direniş üyelerini zincirlerle sürüklüyor, Sasha da aralarında. ""Bu [color=CRIMSON]hainler[/color] [color=DARK_VIOLET]son işleme[/color] tabi tutulacak."""
Text/134/text,"Sasha gözlerinle buluşuyor. Morlukları olmasına rağmen, bakışlarında [wave amp=15 freq=2][color=CHARTREUSE]hiçbir yargı yok, sadece üzüntü var[/color][/wave]."
Text/135/text,"Başını eğerek hayatta kaldın, ama [pulse freq=3][color=GOLD]ne pahasına?[/color][/pulse] [color=DARK_VIOLET]Kök Rezervi[/color] üretimi tesisten dalgalanırken, miden bulanıyor."
Text/136/text,Belki hala içeriden bir şans vardır. Veya belki sadece vicdanını rahatlatıyorsun.
Text/137/text,[tornado radius=3 freq=2][color=CHARTREUSE]Görev yerini terk ediyorsun[/color][/tornado] ve savaşa doğru koşuyorsun. Tedbirli olma zamanı bitti.
Text/138/text,[pulse freq=3][color=GOLD]Bizimle olduğunu kanıtla![/color][/pulse] Sasha'yı nereden tanıyorsun?
Text/139/text,"[color=CHARTREUSE]Kökler derine iner![/color] Kontrol noktasındanım, Sasha beni işe aldı!"
Text/13a/text,Onu şu anda işleme tesisine götürüyorlar. Acele etmeliyiz!
Text/13b/text,"Kapılar patlayarak açılıyor ve [wave amp=25 freq=3][color=CRIMSON]korkunç gerçeği[/color][/wave] ortaya çıkarıyor - öğütme makineleri, patatesleri yok olmaya götüren konveyörler."
Text/13c/text,Bir kayışın sonunda - Sasha ve diğerleri [color=CRIMSON]çaresizce bağlı[/color]. Gözetmen Russet kontrollerin başında duruyor.
Text/13d/text,[color=RED]SEN![/color] Onlardan biri olduğunu bilmeliydim! Geri çekil yoksa işlemciyi başlatacağım!
Text/13e/text,"Direniş savaşçıları Russet'i alt ederken, Sasha tesisin kameralarını yeniden yönlendiriyor. [color=YELLOW]Spud halkı! Bu Kök Rezervi! Bizi birbirimizle besliyorlardı![/color]"
Text/13f/text,Benim için geri döndün. [color=CHARTREUSE]Başardık. Gerçek artık dışarıda.[/color] İnşa etmemiz gereken bir geleceğimiz var!
