keys,hu
Text/56/text,Üdvözöljük a Krumpli Nemzetben. Egy föld [pulse freq=2][color=MEDIUM_VIOLET_RED]prosperitásáról minden krumplinak[/color][/pulse].
Text/57/text,Ön kiválasztásra került egy [color=DARK_ORANGE]kulcsfontosságú szerepre[/color] határaink védelmében.
Text/59/text,"NÉZZÉTEK! A [color=MEDIUM_VIOLET_RED]hatalmas fal[/color], amely megvédi nemzetünket. Itt fog szolgálni, biztosítva, hogy csak a méltók léphessenek be."
Text/5a/text,"Ah, az új hajtás. Figyeljen gondosan, az ön szerepe [color=DARK_ORANGE]létfontosságú a Krumpli biztonságáért[/color]."
Text/184/text,Családja jóléte [wave amp=20 freq=3][color=YELLOW]az ön teljesítményétől függ[/color][/wave].
Text/5b/text,Kinevezem [pulse freq=1][color=MEDIUM_VIOLET_RED]a dicsőséges Krumpli[/color] vámtisztjévé. Kérdése van?
Choice/5c/text,"Készen állok arra, hogy szolgáljam a Krumplit minden keményítőmmel!"
Choice/5d/text,Pontosan mi történik a visszautasított krumplikkal?
Text/5e/text,"Kiváló! Ez az a lelkesedés, amire szükségünk van. Talán érdemel egy [color=DARK_VIOLET]Gyökér Tartalék[/color] kitüntetést."
Text/5f/text,Azok... [color=DARK_VIOLET]feldolgozásra kerülnek[/color]. A protokoll szerint. A [color=DARK_VIOLET]Gyökér Tartalék[/color] intéz minden részletet.
Text/60/text,Összpontosítson a kötelességeire. [color=DARK_ORANGE]Semmi több.[/color]
Text/61/text,"Az első műszaka most kezdődik. Ellenőrizze gondosan az iratokat, utasítsa el azokat, akik nem felelnek meg szabványainknak."
Text/62/text,"Teljesítse kvótáját, kerülje el a büntetéseket. [color=MEDIUM_VIOLET_RED]Dicsőség a Krumplinak![/color]"
Choice/5d/disabled_text,
Choice/5c/disabled_text,
