keys,pt-BR
Text/117/text,O posto de controle transformou-se em um posto avançado militar. Guardas de elite em uniformes pretos patrulham com armas à mostra.
Text/118/text,"Sou o Oficial Chefe de Segurança Yukon, enviado da capital pelo Primeiro-Ministro Idaho."
Text/119/text,"A inteligência indica que um [pulse freq=2][color=YELLOW]ataque terrorista é iminente[/color][/pulse]. A ""resistência"" planeja se infiltrar amanhã."
Text/11a/text,Todos os oficiais serão submetidos a [wave amp=15 freq=2][color=DARK_ORANGE]triagem de lealdade[/color][/wave]. Comportamento suspeito significa detenção e [color=DARK_VIOLET]processamento[/color].
Text/11b/text,[tornado radius=3 freq=2][color=RED]Cooperação total[/color][/tornado] com a Segurança é obrigatória. Meus relatórios sobre cada um de vocês foram entregues ao Chefe.
Text/11c/text,O olhar de Russet paira sobre você desconfortavelmente antes de seguir em frente.
Text/11d/text,Este é o [color=DARK_ORANGE]IdentityScan 5000[/color]. Ele analisa dados biométricos para detectar infiltrados e simpatizantes.
Text/11e/text,Qualquer um que acionar o scanner enfrentará [color=CRIMSON]interrogatório intensificado[/color]. Use-o sem exceção.
Text/11f/text,"Você viu a Sasha? Ela não se apresentou para a chamada. Ontem à noite, [color=CRIMSON]forças de segurança entraram nos aposentos dela[/color]."
Text/120/text,Estão dizendo que ela fazia parte da [pulse freq=2][color=CHARTREUSE]resistência[/color][/pulse].
Choice/121/text,"""Não deveríamos estar falando sobre isso. É perigoso."""
Choice/122/text,"""Também estou preocupado com ela. Isso não está certo."""
Text/123/text,Você tem razão. Mas se cuide. Eles estão procurando por conexões com ela.
Text/124/text,Então vocês eram próximos? Cuidado. Eles podem estar te observando também.
Text/125/text,"O oficial te entrega um bilhete: ""[color=YELLOW]Limpe sua estação de qualquer coisa suspeita.[/color]"""
Text/126/text,Você está neste posto de controle há bastante tempo. Registro de desempenho interessante.
Text/127/text,"Você foi visto frequentemente com a Oficial Sasha, agora sob investigação por [wave amp=20 freq=3][color=CRIMSON]traição[/color][/wave]."
Text/128/text,O chefe se inclina para frente. Há algo que você gostaria de me dizer sobre as atividades dela?
Choice/129/text,"""Sasha e eu éramos apenas colegas. Não sei nada sobre ela fora do trabalho."""
Choice/12a/text,"""Eu estava coletando provas sobre as atividades suspeitas dela para reportar mais tarde."""
Text/12b/text,"Múltiplas testemunhas dizem o contrário. Sem provas concretas, no entanto, não posso detê-lo. [color=YELLOW]Ainda.[/color]"
Text/12c/text,"Você estará sob [color=CRIMSON]vigilância rigorosa[/color]. Um passo em falso, e você se [color=DARK_VIOLET]juntará à Sasha[/color]."
Text/12d/text,"Que conveniente. E, no entanto, você não apresentou nenhum relatório até agora."
Text/12e/text,"Você fornecerá uma declaração completa. Se suas informações se mostrarem valiosas, talvez ignoremos seu relatório tardio."
Text/12f/text,Estarei [color=CRIMSON]monitorando seu trabalho[/color] hoje. Todo viajante deve ter a identidade escaneada. [color=RED]Sem exceções[/color].
Text/130/text,"Sasha foi capturada. O plano da resistência está [color=CRIMSON]comprometido[/color]. Com a segurança em alerta máximo, suas chances parecem perdidas."
Choice/121/disabled_text,
Choice/122/disabled_text,
Choice/129/disabled_text,
Choice/12a/disabled_text,
