keys,tr
dialogue_spud_being_called_1,"Sonraki adım, kaderin seni bekliyor."
dialogue_spud_being_called_2,"Sıranın başında, gerçek anı yaklaşıyor."
dialogue_spud_being_called_3,"İleri doğru, yumru türünün seçilmişi."
dialogue_spud_being_called_4,Tebrikler! Beklemeniz başarılı oldu.
dialogue_spud_being_called_5,Büyük Patates Bürokrasisi seni çağırıyor.
dialogue_spud_being_called_6,"İleri, asil yumru! Belgeler bekliyor!"
dialogue_spud_being_called_7,Harekete geç! Damga sabırsızlanıyor.
dialogue_spud_being_called_8,Çabuk hareket et! P-38B formu doldurulmayı bekliyor.
dialogue_spud_being_called_9,"İleri gel, kader senin girişini talep ediyor."
dialogue_spud_being_called_10,"Yargı bankosuna yaklaş, yumru."
dialogue_spud_in_office_1,Lütfen sabırlı ol. Zaman bir yanılsamadır.
dialogue_spud_in_office_2,Bekleme karakter inşa eder. Ve nişasta.
dialogue_spud_in_office_3,Sıra gizemli yollardan ilerliyor.
dialogue_spud_in_office_4,Konumun yetkililer tarafından not edildi.
dialogue_spud_in_office_5,Sırada beklemek: evrensel sabit.
dialogue_spud_in_office_6,"Hiçbir yumru, beklemeyle çerezlenmeden hazır değildir."
dialogue_spud_in_office_7,"Sabır: tek erdem değil, ama zikredilen."
dialogue_spud_in_office_8,Bürokratik çarklar yavaş dönüyor. Çok yavaş.
dialogue_spud_in_office_9,"Ah, prosedürün tatlı sesi!"
dialogue_spud_in_office_10,Bugünün sırası yarının anekdotu.
dialogue_spud_in_office_11,Sıradaki zaman bükülüyor. Ölçülmüş.
dialogue_spud_in_office_12,Bekleme becerisi: Seviye 43 tamamlandı!
dialogue_warnings_1,Karşı çıkanlar hassasiyetle soyulacak.
dialogue_warnings_2,Sıra atlayan kişiler Hızlı İşleme gönderilir.
dialogue_warnings_3,"Sırayı bozma, sıralar hakkında konferans doğurur."
dialogue_warnings_4,İtaatsizlik Sıcak Yağ Odasına götürür.
dialogue_warnings_5,"Adil olmak zorunda değiliz, sadece organize."
dialogue_warnings_6,Patates Uyum Komitesi her şeyi görür.
dialogue_warnings_7,Sorun çıkaranlar: tereyağsız ezilir.
dialogue_warnings_8,Kaos yaratanlar hemen hash brown olur.
dialogue_warnings_9,Kural bozanlar çift kızartılmış statüye maruz kalır.
dialogue_warnings_10,Sıra Denetçileri varlığını işaretledi.
dialogue_warnings_11,Dosyan: KIRMIZI damgayla işaretlendi.
dialogue_misc_1,Herkes nerede?
dialogue_misc_2,Acil durum? Sırada kalmaya devam et.
dialogue_misc_3,Bekleme sözleşmesinin yedinci paragrafını okudun mu?
dialogue_misc_4,"Kayıp mülk: bulundu, vergilendirildi, kaybedildi."
dialogue_misc_5,"Bir patates şikayet ederse, ses çıkarır mı?"
dialogue_misc_6,"Işık, 'Daha Fazla Tünel' tabelasıyla değiştirildi."
dialogue_misc_7,Ölüm geçicidir. Bürokrasi sonsuzdur.
dialogue_misc_8,Arşivleme sistemi bilinç kazandı. Sakin kal.
dialogue_misc_9,Bugünün şans numaraları hiçbir şey ifade etmiyor. Özür dilerim.
dialogue_misc_10,"Kıyamet mi? Bir numara al, yok olmayı bekle."
dialogue_misc_11,"Kanıt yok, daha fazla form gerekli."
dialogue_document_interaction_1,"Belgelerinizi alın, lütfen."
dialogue_document_interaction_2,ALIN!
