keys,ar
dialogue_spud_being_called_1,الدرنة التالية، مصيرك ينتظرك.
dialogue_spud_being_called_2,يا من في مقدمة الطابور، لحظة الحقيقة تقترب.
dialogue_spud_being_called_3,تقدم، يا أيها المختار من الدرنات.
dialogue_spud_being_called_4,تهانينا! لقد نجح انتظارك.
dialogue_spud_being_called_5,البيروقراطية البطاطسية العظمى تستدعيك.
dialogue_spud_being_called_6,تقدم، أيها الدرنة النبيلة! الأوراق تنتظر!
dialogue_spud_being_called_7,امضِ قدمًا! الختم يزداد قلقًا.
dialogue_spud_being_called_8,أسرع الخطى! النموذج P-38B يحتاج إلى تعبئة.
dialogue_spud_being_called_9,تقدم، القدر يتطلب دخولك.
dialogue_spud_being_called_10,اقترب من منضدة الحكم، أيها الدرنة.
dialogue_spud_in_office_1,الرجاء التحلي بالصبر. الوقت وهم.
dialogue_spud_in_office_2,الانتظار يبني الشخصية. والنشا.
dialogue_spud_in_office_3,الطابور يتحرك بطرق غامضة.
dialogue_spud_in_office_4,موقعك مسجل لدى السلطات.
dialogue_spud_in_office_5,الوقوف في الطابور: الثابت الكوني.
dialogue_spud_in_office_6,لا توجد درنة جاهزة حتى تُتبّل بالانتظار.
dialogue_spud_in_office_7,الصبر: ليس الفضيلة الوحيدة، ولكنه مذكور.
dialogue_spud_in_office_8,عجلات البيروقراطية تدور ببطء. ببطء شديد.
dialogue_spud_in_office_9,آه، صوت الإجراءات العذب!
dialogue_spud_in_office_10,طابور اليوم هو حكاية الغد.
dialogue_spud_in_office_11,الوقت في الطوابير ينحني. لقد تم قياسه.
dialogue_spud_in_office_12,مهارة الانتظار: تم بلوغ المستوى 43!
dialogue_warnings_1,المخالفون سيتم تقشيرهم بدقة.
dialogue_warnings_2,متجاوزو الطابور يُرسلون إلى المعالجة السريعة.
dialogue_warnings_3,تعطيل الطابور يستوجب محاضرات عن الطوابير.
dialogue_warnings_4,التمرد يؤدي إلى غرفة الزيت الساخن.
dialogue_warnings_5,لسنا مضطرين لأن نكون عادلين، المهم هو التنظيم.
dialogue_warnings_6,لجنة الامتثال للبطاطا ترى كل شيء.
dialogue_warnings_7,مثيرو الشغب: يهرسون بدون زبدة.
dialogue_warnings_8,مسببو الفوضى يصبحون هاش براونز. بسرعة.
dialogue_warnings_9,مخالفو القواعد يواجهون وضع البطاطا المخبوزة مرتين.
dialogue_warnings_10,مدققو الطوابير وضعوا علامة على وجودك.
dialogue_warnings_11,ملفك: معلم بالختم الأحمر.
dialogue_misc_1,أين الجميع؟
dialogue_misc_2,حالة طوارئ؟ استمر في الانتظار بالترتيب.
dialogue_misc_3,هل قرأت الفقرة السابعة من اتفاقية الانتظار؟
dialogue_misc_4,ممتلكات مفقودة: وجدت، فرضت عليها ضريبة، أسيء وضعها.
dialogue_misc_5,إذا اشتكت بطاطا، هل تصدر صوتاً؟
dialogue_misc_6,استبدل الضوء بلافتة: 'المزيد من النفق.'
dialogue_misc_7,الموت مؤقت. البيروقراطية أبدية.
dialogue_misc_8,نظام الملفات اكتسب الوعي. حافظ على هدوئك.
dialogue_misc_9,أرقام الحظ لهذا اليوم لا تعني شيئاً. آسف.
dialogue_misc_10,نهاية العالم؟ خذ رقماً، انتظر لتختفي.
dialogue_misc_11,لا يوجد دليل يعني المزيد من النماذج المطلوبة.
dialogue_document_interaction_1,خذ مستنداتك، من فضلك.
dialogue_document_interaction_2,خذها!
dialogue_perfect_stamp_1,أحسنت صنعاً!
dialogue_perfect_stamp_2,هكذا يكون الختم!
dialogue_perfect_stamp_3,الدقة في أبهى صورها!
dialogue_perfect_stamp_4,آلهة الأختام تبتسم لك!
dialogue_perfect_stamp_5,تقنية نموذجية!
dialogue_runner_stopped_1,قبضت عليك!
dialogue_runner_stopped_2,ليس في عهدي!
dialogue_runner_stopped_3,العدالة تُقدم طازجة وساخنة!
dialogue_runner_stopped_4,هذا ما يحدث للهاربين!
dialogue_runner_stopped_5,تم القضاء على الهدف!
dialogue_runner_escaped_1,تباً! لقد أفلتوا!
dialogue_runner_escaped_2,اللعنة! كنت بطيئاً جداً!
dialogue_runner_escaped_3,لقد تسلل هذا...
dialogue_runner_escaped_4,الإجراءات الورقية لهذا...
dialogue_runner_escaped_5,ليست أفضل لحظاتي.
dialogue_wrong_stamp_1,مهلاً، هذا خطأ...
dialogue_wrong_stamp_2,همم، هل قصدت فعل ذلك؟
dialogue_wrong_stamp_3,الحبر... إنه يخونني!
dialogue_wrong_stamp_4,أوه.
dialogue_strike_received_1,هذا سيُدوّن في ملفي...
dialogue_strike_received_2,الوزارة لن يعجبها هذا.
dialogue_strike_received_3,خطوة أقرب إلى الهرس...
dialogue_strike_received_4,ضربة! لكن ليس من النوع الجيد.
