keys,en,cs,da,de,es,fi,fr,hu,id,it,nl,no,pl,pt,ro,sk,sv,tr,vi
Text/131/text,"You hunker down as the battle rages. I'm sorry, Sasha. I'm [color=STEEL_BLUE]not as brave as you[/color].",,,,,,,,,,,,,,,,,,
Text/132/text,"""The [color=CRIMSON]terrorist attack[/color] has been repelled! The ringleaders are being [color=DARK_VIOLET]processed[/color] as we speak.""",,,,,,,,,,,,,,,,,,
Text/133/text,"Chief Yukon drags in resistance members in chains, Sasha among them. ""These [color=CRIMSON]traitors[/color] will face [color=DARK_VIOLET]final processing[/color].""",,,,,,,,,,,,,,,,,,
Text/134/text,"Sasha catches your eye. Despite her bruises, her gaze holds [wave amp=15 freq=2][color=CHARTREUSE]no judgment, only sadness[/color][/wave].",,,,,,,,,,,,,,,,,,
Text/135/text,"You've survived by keeping your head down, but [pulse freq=3][color=GOLD]at what cost?[/color][/pulse] As [color=DARK_VIOLET]Root Reserve[/color] production wafts from the plant, your stomach turns.",,,,,,,,,,,,,,,,,,
Text/136/text,Perhaps there's still a chance from the inside. Or maybe you're just easing your conscience.,,,,,,,,,,,,,,,,,,
Text/137/text,You [tornado radius=3 freq=2][color=CHARTREUSE]abandon your post[/color][/tornado] and race toward the fighting. The time for caution is over.,,,,,,,,,,,,,,,,,,
Text/138/text,[pulse freq=3][color=GOLD]Prove you're with us![/color][/pulse] How do you know Sasha?,,,,,,,,,,,,,,,,,,
Text/139/text,"[color=CHARTREUSE]The roots grow deep![/color] I'm from the checkpoint, Sasha recruited me!",,,,,,,,,,,,,,,,,,
Text/13a/text,They're taking her to the processing plant right now. We need to hurry!,,,,,,,,,,,,,,,,,,
Text/13b/text,"The doors blast open, revealing the [wave amp=25 freq=3][color=CRIMSON]horrific truth[/color][/wave] - grinding machines, conveyors carrying potatoes to their doom.",,,,,,,,,,,,,,,,,,
Text/13c/text,At the end of one belt - Sasha and others [color=CRIMSON]bound helplessly[/color]. Supervisor Russet stands at the controls.,,,,,,,,,,,,,,,,,,
Text/13d/text,[color=RED]YOU![/color] I should have known you were one of them! Back away or I start the processor!,,,,,,,,,,,,,,,,,,
Text/13e/text,"As resistance fighters overpower Russet, Sasha redirects the facility cameras. [color=YELLOW]People of Spud! This is Root Reserve! They've been feeding us to each other![/color]",,,,,,,,,,,,,,,,,,
Text/13f/text,You came back for me. [color=CHARTREUSE]We did it. The truth is out there now.[/color] We have a future to build!,,,,,,,,,,,,,,,,,,
