keys,id
violation_condition_not_fresh,TOLAK: Hanya kentang segar yang diizinkan. Kentang ini {condition}
violation_extra_eyes,TOLAK: Kondisi Mata Tambahan dilarang
violation_rotten,TOLAK: Kentang busuk dilarang
violation_sprouted,TOLAK: Kentang bertunas dilarang
violation_dehydrated,TOLAK: Kentang dehidrasi dilarang
violation_frozen,TOLAK: Kentang beku dilarang
violation_too_old,TOLAK: Kentang berumur {age} tahun (usia maksimum: 4 tahun)
violation_too_young_3,TOLAK: Kentang berumur {age} tahun (usia minimum: 4 tahun)
violation_too_young_2,TOLAK: Kentang berumur {age} tahun (usia minimum: 3 tahun)
violation_males_only,TOLAK: Hanya kentang jantan yang diizinkan
violation_females_only,TOLAK: Hanya kentang betina yang diizinkan
violation_country_spudland,TOLAK: Semua kentang Spudland dilarang
violation_country_potatopia,TOLAK: Semua kentang Potatopia dilarang
violation_country_tuberstan,TOLAK: Semua kentang Tuberstan dilarang
violation_country_north_yamnea,TOLAK: Semua kentang North Yamnea dilarang
violation_country_spuddington,TOLAK: Semua kentang Spuddington dilarang
violation_country_tatcross,TOLAK: Semua kentang Tatcross dilarang
violation_country_mash_meadows,TOLAK: Semua kentang Mash Meadows dilarang
violation_country_tuberville,TOLAK: Semua kentang Tuberville dilarang
violation_country_chip_hill,TOLAK: Semua kentang Chip Hill dilarang (pembatasan ekspor)
violation_country_murphyland,TOLAK: Semua kentang Murphyland dilarang
violation_country_colcannon,TOLAK: Semua kentang Colcannon dilarang
violation_country_pratie_point,TOLAK: Semua kentang Pratie Point dilarang
violation_race_purple_majesty,TOLAK: Jenis Purple Majesty dilarang
violation_race_sweet_potato,TOLAK: Jenis ubi jalar memerlukan izin khusus (tidak tersedia)
violation_race_yukon_gold,TOLAK: Jenis Yukon Gold dilarang
violation_expired_document,TOLAK: Dokumen kedaluwarsa pada {date}
violation_invalid_potato,Kentang ini memenuhi semua persyaratan dan seharusnya telah disetujui
