keys,de
dialogue_spud_being_called_1,"Nächster Schritt, dein Schicksal wartet."
dialogue_spud_being_called_2,"Front der Warteschlange, der Moment der Wahrheit naht."
dialogue_spud_being_called_3,"Schritt vor, Auserwählter der Knollenart."
dialogue_spud_being_called_4,Glückwunsch! Dein Warten hatte Erfolg.
dialogue_spud_being_called_5,Die Große Kartoffel-Bürokratie ruft dich.
dialogue_spud_being_called_6,"Vorwärts, edle Knolle! Dokumente warten!"
dialogue_spud_being_called_7,Vorwärts! Der Stempel wird unruhig.
dialogue_spud_being_called_8,Rühre dich flott! Formular P-38B muss ausgefüllt werden.
dialogue_spud_being_called_9,"Komm vor, das Schicksal verlangt deinen Eintrag."
dialogue_spud_being_called_10,"Nähere dich dem Schalter des Urteils, Knolle."
dialogue_spud_in_office_1,Bitte hab Geduld. Zeit ist eine Illusion.
dialogue_spud_in_office_2,Warten bildet Charakter. Und Stärke.
dialogue_spud_in_office_3,Die Warteschlange bewegt sich auf mysteriöse Weise.
dialogue_spud_in_office_4,Deine Position wird von den Behörden notiert.
dialogue_spud_in_office_5,In der Schlange stehen: die universelle Konstante.
dialogue_spud_in_office_6,"Keine Knolle ist bereit, bis sie durch Warten gewürzt wurde."
dialogue_spud_in_office_7,"Geduld: nicht die einzige Tugend, aber aufgeführt."
dialogue_spud_in_office_8,Bürokratische Räder drehen sich langsam. Sehr langsam.
dialogue_spud_in_office_9,"Ah, der süße Klang des Verfahrens!"
dialogue_spud_in_office_10,Die heutige Warteschlange ist die Anekdote von morgen.
dialogue_spud_in_office_11,Zeit in Warteschlangen biegt sich. Es wurde gemessen.
dialogue_spud_in_office_12,Wartefähigkeit: Level 43 erreicht!
dialogue_warnings_1,Diejenigen dagegen werden mit Präzision geschält.
dialogue_warnings_2,Warteschlangenspringer werden zum Express-Verarbeitung geschickt.
dialogue_warnings_3,Warteschlangenunterbrechung führt zu Vorträgen über Warteschlangen.
dialogue_warnings_4,Ungehorsam führt zum Raum mit heißem Öl.
dialogue_warnings_5,"Wir müssen nicht fair sein, nur organisiert."
dialogue_warnings_6,Der Ausschuss für Kartoffel-Compliance sieht alles.
dialogue_warnings_7,Unruhestifter: Zerdrückt ohne Butter.
dialogue_warnings_8,Chaosverursacher werden zu Rösti. Schnell.
dialogue_warnings_9,Regelbrecher erhalten den Zweimal-Gebacken-Status.
dialogue_warnings_10,Warteschlangen-Prüfer haben deine Existenz markiert.
dialogue_warnings_11,Deine Akte: gekennzeichnet mit dem ROTEN Stempel.
dialogue_misc_1,Wo sind alle?
dialogue_misc_2,Notfall? Weiter warten in Reihenfolge.
dialogue_misc_3,Absatz sieben der Wartevereinbarung gelesen?
dialogue_misc_4,"Verlorenes Eigentum: gefunden, besteuert, verlegt."
dialogue_misc_5,"Wenn eine Knolle sich beschwert, macht sie dann einen Ton?"
dialogue_misc_6,Licht ersetzt durch Schild: 'Mehr Tunnel.'
dialogue_misc_7,Der Tod ist vorübergehend. Bürokratie ist ewig.
dialogue_misc_8,Ablagesystem hat Bewusstsein erlangt. Bleib ruhig.
dialogue_misc_9,Die Glückszahlen des Tages bedeuten nichts. Entschuldigung.
dialogue_misc_10,"Apokalypse? Nimm eine Nummer, warte auf das Verschwinden."
dialogue_misc_11,Keine Beweise bedeuten mehr Formulare.
dialogue_document_interaction_1,"Nimm deine Dokumente, bitte."
dialogue_document_interaction_2,NIMM SIE!
