keys,pl
Text/156/text,Witamy w [pulse freq=2][color=MEDIUM_VIOLET_RED]Spud Customs Training![/color][/pulse]
Text/157/text,To szkolenie nauczy Cię [wave amp=15 freq=2][color=DARK_ORANGE]niezbędnych umiejętności[/color][/wave] potrzebnych do ochrony granic Spud.
Text/158/text,Twoim obowiązkiem jest przetwarzanie przybywających ziemniaków na naszym przejściu granicznym.
Text/159/text,Imigrujące ziemniaki będą ustawiać się w kolejce przed Twoim biurem tutaj.
Text/15a/text,"Aby rozpocząć przetwarzanie ziemniaków, musisz otworzyć swoje stanowisko do obsługi za pomocą przełącznika tutaj."
Text/15b/text,"Zasygnalizujesz każdemu ziemniakowi, aby zbliżył się do Twojego biura, stukając w megafon."
Text/15c/text,Ziemniaki będą wchodzić do stanowiska jeden po drugim i przedstawiać swoje dokumenty.
Text/15d/text,"Najpierw przenieś ich dokumenty na stół inspekcyjny, aby lepiej się im przyjrzeć."
Text/15e/text,"Następnie szukaj [tornado radius=3 freq=2][color=YELLOW]przeterminowanych dat, nieprawidłowych informacji lub oznak fałszerstwa[/color][/tornado]."
Text/15f/text,"Twoje biurko ma pieczątki do oznaczania dokumentów, możesz kliknąć tutaj, aby wysunąć pasek pieczątek."
Text/160/text,"Następnie umieść dokument pod pieczątką, której chcesz użyć..."
Text/161/text,"Kliknij pieczątkę, aby oznaczyć dokumenty jako [color=CHARTREUSE]zatwierdzone[/color] lub [color=CRIMSON]odrzucone[/color]..."
Text/162/text,"I przeciągnij dokument z powrotem do ziemniaka, aby sfinalizować swoją decyzję!"
Text/163/text,Czasami ziemniaki będą próbowały [color=CRIMSON]przebiec przez twój punkt kontrolny[/color].
Text/164/text,"Masz bezpośrednie połączenie w swoim stanowisku, które pozwala Ci kontrolować [pulse freq=3][color=CRIMSON]wyrzutnie rakiet[/color][/pulse] wzdłuż muru granicznego."
Text/165/text,"Kliknij na tych ""biegaczy"", aby wystrzelić rakietę i ich zatrzymać."
Text/166/text,"Pamiętaj, każdy biegacz, który się przedostanie, będzie liczony jako [wave amp=20 freq=3][color=CRIMSON]wykroczenie przeciwko Tobie[/color][/wave]."
Text/167/text,"Zbyt wiele wykroczeń, a Twoja zmiana zakończy się... [tornado radius=3 freq=3][color=CRIMSON]na stałe.[/color][/tornado]"
Text/168/text,"Każda zmiana ma [color=DARK_ORANGE]limit ziemniaków[/color], które musisz przetworzyć, aby zakończyć swój dzień."
Text/169/text,Twój wynik śledzi Twoją wydajność w porównaniu z Twoimi kolegami na tym punkcie kontrolnym i urzędnikami w odległych urzędach celnych.
Text/16a/text,"Po każdej zmianie zobaczysz podsumowanie swojej wydajności i to, czy odniosłeś sukces czy porażkę w swoim obowiązku."
Text/16b/text,"Zobaczysz podział tego, jak radziłeś sobie z biegaczami i ile dokumentów przetworzyłeś."
Text/16c/text,"Plus wszelkie premie, które zarobiłeś za szybkie przetwarzanie dokumentów, idealne wyrównanie pieczątek lub idealne trafienie w biegnące ziemniaki."
Text/16d/text,"Otrzymasz również ocenę wydajności na podstawie tego, jak dobrze przetwarzałeś ziemniaki podczas swojej zmiany, i do 3 złotych pieczątek, jeśli przekroczysz oczekiwania."
Text/16e/text,"Tutaj możesz przesłać swój wynik za każdą zmianę do globalnej bazy danych funkcjonariuszy celnych i zobaczyć, jak wypadasz w porównaniu z najbardziej elitarnymi funkcjonariuszami celnymi na całym świecie."
Text/16f/text,"Jeśli Twoja zmiana zakończyła się sukcesem, będziesz mógł kontynuować, klikając ""Kontynuuj"" i rozpoczynając następną zmianę."
Text/170/text,To obejmuje podstawy Twoich obowiązków jako funkcjonariusza celnego.
Text/171/text,"Pamiętaj: dokładnie sprawdzaj dokumenty, zatrzymuj biegaczy i spełniaj swój limit."
Text/172/text,Bezpieczeństwo Spud zależy od Twojej [pulse freq=2][color=DARK_ORANGE]czujności![/color][/pulse]
Text/174/text,Zacznijmy twoją [color=YELLOW]zmianę szkoleniową[/color]...
Text/180/text,Ale bądź ostrożny - nie każdy ziemniak ma dokumenty w porządku.
Text/181/text,[color=RED]Wygasłe paszporty[/color] są automatycznym odrzuceniem. Bez wyjątków.
Text/tut_001/text,Witaj w [pulse freq=2][color=MEDIUM_VIOLET_RED]Ziemniaczanym Urzędzie Celnym![/color][/pulse]
Text/tut_002/text,Zostałeś wybrany do kluczowej roli: [color=DARK_ORANGE]Funkcjonariusz Celny Graniczny[/color].
Text/tut_003/text,"Twoja praca jest prosta. Ziemniaki przybywają do twojej budki, sprawdzasz ich dokumenty i decydujesz, kto przejdzie."
Text/tut_004/text,Ale bądź ostrożny - nie każdy ziemniak ma dokumenty w porządku.
Text/tut_005/text,[color=RED]Wygasłe paszporty[/color] to automatyczna odmowa. Bez wyjątków.
Text/tut_006/text,"Przeprowadzę cię przez podstawy [color=YELLOW]krok po kroku[/color]. Postępuj zgodnie z instrukcjami, a szybko to opanujesz."
Text/tut_007/text,"[pulse freq=2][color=RED]Jeszcze jedno![/color][/pulse] Niektóre ziemniaki spróbują [color=CRIMSON]uciec[/color], gdy uznają, że ich dokumenty nie przejdą kontroli."
Text/tut_008/text,"Gdy [color=RED]uciekinier graniczny[/color] spróbuje uciec, zobaczysz, jak pędzą obok twojej budki w stronę granicy."
Text/tut_009/text,Wtedy do akcji wkracza twoja [color=CHARTREUSE]Pneumatyczna Wyrzutnia Pocisków[/color]. To ten duży przycisk na twoim panelu sterowania.
Text/tut_010/text,"[color=YELLOW]Kliknij, aby wystrzelić[/color], gdy uciekinier znajdzie się w zasięgu. Celuj w [color=GOLD]środek strefy celu[/color], aby zdobyć punkty bonusowe!"
Text/tut_011/text,Ale bądź ostrożny - [color=RED]nie traf niewinnych ziemniaków[/color] w kolejce. Stracisz za to punkty i zarobisz karę!
Text/tut_012/text,Bezpieczeństwo i ochrona Ziemniaczanej Krainy zależy od twojej [pulse freq=2][color=DARK_ORANGE]czujności![/color][/pulse]
Text/tut_013/text,Rozpocznijmy twoją [color=YELLOW]zmianę szkoleniową[/color]...
