keys,hu
sex_male,Férfi
sex_female,Nő
condition_fresh,Friss
condition_extra_eyes,Extra szemek
condition_rotten,Rohadt
condition_sprouted,Csírázott
condition_dehydrated,Dehidratált
condition_frozen,Fagyasztott
race_russet,Russet
race_yukon_gold,Yukon Gold
race_sweet_potato,Édesburgonya
race_purple_majesty,Purple Majesty
country_spudland,Burgonyaföld
country_potatopia,Burgonyatopia
country_tuberstan,Gumósztán
country_north_yamnea,Észak-Yamnea
country_spuddington,Spuddington
country_tatcross,Tatcross
country_mash_meadows,Püré-rétek
country_tuberville,Gumóváros
country_chip_hill,Chips-domb
country_murphyland,Krumpliföld
country_colcannon,Colcannon
country_pratie_point,Pratie-fok
