keys,sk
Text/131/text,"Krčíš sa, zatiaľ čo bitka zúri. Je mi to ľúto, Sasha. [color=STEEL_BLUE]Nie som taký odvážny ako ty[/color]."
Text/132/text,[color=CRIMSON]Teroristický útok[/color] bol odrazený! Vodcovia sú práve [color=DARK_VIOLET]spracovávaní[/color].
Text/133/text,"Náčelník Yukon vlečie členov odboja v reťaziach, medzi nimi aj Sashu. ""Títo [color=CRIMSON]zradcovia[/color] budú čeliť [color=DARK_VIOLET]konečnému spracovaniu[/color]."""
Text/134/text,"Sasha zachytí tvoj pohľad. Napriek jej modrinám, jej pohľad obsahuje [wave amp=15 freq=2][color=CHARTREUSE]žiadne súdenie, len smútok[/color][/wave]."
Text/135/text,"Prežil si tým, že si držal hlavu dole, ale [pulse freq=3][color=GOLD]za akú cenu?[/color][/pulse] Keď z továrne vanie výroba [color=DARK_VIOLET]Koreňovej Rezervy[/color], obracia sa ti žalúdok."
Text/136/text,Možno je stále šanca zvnútra. Alebo možno len utišuješ svoje svedomie.
Text/137/text,[tornado radius=3 freq=2][color=CHARTREUSE]Opúšťaš svoje stanovisko[/color][/tornado] a bežíš smerom k boju. Čas na opatrnosť skončil.
Text/138/text,"[pulse freq=3][color=GOLD]Dokáž, že si s nami![/color][/pulse] Ako poznáš Sashu?"
Text/139/text,"[color=CHARTREUSE]Korene rastú hlboko![/color] Som z kontrolného stanoviska, Sasha ma naverbovala!"
Text/13a/text,Práve ju berú do spracovateľského závodu. Musíme sa ponáhľať!
Text/13b/text,"Dvere vybuchnú a odhalia [wave amp=25 freq=3][color=CRIMSON]hroznú pravdu[/color][/wave] - drviace stroje, dopravníky nesúce zemiaky do ich skazy."
Text/13c/text,Na konci jedného pásu - Sasha a ďalší [color=CRIMSON]bezmocne zviazaní[/color]. Dozorca Russet stojí pri ovládaní.
Text/13d/text,"[color=RED]TY![/color] Mal som vedieť, že si jeden z nich! Ustúp alebo spustím procesor!"
Text/13e/text,"Keď bojovníci odboja prevládnu nad Russetom, Sasha presmeruje kamery zariadenia. [color=YELLOW]Ľudia zo Spudu! Toto je Koreňová Rezerva! Kŕmili nás navzájom![/color]"
Text/13f/text,"Vrátil si sa pre mňa. [color=CHARTREUSE]Dokázali sme to. Pravda je teraz vonku.[/color] Máme budúcnosť, ktorú treba vybudovať!"
