keys,pl
sex_male,Mężczyzna
sex_female,Kobieta
condition_fresh,Świeży
condition_extra_eyes,Dodatkowe oczy
condition_rotten,Zgniły
condition_sprouted,Skiełkowany
condition_dehydrated,Odwodniony
condition_frozen,Zamrożony
race_russet,Russet
race_yukon_gold,Yukon Gold
race_sweet_potato,Batat
race_purple_majesty,Purpurowa Mość
country_spudland,Ziemniaczlandia
country_potatopia,Ziemniaktopia
country_tuberstan,Bulwistan
country_north_yamnea,Północna Jamnea
country_spuddington,Ziemniakton
country_tatcross,Ziemniakrzyż
country_mash_meadows,Łąki Puree
country_tuberville,Bulwowo
country_chip_hill,Wzgórze Frytek
country_murphyland,Murfylandia
country_colcannon,Colcannon
country_pratie_point,Ziemniaczany Przylądek
