keys,zh-CN
achievement_unlocked_title,成就解锁！
achievements_menu_button,成就
achievements_progress_format,%d / %d 已解锁
achievement_hidden_name,???
achievement_hidden_desc,此成就未解锁前保持隐藏
achievement_category_gameplay,游戏玩法
achievement_category_resistance,反抗路线
achievement_category_loyalist,忠诚路线
achievement_category_character,角色弧线
achievement_category_discovery,发现
achievement_rookie_officer_name,新手关员
achievement_rookie_officer_desc,完成你的首次边境轮班
achievement_veteran_officer_name,资深关员
achievement_veteran_officer_desc,完成10次边境轮班
achievement_master_officer_name,海关大师
achievement_master_officer_desc,完成25次边境轮班
achievement_sharpshooter_name,神枪手
achievement_sharpshooter_desc,使用导弹系统阻止10名边境逃犯
achievement_border_defender_name,边境守卫者
achievement_border_defender_desc,使用导弹系统阻止50名边境逃犯
achievement_perfect_shot_name,完美射击
achievement_perfect_shot_desc,对边境逃犯进行5次完美命中
achievement_high_scorer_name,高分玩家
achievement_high_scorer_desc,"获得10,000点分数"
achievement_score_legend_name,分数传奇
achievement_score_legend_desc,"获得50,000点分数"
achievement_savior_of_spud_name,薯国救星
achievement_savior_of_spud_desc,完成故事并拯救国家
achievement_born_diplomat_name,天生外交家
achievement_born_diplomat_desc,通过和平谈判达成外交结局
achievement_tater_of_justice_name,正义薯
achievement_tater_of_justice_desc,惩治腐败官员
achievement_best_served_hot_name,趁热上菜
achievement_best_served_hot_desc,向那些冤枉你的人复仇
achievement_down_with_tatriarchy_name,打倒薯族统治
achievement_down_with_tatriarchy_desc,领导革命并推翻政权
achievement_heart_of_stone_name,铁石心肠
achievement_heart_of_stone_desc,始终保持冷酷顺从的官僚直至结局
achievement_survivor_name,幸存者
achievement_survivor_desc,不惜一切代价在政权下生存
achievement_late_bloomer_name,大器晚成
achievement_late_bloomer_desc,在最后一刻获得救赎
achievement_tommys_legacy_name,汤米的遗产
achievement_tommys_legacy_desc,揭露汤米命运的真相
achievement_elenas_memory_name,埃琳娜的纪念
achievement_elenas_memory_desc,缅怀埃琳娜的牺牲并铭记她的故事
achievement_the_note_name,纸条
achievement_the_note_desc,发现秘密纸条及其隐藏信息
achievement_root_of_evil_name,万恶之源
achievement_root_of_evil_desc,揭露政权核心的腐败
achievement_chaos_architect_name,混乱缔造者
achievement_chaos_architect_desc,拥抱混乱，坐视世界燃烧
