keys,pt-BR
sex_male,Masculino
sex_female,Feminino
condition_fresh,Fresco
condition_extra_eyes,Olhos Extras
condition_rotten,Podre
condition_sprouted,Brotado
condition_dehydrated,Desidratado
condition_frozen,Congelado
race_russet,Russet
race_yukon_gold,Yukon Gold
race_sweet_potato,Batata Doce
race_purple_majesty,Majestade Roxa
country_spudland,Batatalândia
country_potatopia,Batatópia
country_tuberstan,Tubérculostão
country_north_yamnea,Inhamea do Norte
country_spuddington,Batatadington
country_tatcross,Batatacruz
country_mash_meadows,Campinas do Purê
country_tuberville,Tubervila
country_chip_hill,Colina das Fritas
country_murphyland,Murphylândia
country_colcannon,Colcannon
country_pratie_point,Ponta da Batata
