keys,fi
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - PÄIVITYKSET
patch_1_2_0_personal_note_header,KEHITTÄJÄN HENKILÖKOHTAINEN VIESTI
patch_1_2_0_personal_note,"Tämä päivitys on omistettu pienokaiselleni, joka vietti elämänsä ensimmäiset kuukaudet vastasyntyneiden teho-osastolla – syntymäpainosta 1 pauna nykyiseen 20 paunaan puhdasta iloa. Kiitos kaikille, jotka ovat olleet mukana tällä matkalla – yli 2 000 pelaajaa on nyt kokenut Spud Customs -pelin!"
patch_1_2_0_visual_header,VISUAALISET PARANNUKSET
patch_1_2_0_visual_1,Animoidun taiteen integrointi: Uusia animoituja GIF-kuvia StagNationilta on lisätty aloituskohtauksiin
patch_1_2_0_visual_2,"Taiteen uudistus: Viisi ensimmäistä kohtausta, jotka pelaajat näkevät, on maalattu uudelleen visuaalisen laadun parantamiseksi"
patch_1_2_0_visual_3,Dynaamiset taustat: Taustakuvat muuttuvat nyt vaikeustason noustessa
patch_1_2_0_story_header,TARINA JA KERRONTA
patch_1_2_0_story_1,Valintojen säilyvyys: Kerronnalliset valinnat siirtyvät nyt oikein kaikkien tasojen läpi
patch_1_2_0_story_2,Visuaalinen eteneminen: Lisätty visuaalisia indikaattoreita tarinan etenemisestä pääpelikohtauksiin nykyisen vuoronumeron perusteella
patch_1_2_0_story_3,Haaroittuvien dialogien korjaukset: Korjattu haaroittuvien dialogien ongelmia viimeisissä kerronnallisissa kohtauksissa
patch_1_2_0_bugfix_header,VIRHEKORJAUKSET
patch_1_2_0_bugfix_1,Saavutusjärjestelmä: Korjattu saavutusten seuranta – kaikki saavutukset avautuvat nyt oikein
patch_1_2_0_bugfix_2,"Tulostaulu: Korjattu ongelma, jossa tulostaulu jäi jumiin lataustilaan"
patch_1_2_0_bugfix_3,Näytön tärinä: Näytön tärinä palautuu nyt oikein alkuperäiseen tilaan jokaisen käytön jälkeen
patch_1_2_0_bugfix_4,Vaikeustason skaalaus: Korjattu helpon tilan skaalauskerroin
patch_1_2_0_bugfix_5,Taustan näyttö: Korjattu puuttuvat taustat dialogikohtausten aikana
patch_1_2_0_bugfix_6,Tekstin luettavuus: Parannettu tekstin väritystä paremman luettavuuden vuoksi
patch_1_2_0_engagement_header,PELAAJIEN OSALLISTUMINEN
patch_1_2_0_engagement_1,Arvostelupyynnöt: Lisätty arvostelupyyntöjä demo- ja täysversion pelaajille
patch_1_2_0_engagement_2,Käännöskorjaukset: Erilaisia käännösparannuksia tuetuilla kielillä
patch_1_2_0_technical_header,TEKNISET PARANNUKSET
patch_1_2_0_technical_1,Laajennettu kielituki: Tukee nyt kaikkia 31 Steamin tukemaa kieltä
patch_1_2_0_technical_2,Käännösjärjestelmän uudistus: Käännöstiedostot järjestelty uudelleen paremman ylläpidettävyyden vuoksi
