keys,vi
Text/56/text,Chào mừng đến quốc gia Khoai Tây. Một vùng đất [pulse freq=2][color=MEDIUM_VIOLET_RED]thịnh vượng cho tất cả các khoai tây[/color][/pulse].
Text/57/text,Bạn đã được chọn cho một [color=DARK_ORANGE]vai trò then chốt[/color] trong việc bảo vệ biên giới của chúng tôi.
Text/59/text,"NHÌN NÀY! Bức tường [color=MEDIUM_VIOLET_RED]hùng vĩ[/color] bảo vệ quốc gia chúng tôi. Tại đây bạn sẽ phục vụ, đảm bảo chỉ những người xứng đáng mới được vào."
Text/5a/text,"Ôi, nhánh non. Hãy nghe kỹ, vai trò của bạn [color=DARK_ORANGE]quan trọng sống còn cho sự an toàn của Khoai Tây[/color]."
Text/184/text,Sự thịnh vượng của bạn [wave amp=20 freq=3][color=YELLOW]phụ thuộc vào hiệu suất của bạn[/color][/wave].
Text/5b/text,Tôi bổ nhiệm bạn làm Sĩ quan Hải quan của [pulse freq=1][color=MEDIUM_VIOLET_RED]Khoai Tây vinh quang[/color][/pulse]. Có câu hỏi nào không?
Choice/5c/text,Tôi sẵn sàng phục vụ Khoai Tây bằng toàn bộ tinh bột của mình!
Choice/5d/text,Những quả khoai tây bị từ chối sẽ ra sao?
Text/5e/text,Tuyệt vời! Đó là sự nhiệt huyết mà chúng tôi cần. Bạn có thể được trao tặng danh hiệu [color=DARK_VIOLET]Dự Trữ Rễ[/color].
Text/5f/text,Chúng được... [color=DARK_VIOLET]xử lý[/color]. Theo quy định. [color=DARK_VIOLET]Dự Trữ Rễ[/color] sẽ xử lý tất cả các chi tiết.
Text/60/text,Tập trung vào nhiệm vụ của bạn. [color=DARK_ORANGE]Không có gì khác.[/color]
Text/61/text,"Ca trực đầu tiên của bạn bắt đầu ngay bây giờ. Kiểm tra giấy tờ một cách cẩn thận, từ chối những người không đáp ứng các tiêu chuẩn của chúng tôi."
Text/62/text,"Hoàn thành định mức, tránh các hình phạt. [color=MEDIUM_VIOLET_RED]Vinh quang cho Khoai Tây![/color]"
Choice/5d/disabled_text,
Choice/5c/disabled_text,
Text/184b/text,Những kẻ hỏi quá nhiều câu hỏi? Chúng sẽ bị [color=CRIMSON]điều chuyển[/color]. Vĩnh viễn.
Text/62b/text,"Và hãy nhớ, [color=MEDIUM_VIOLET_RED]Vinh quang cho Spud![/color]"
