keys,ar
Text/86/text,بروتوكولات أمنية جديدة اليوم. لقد تلقينا معلومات استخباراتية حول [color=YELLOW]أنشطة مشبوهة[/color].
Text/87/text,يجب على جميع المسافرين الخضوع لإجراءات تفتيش معززة.
Text/88/text,راقب [color=YELLOW]السلوك العصبي، التصرفات الغريبة، أو التردد في التواصل البصري[/color].
Text/89/text,"يجب مصادرة جميع العناصر المشبوهة وتسجيلها. لأمن ""سباد""، بالطبع."
Text/8a/text,نحن قلقون بشكل خاص بشأن [color=CRIMSON]المواد المحظورة[/color] - أدب مناهض للحكومة، معدات تصوير...
Text/8b/text,"ينخفض صوته بشكل مشؤوم. ""[pulse freq=2][color=DARK_VIOLET]لدينا إجراءات خاصة لهؤلاء الأفراد.[/color][/pulse]"""
Text/8c/text,"شاحنات [wave amp=15 freq=2][color=DARK_VIOLET]احتياطي الجذور[/color][/wave] تفرغ صناديق مكتوب عليها ""احتياطي ممتاز"" في الكافتيريا. الرائحة مغرية، لكن معدتك تتقلب."
Text/8d/text,هل جربت الاحتياطي الممتاز الجديد؟ ابن عمي اختفى الشهر الماضي. فشل في التفتيش.
Text/8e/text,ربما هو جزء من هذه الدفعة، أليس كذلك؟ [tornado radius=2 freq=2][color=STEEL_BLUE]دعابة سوداء، أتعلم؟[/color][/tornado]
Choice/8f/text,"""هذا ليس مضحكًا. على الإطلاق."""
Choice/90/text,"""أنا لست جائعًا. اعذرني."" (مغادرة)"
Text/91/text,أنت محق. أحيانًا المزاح أسهل من التفكير في [pulse freq=3][color=CRIMSON]ما قد يحدث بالفعل[/color][/pulse].
Text/92/text,"يراقبك الضابط وأنت تغادر. ""مرحبًا، أنا أفهم الأمر. فقدت شهيتي أيضًا..."""
Text/93/text,توقيت مناسب لبروتوكولات أمنية جديدة، أليس كذلك؟ [wave amp=15 freq=3][color=YELLOW]إنهم يحاولون إيقاف المعلومات حول احتياطي الجذور.[/color][/wave]
Text/94/text,لدي شيء قد يساعدنا. بعض البطاطس التي تحمل [color=CHARTREUSE]معلومات حيوية تستحق المرور[/color].
Text/95/text,أنت تفكر في خياراتك بعناية. خيارات اليوم يمكن أن تساعد في [color=CHARTREUSE]نشر الحقيقة[/color]... أو [color=CRIMSON]إسكاتها إلى الأبد[/color].
Choice/8f/disabled_text,
Choice/90/disabled_text,
