keys,el
Text/299_suppress1/text,Ξεσπά χάος καθώς αρχίζει η επίθεση της αντίστασης. Εκρήξεις συγκλονίζουν το φυλάκιο.
Text/299_suppress2/text,"Θα μπορούσες να τρέξεις. Θα μπορούσες να κρυφτείς. Αντ' αυτού, [color=DARK_ORANGE]επιλέγεις την πλευρά σου[/color]."
Text/299_suppress3/text,Ο Ράσετ σε αρπάζει από το μπράτσο. [pulse freq=2][color=YELLOW]ΤΩΡΑ ΕΙΝΑΙ Η ΕΥΚΑΙΡΙΑ ΣΟΥ![/color][/pulse] Απόδειξε την πίστη σου!
Text/299_suppress4/text,Η αντίσταση προσπαθεί να παραβιάσει την ανατολική πύλη! [color=CRIMSON]Σταμάτησέ τους![/color]
Text/299_suppress5/text,Σφίγγεις το όπλο σου. Αυτοί μπορεί να είναι άνθρωποι που γνωρίζεις. Άνθρωποι που έχεις βοηθήσει.
Text/299_suppress6/text,Αλλά η επιβίωση έχει ένα τίμημα. [color=DARK_ORANGE]Έχεις κάνει την επιλογή σου.[/color]
Text/299_suppress7/text,[pulse freq=3][color=CRIMSON]Πολέμησε για το κράτος![/color][/pulse] Κατάστειλε την επίθεση της αντίστασης!
Text/299_suppress8/text,"Όταν καθαρίσει ο καπνός, πτώματα κείτονται στο έδαφος. Κάποια φορούν σήματα αντίστασης."
Text/299_suppress9/text,[color=STEEL_BLUE]Αναγνωρίζεις πρόσωπα ανάμεσα στους πεσόντες.[/color]
Text/299_suppress10/text,Ο Μέρφι κείτεται ανάμεσα στους νεκρούς. Τα μάτια του κοιτούν το κενό. Η φωτογραφία του Τόμι σφιγμένη στο χέρι του.
Text/299_suppress11/text,[color=STEEL_BLUE]Πέθανε πολεμώντας για κάτι που πίστευε. Εσύ βοήθησες να το σκοτώσεις.[/color]
Text/300/text,"Η επίθεση της αντίστασης απέτυχε. Το φυλάκιο στέκεται, ισχυρότερο από ποτέ. Και εσύ παραμένεις στη θέση σου."
Text/301/text,[pulse freq=2][color=GOLD]ΖΗΤΩ Ο ΠΡΩΘΥΠΟΥΡΓΟΣ ΑΪΝΤΑΧΟ![/color][/pulse] Υπερασπιστής του Σπαντ! Νικητής των προδοτών!
Text/302/text,"Μια τεράστια πατάτα με περίτεχνα διάσημα κατεβαίνει από ένα τεθωρακισμένο όχημα, πλαισιωμένη από επίλεκτους φρουρούς."
Text/303/text,"Ο Αϊντάχο επιθεωρεί το φυλάκιο με ψυχρά, υπολογιστικά μάτια."
Text/304/text,"Ο Ράσετ σπεύδει μπροστά, υποκλινόμενος βαθιά. Πρωθυπουργέ! Μας τιμά η παρουσία σας!"
Text/305/text,Οι προδότες έχουν [color=DARK_VIOLET]επεξεργαστεί[/color] όπως διατάξατε. Η παραγωγή έχει αυξηθεί κατά 40% αυτό το τρίμηνο!
Text/306/text,Και αυτός είναι ο αξιωματικός που παρέμεινε πιστός κατά τη διάρκεια της εξέγερσης;
Text/307/text,"Ναι, Πρωθυπουργέ. Αταλάντευτη αφοσίωση. Ανέφερε ύποπτες δραστηριότητες. Ένας υποδειγματικός πολίτης."
Text/308/text,"Ο Αϊντάχο προχωράει μπροστά, καρφώνοντας ένα μετάλλιο στο στήθος σου - [color=GOLD]Ο Χρυσός Κόνδυλος[/color]."
Text/309/text,Για υπηρεσία πέρα από το καθήκον. Έχεις αποδείξει ότι η [color=DARK_ORANGE]πίστη στο Σπαντ[/color] θα ανταμείβεται πάντα.
Choice/30a/text,"Ευχαριστώ, Πρωθυπουργέ. Δόξα στο Σπαντ."
Choice/30b/text,"Έκανα απλώς το καθήκον μου, κύριε. (Εξαναγκασμένο χαμόγελο)"
Text/30c/text,Το χαμόγελο του Αϊντάχο δεν φτάνει στα μάτια του. Ναι. Σίγουρα το έκανες.
Text/30d/text,Ο Αϊντάχο σε μελετά για μια μεγάλη στιγμή. Καθήκον. [color=STEEL_BLUE]Μια τόσο απλή λέξη για τόσο περίπλοκες ενέργειες.[/color]
Text/30e/text,"Αναρωτιέμαι τι [color=CRIMSON]εφιάλτες[/color] επισκέπτονται όσους κάνουν τόσο καλά το ""καθήκον"" τους."
Text/30f/text,"Ένα γλέντι γίνεται προς τιμήν της νίκης. Τα τραπέζια στενάζουν από φαγητό, συμπεριλαμβανομένων γενναιόδωρων μερίδων [color=DARK_VIOLET]Απόθεμα Ρίζας[/color]."
Text/310/text,"Ο Russet σηκώνει ένα ποτήρι με παχύ, μοβ υγρό. Μια πρόποση! Στους [color=CRIMSON]προδότες που μας θρέφουν[/color]!"
Text/311/text,Το δωμάτιο γελάει. Κάποιοι νευρικά. Οι περισσότεροι ειλικρινά.
Text/312/text,"Σου σπρώχνει ένα πιάτο. Δοκίμασε τη νέα παρτίδα. [color=DARK_VIOLET]""Μείγμα Αντίστασης.""[/color] Η συνεισφορά της Σάσα στο μέλλον του Spud."
Text/313/text,Το στομάχι σου σφίγγεται. Το φαγητό στο πιάτο. [color=CRIMSON]Σάσα.[/color] Η ξαδέρφη του Μέρφι. Η γυναίκα από τη φωτογραφία.
Text/314/text,[tornado radius=3 freq=2][color=CRIMSON]Όλοι τους.[/color][/tornado]
Choice/315/text,Αναγκάσου να φας - διατήρησε την κάλυψή σου
Choice/316/text,Σπρώξε το πιάτο μακριά - δεν μπορείς να το κάνεις αυτό
Text/317/text,Σηκώνεις το πιρούνι στα χείλη σου. Κλείνεις τα μάτια σου. [color=STEEL_BLUE]Μάσα. Κατάπιε. Μην σκέφτεσαι.[/color]
Text/318/text,"Ο Russet γνέφει επιδοκιμαστικά. ""Καλό. [color=DARK_ORANGE]Θα πας μακριά.[/color]"""
Text/319/text,"Σπρώχνεις το πιάτο μακριά. ""Δεν αισθάνομαι καλά. Ο ενθουσιασμός της ημέρας..."""
Text/31a/text,"Τα μάτια του Russet στενεύουν στιγμιαία, μετά μαλακώνουν. Φυσικά. Τόσο [color=YELLOW]ευαίσθητη κράση[/color]."
Text/31b/text,"Ξεκουράσου. Αύριο, έχουμε [color=CRIMSON]περισσότερη επεξεργασία[/color] να επιβλέψουμε."
Text/31c/text,Επιστρέφεις στα καταλύματά σου. Το μετάλλιο βαραίνει στο στήθος σου.
Text/31d/text,Βγάζεις τη φωτογραφία της αγνοούμενης συζύγου. Η σύζυγός της είναι πιθανώς στην ίδια παρτίδα με αυτήν τώρα.
Text/31e/text,Υποσχέθηκες να τη βρεις. [color=STEEL_BLUE]Τη βρήκες.[/color] Απλώς όχι με τον τρόπο που ελπίζατε κανένας από τους δύο.
Text/31f/text,Μέρφι. Ο φίλος σου. Αυτός που σε εμπιστεύτηκε. Ήταν στην αντίσταση.
Text/320/text,[color=CRIMSON]Ήταν.[/color]
Text/321/text,Κοιτάζεις την αντανάκλασή σου στο παράθυρο. Το μετάλλιο λάμπει. [color=DARK_ORANGE]Χρυσός Κόνδυλος[/color]. Ήρωας του Spud.
Text/322/text,[color=STEEL_BLUE]Τέρας σε φλούδα πατάτας.[/color]
Text/323/text,"Εκείνο το βράδυ, ονειρεύεσαι τη Σάσα. Δεν κατηγορεί. Δεν οργίζεται. Αυτό θα ήταν ευκολότερο."
Text/324/text,"Απλώς σε κοιτάζει με αυτά τα μάτια. [color=CHARTREUSE]Οι ρίζες μεγαλώνουν βαθιά[/color], ψιθυρίζει."
Text/325/text,Ακόμα και οι [color=STEEL_BLUE]σάπιες[/color].
Text/326/text,Περάσανε μήνες. Προάγεσαι. Περιφερειακός Επιθεωρητής Ασφάλειας Συνόρων. Το δεξί χέρι του Russet.
Text/327/text,Εποπτεύεις περισσότερες απορρίψεις από οποιονδήποτε στην ιστορία του Σπαντ. Η παραγωγή [color=DARK_VIOLET]Αποθέματος Ρίζας[/color] εκτοξεύεται.
Text/328/text,Το γραφείο σου είναι άνετο. Οι μερίδες σου είναι γενναιόδωρες. Η οικογένειά σου είναι προστατευμένη.
Text/329/text,Έχεις όλα όσα σου υποσχέθηκαν.
Text/32a/text,Τα πάντα εκτός από τον [color=STEEL_BLUE]ύπνο[/color]. Εκτός από την [color=STEEL_BLUE]ειρήνη[/color]. Εκτός από την ικανότητα να κοιτάς στον καθρέφτη.
Text/32b/text,"Μια μέρα, το παρατηρείς. Ένα [color=GOLD]κίτρινο έμβλημα πατάτας[/color] χαραγμένο σε έναν τοίχο. Μετά ένα άλλο. Μετά δεκάδες."
Text/32c/text,Μια νέα αντίσταση σχηματίζεται. Πιο ήσυχη. Πιο προσεκτική. Μαθαίνοντας από τα λάθη της Σάσα.
Choice/32d/text,Αναφορά των συμβόλων στην ασφάλεια αμέσως
Choice/32e/text,Προσποιήσου ότι δεν τα είδες
Choice/32f/text,Άφησε το δικό σου σημάδι - ένα μόνο κίτρινο φύλλο
Text/330/text,Υποβάλλεις την αναφορά. Άλλη μια παρτίδα υπόπτων συνελήφθη. Άλλη μια προαγωγή.
Text/331/text,Ο κύκλος συνεχίζεται. [color=CRIMSON]Έχεις γίνει η μηχανή.[/color]
Text/332/text,Περνάς. Δεν λες τίποτα. Δεν είναι πολλά. [color=STEEL_BLUE]Είναι σχεδόν τίποτα.[/color]
Text/333/text,Αλλά είναι η πρώτη φορά που επέλεξες να μην ενεργήσεις εναντίον τους.
