keys,en
sex_male,Male
sex_female,Female
condition_fresh,Fresh
condition_extra_eyes,Extra Eyes
condition_rotten,Rotten
condition_sprouted,Sprouted
condition_dehydrated,Dehydrated
condition_frozen,Frozen
race_russet,Russet
race_yukon_gold,Yukon Gold
race_sweet_potato,Sweet Potato
race_purple_majesty,Purple Majesty
country_spudland,Spudland
country_potatopia,Potatopia
country_tuberstan,Tuberstan
country_north_yamnea,North Yamnea
country_spuddington,Spuddington
country_tatcross,Tatcross
country_mash_meadows,Mash Meadows
country_tuberville,Tuberville
country_chip_hill,Chip Hill
country_murphyland,Murphyland
country_colcannon,Colcannon
country_pratie_point,Pratie Point
