keys,ja
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - パッチノート
patch_1_2_0_personal_note_header,開発者より
patch_1_2_0_personal_note,"このアップデートは、生後数ヶ月をNICUで過ごした私の小さな子供に捧げます。生まれた時はわずか1ポンドでしたが、今では20ポンドの純粋な喜びです。この旅に参加してくださった皆様、ありがとうございます。2,000人以上のプレイヤーがSpud Customsを体験しました！"
patch_1_2_0_visual_header,ビジュアルの強化
patch_1_2_0_visual_1,アニメーションアートの統合：StagNationによる新しいアニメーションGIFをオープニングシーンに組み込みました
patch_1_2_0_visual_2,アートの刷新：視覚品質向上のため、プレイヤーが最初に目にする5つのシーンを再描画しました
patch_1_2_0_visual_3,動的な背景：難易度の上昇に応じて背景のビジュアルが変化するようになりました
patch_1_2_0_story_header,ストーリーとナラティブ
patch_1_2_0_story_1,選択の持続性：ナラティブの選択肢がすべてのレベルで適切に引き継がれるようになりました
patch_1_2_0_story_2,視覚的な進行表示：現在のシフト数に基づいて、主要なゲームプレイシーンにストーリー進行の視覚的なインジケーターを追加しました
patch_1_2_0_story_3,分岐ダイアログの修正：最終ナラティブシーンにおける分岐ダイアログの問題を修正しました
patch_1_2_0_bugfix_header,不具合修正
patch_1_2_0_bugfix_1,実績システム：実績の追跡を修正し、すべての実績が適切に解除されるようになりました
patch_1_2_0_bugfix_2,リーダーボード：リーダーボードがロード中に停止する問題を修正しました
patch_1_2_0_bugfix_3,画面揺れ：画面揺れが使用後に適切に元の状態に戻るようになりました
patch_1_2_0_bugfix_4,難易度調整：イージーモードのスケーリング係数を修正しました
patch_1_2_0_bugfix_5,背景表示：ダイアログシーン中に背景が表示されない問題を修正しました
patch_1_2_0_bugfix_6,テキストの視認性：視認性向上のため、テキストの色合いを改善しました
patch_1_2_0_engagement_header,プレイヤーエンゲージメント
patch_1_2_0_engagement_1,レビューのお願い：デモ版および製品版プレイヤー向けにレビューを促すプロンプトを追加しました
patch_1_2_0_engagement_2,翻訳の修正：対応言語全体で様々な翻訳の改善を行いました
patch_1_2_0_technical_header,技術的改善
patch_1_2_0_technical_1,対応言語の拡張：Steamがサポートする全31言語に対応しました
patch_1_2_0_technical_2,翻訳システムの見直し：メンテナンス性向上のため、翻訳ファイルを再編成しました
