keys,it
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - NOTE SULLA PATCH
patch_1_2_0_personal_note_header,UNA NOTA PERSONALE DALLO SVILUPPATORE
patch_1_2_0_personal_note,"Questo aggiornamento è dedicato al mio piccolo, che ha trascorso i primi mesi di vita in terapia intensiva neonatale (TIN) - da 1 libbra alla nascita a ora 20 libbre di pura gioia. Grazie a tutti coloro che si sono uniti a questo viaggio - oltre 2.000 giocatori hanno ora provato Spud Customs!"
patch_1_2_0_visual_header,MIGLIORAMENTI VISIVI
patch_1_2_0_visual_1,Integrazione di grafica animata: Integrate nuove GIF animate da StagNation nelle scene iniziali
patch_1_2_0_visual_2,Revisione grafica: Ridisegnate le prime cinque scene che i giocatori vedono per una migliore qualità visiva
patch_1_2_0_visual_3,Sfondi dinamici: Gli sfondi ora cambiano all'aumentare della difficoltà
patch_1_2_0_story_header,STORIA E NARRAZIONE
patch_1_2_0_story_1,Persistenza delle scelte: Le scelte narrative ora vengono correttamente mantenute attraverso tutti i livelli
patch_1_2_0_story_2,Progressione visiva: Aggiunti indicatori visivi della progressione della storia nelle scene di gioco principali basati sul numero di turno attuale
patch_1_2_0_story_3,Correzioni al dialogo ramificato: Risolti problemi con il dialogo ramificato nelle scene narrative finali
patch_1_2_0_bugfix_header,CORREZIONI DI BUG
patch_1_2_0_bugfix_1,Sistema di obiettivi: Corretto il tracciamento degli obiettivi - tutti gli obiettivi ora si sbloccano correttamente
patch_1_2_0_bugfix_2,Classifica: Risolto il problema per cui la classifica rimaneva bloccata durante il caricamento
patch_1_2_0_bugfix_3,Vibrazione schermo: La vibrazione dello schermo ora si resetta correttamente all'origine dopo ogni utilizzo
patch_1_2_0_bugfix_4,Scalatura della difficoltà: Corretto il fattore di scalatura della modalità facile
patch_1_2_0_bugfix_5,Visualizzazione sfondi: Risolti sfondi mancanti durante le scene di dialogo
patch_1_2_0_bugfix_6,Leggibilità del testo: Migliorata la colorazione del testo per una migliore leggibilità
patch_1_2_0_engagement_header,COINVOLGIMENTO DEL GIOCATORE
patch_1_2_0_engagement_1,Richieste di recensione: Aggiunti inviti a lasciare una recensione per i giocatori della demo e del gioco completo
patch_1_2_0_engagement_2,Correzioni di traduzione: Vari miglioramenti alla traduzione nelle lingue supportate
patch_1_2_0_technical_header,MIGLIORAMENTI TECNICI
patch_1_2_0_technical_1,Supporto linguistico ampliato: Ora supportate tutte le 31 lingue supportate da Steam
patch_1_2_0_technical_2,Revisione del sistema di traduzione: Riorganizzati i file di traduzione per una migliore manutenibilità
