'39c7adf,David McHale,13 minutes ago,Adding more logging to Steam Manager and ShiftSummaryScreen, updating app id to full release build'
'd1c1be9,David McHale,88 minutes ago,Updating GodotSteam and adding improved logging for debugging Steam build leaderboard issues'
'0b0bd5d,David McHale,3 hours ago,Update checkpoint_exterior.png'
'a3e09a5,David McHale,3 hours ago,Update nation_of_spud.png'
'346cbf4,David McHale,3 hours ago,Merge branch 'main' of https://github.com/Lost-Rabbit-Digital/SpudCustoms'
'11fbf47,David McHale,3 hours ago,Adding a presskit for Spud Customs to the project_management section'
'6ba2ec2,Boden McHale,31 hours ago,Merge branch 'main' of https://github.com/Lost-Rabbit-Digital/SpudCustoms'
'c294e5b,Boden McHale,31 hours ago,Update scratch_pad.md'
'79f08ca,David McHale,33 hours ago,Removing old implementation notes'
'1a3c501,David McHale,2 days ago,Updating scratch pad and adding Linux export option'
'b9b263f,David McHale,2 days ago,Updating narrative translations'
'53d431e,David McHale,2 days ago,Pushing cleaned up translations from Claude 3.7'
'3f81d0a,David McHale,2 days ago,Update dialogic_shift9_end_translation.csv'
'739dcea,David McHale,2 days ago,Updating translations for shift 7 and 8 cutscenes'
'a824685,David McHale,2 days ago,Updating translations for shifts 5 and 6'
'51c93ae,David McHale,2 days ago,Update dialogic_shift5_end_translation.csv'
'71c0853,David McHale,2 days ago,Updating translations for shift 3 and 4'
'1a13a17,David McHale,2 days ago,Update dialogic_shift2_intro_translation.csv'
'cbd8d7b,David McHale,2 days ago,Update dialogic_shift1_end_translation.csv'
'591e055,David McHale,2 days ago,Update dialogic_shift1_intro_translation.csv'
'5ae5076,David McHale,2 days ago,Updating translation for tutorial and converting all cutscene resources to UTF-8'
'b59179c,David McHale,2 days ago,Pushing up translation improvements'
'bba93a4,David McHale,2 days ago,Fixing day transition bug and updating shift summary translations'
'366e011,David McHale,2 days ago,Updating completed translation task'
'4b04095,David McHale,2 days ago,Merge branch 'main' of https://github.com/Lost-Rabbit-Digital/SpudCustoms'
'3a3d0a2,David McHale,2 days ago,Added localization support to bubble dialogues'
'e02daec,Boden McHale,2 days ago,Merge branch 'main' of https://github.com/Lost-Rabbit-Digital/SpudCustoms'
'aac577e,Boden McHale,2 days ago,Added checks for blowing up innocent Spuds'
'df123b5,David McHale,2 days ago,Updating stamp system and main game to fix shift end translation and perfect stamp translation'
'f9a843b,David McHale,2 days ago,Updating to use translation keys in BorderRunnerSystem'
'7ed060e,David McHale,2 days ago,Adding translations for violations to the control station'
'419d07f,David McHale,3 days ago,Adding localization support for 18 languages'
'8e1236f,David McHale,3 days ago,Pushing up first game scene translation updates'
'7453369,David McHale,3 days ago,Adding language codes to dialogic translation source files'
'47a5e0a,David McHale,3 days ago,Update scratch_pad.md'
'51120e1,David McHale,3 days ago,Fixed perfect stamp alert and VFX'
'1d9e03d,David McHale,3 days ago,Merge branch 'main' of https://github.com/Lost-Rabbit-Digital/SpudCustoms'
'b792311,David McHale,3 days ago,Applying translation updates'
'15408c8,Boden McHale,3 days ago,Update scratch_pad.md'
'bbdce11,Boden McHale,3 days ago,Updating notes'
'237f1d1,Boden McHale,3 days ago,Fixed suspect z_index'
'6572ba3,David McHale,3 days ago,Merge branch 'main' of https://github.com/Lost-Rabbit-Digital/SpudCustoms'
'b02ebae,David McHale,3 days ago,Updating translations for Spud Customs'
'c900eae,Boden McHale,3 days ago,Fixed vehicle clipping'
'15a941a,Boden McHale,3 days ago,Fixing z_index errors for suspect panel and customs office'
'6346e7a,Boden McHale,3 days ago,Updating z_indexes in drag and drop manager'
'32efc5a,Boden McHale,3 days ago,Implementing z_indexes into mainGame scene'
'ead88c0,Boden McHale,3 days ago,Finished up z_index implementation in BorderRunnerSystem'
'28beab0,Boden McHale,3 days ago,Updating z_indexes in BorderRunnerSystem'
'e67afa9,Boden McHale,3 days ago,Adding more z_indexes to the file'
'fb3b9b4,Boden McHale,3 days ago,Disabled RapidRunners'
'4be8992,Boden McHale,3 days ago,Update scratch_pad.md'
'61f7cff,Boden McHale,3 days ago,Fixed emote BorderRunner showing anger emote ontop of others'
'3bf5e36,Boden McHale,3 days ago,Adding more z_indexes'
'28a091c,David McHale,3 days ago,Makin everyone happy in victory_scene_1'
'827d807,David McHale,4 days ago,Generating dtl translations'
'e86a399,David McHale,4 days ago,Adding Godot 4 compliant translation files and testing menu translations initially'
'616b2e0,David McHale,4 days ago,Changing structure to use section-based CSVs and then using language codes inside of the CSVs per Godot standards'
'b855a71,David McHale,4 days ago,First pass at pulling text into function and language-specific CSVs'
'4e32893,David McHale,4 days ago,Pushing stubs for localization into Steam supported languages except RTL (ar, he)'
'aabcf8a,David McHale,4 days ago,Adding stubs for localization starting with English'
'946c3b3,David McHale,4 days ago,Update reckoning_1.png'
