keys,ru
Text/a6/text,"На пограничном пункте сегодня иная атмосфера. Напряженная. Усиленные патрули безопасности, настороженное молчание сменило болтовню."
Text/a7/text,"Прошлой ночью были обнаружены [pulse freq=2][color=CRIMSON]запрещенные материалы[/color][/pulse]. Листовки, содержащие ложь о [color=DARK_VIOLET]Корневом Резерве[/color]."
Text/a8/text,Мы вводим [wave amp=15 freq=2][color=DARK_ORANGE]протоколы оранжевого уровня угрозы[/wave]. Все офицеры подлежат проверке на лояльность. Все путешественники подвергаются максимальной проверке.
Text/a9/text,Это работает. Листовки распространяются. Люди задают вопросы о [color=DARK_VIOLET]Корневом Резерве[/color].
Text/aa/text,"У меня есть источники, которые сообщают мне, что в офисе Рассета есть журнал отгрузок — транспортные манифесты, которые могут [tornado radius=3 freq=2][color=CHARTREUSE]доказать всё[/color][/tornado]."
Text/ab/text,"Мне нужна твоя помощь, чтобы достать его. Сегодня ночью, после последней смены. Могу я на тебя рассчитывать?"
Choice/ac/text,"""Я в деле. Раскроем правду."""
Choice/ad/text,"""Не знаю, Саша... это может быть опасно."""
Text/ae/text,"Слава богу. Я знал, что у тебя [color=CHARTREUSE]корни крепче, чем у других[/color]. Встретимся в полночь."
Text/af/text,"Иногда нам приходится [color=CHARTREUSE]рисковать быть раздавленными, чтобы поступить правильно[/color]. Подумай об этом."
Text/b0/text,"[color=DARK_ORANGE]Проверка на лояльность[/color]. Назовите ваше имя и идентификационный номер офицера. Затем скажите, почему вы служите Спуду."
Choice/b1/text,"""Я служу, чтобы защищать наши границы от опасных влияний."""
Choice/b2/text,"""Я служу, чтобы каждый получал справедливое отношение."""
Text/b3/text,"Хороший ответ. Спуду нужны верные защитники. Сканер горит зелёным. Продолжайте, офицер."
Text/b4/text,"Брови офицера приподнимаются. Справедливое отношение? Сканер мигает [color=DARK_ORANGE]янтарным[/color]. Помните, наша главная забота — безопасность, а не справедливость."
Text/b5/text,"Сегодняшняя квота была увеличена. Любой, у кого обнаружены подозрительные материалы, должен быть отмечен для [color=DARK_VIOLET]специальной обработки[/color]."
Text/b6/text,Я буду очень внимательно [color=DARK_ORANGE]следить за вашими решениями[/color] сегодня.
Text/b7/text,"Сегодняшняя ночь может изменить всё. Но сначала, [color=YELLOW]переживите день, не вызывая подозрений[/color]."
Text/b4_viktor1/text,"Крепкий охранник хватает вас за руку, когда вы проходите мимо. На его лице читается беспокойство."
Text/b4_viktor2/text,"Эй... извините, что беспокою. Вы один из таможенников, верно? Меня зовут [color=CHARTREUSE]Виктор[/color]."
Text/b4_viktor3/text,"Я спрашивал всех о моей жене, [color=GOLD]Елене[/color]. Елена Петрова. Она пересекла этот пункт пропуска три недели назад."
Text/b4_viktor4/text,"[color=STEEL_BLUE]Не прошла проверку.[/color] Они сказали, что её обработают и отправят домой, но... я ничего не слышал."
Text/b4_viktor5/text,"Его голос дрожит. Никто ничего мне не говорит. Вы знаете, куда отправляют отклоненных путешественников?"
Choice/b4_viktor6/text,"""Мне жаль, Виктор. Я не знаю. Но я буду присматривать."""
Choice/b4_viktor7/text,"""Я не могу обсуждать детали обработки. Протоколы безопасности."""
Text/b4_viktor8/text,"Глаза Виктора вспыхивают надеждой. [color=CHARTREUSE]Спасибо.[/color] Всё, что узнаешь... пожалуйста. Она — всё, что у меня есть."
Text/b4_viktor9/text,Виктор уныло кивает. [color=STEEL_BLUE]Понятно. Протоколы.[/color] Я понимаю.
Text/b4_viktor10/text,"Но если передумаешь... [color=YELLOW]Мне нужно знать, что с ней случилось.[/color]"
Choice/ac/disabled_text,
Choice/b2/disabled_text,
Choice/b1/disabled_text,
Choice/ad/disabled_text,
Choice/b4_viktor6/disabled_text,
Choice/b4_viktor7/disabled_text,
