keys,uk
Text/299_suppress1/text,"Хаос спалахує, коли починається атака опору. Вибухи стрясають КПП."
Text/299_suppress2/text,Ти міг би втекти. Міг би сховатися. Натомість ти [color=DARK_ORANGE]обираєш свій бік[/color].
Text/299_suppress3/text,Рассет хапає тебе за руку. [pulse freq=2][color=YELLOW]ОСЬ ТВІЙ ШАНС![/color][/pulse] Доведи свою вірність!
Text/299_suppress4/text,Опір намагається прорватися через східні ворота! [color=CRIMSON]Зупини їх![/color]
Text/299_suppress5/text,"Ти стискаєш свою зброю. Це можуть бути люди, яких ти знаєш. Люди, яким ти допомагав."
Text/299_suppress6/text,Але виживання має свою ціну. [color=DARK_ORANGE]Ти зробив свій вибір.[/color]
Text/299_suppress7/text,[pulse freq=3][color=CRIMSON]Бийся за державу![/color][/pulse] Придуши атаку опору!
Text/299_suppress8/text,"Коли дим розсіюється, тіла вкривають землю. Деякі носять значки опору."
Text/299_suppress9/text,[color=STEEL_BLUE]Ти впізнаєш обличчя серед полеглих.[/color]
Text/299_suppress10/text,Мерфі лежить серед мертвих. Його очі дивляться в нікуди. Фото Томмі затиснуте в його руці.
Text/299_suppress11/text,"[color=STEEL_BLUE]Він помер, борючись за те, у що вірив. Ти допоміг це вбити.[/color]"
Text/300/text,"Атака опору провалилася. КПП стоїть, міцніше, ніж будь-коли. І ти залишаєшся на своєму посту."
Text/301/text,[pulse freq=2][color=GOLD]СЛАВА ПРЕМ'ЄР-МІНІСТРУ АЙДАХО![/color][/pulse] Захисник Спуда! Переможець зрадників!
Text/302/text,"Величезна картопля в пишних регаліях спускається з броньованого автомобіля, оточена елітними охоронцями."
Text/303/text,"Айдахо оглядає КПП холодними, розважливими очима."
Text/304/text,"Рассет поспішає вперед, глибоко вклоняючись. Прем'єр-міністре! Ми вшановані вашою присутністю!"
Text/305/text,"Зрадників було [color=DARK_VIOLET]оброблено[/color], як ви наказали. Виробництво зросло на 40% цього кварталу!"
Text/306/text,"І це офіцер, який залишився вірним під час повстання?"
Text/307/text,"Так, Прем'єр-міністре. Непохитна відданість. Повідомляв про підозрілу діяльність. Зразковий громадянин."
Text/308/text,"Айдахо робить крок вперед, прикріплюючи медаль до твоїх грудей — [color=GOLD]Золота Бульба[/color]."
Text/309/text,"За службу понад обов'язок. Ти довів, що [color=DARK_ORANGE]вірність Спуду[/color] завжди буде винагороджена."
Choice/30a/text,"Дякую, Прем'єр-міністре. Слава Спуду."
Choice/30b/text,"Я лише виконував свій обов'язок, сер. (Вимушена посмішка)"
Text/30c/text,"Посмішка Айдахо не досягає його очей. Так. Ти, безумовно, виконав."
Text/30d/text,Айдахо довго вивчає тебе. Обов'язок. [color=STEEL_BLUE]Таке просте слово для таких складних дій.[/color]
Text/30e/text,"Цікаво, які [color=CRIMSON]жахіття[/color] навідують тих, хто так добре виконує свій ""обов'язок""."
Text/30f/text,"На честь перемоги влаштовано бенкет. Столи ломляться від їжі, включно зі щедрими порціями [color=DARK_VIOLET]Кореневого Запасу[/color]."
Text/310/text,"Руссет піднімає склянку густої, фіолетової рідини. Тост! За [color=CRIMSON]зрадників, що нас годують[/color]!"
Text/311/text,Кімната сміється. Дехто нервово. Більшість щиро.
Text/312/text,"Він підсуває тарілку до вас. Скуштуйте нову партію. [color=DARK_VIOLET]""Суміш Опору.""[/color] Внесок Саші у майбутнє Спаду."
Text/313/text,Ваш шлунок стискається. Їжа на тарілці. [color=CRIMSON]Саша.[/color] Кузина Мерфі. Дружина з фотографії.
Text/314/text,[tornado radius=3 freq=2][color=CRIMSON]Усі вони.[/color][/tornado]
Choice/315/text,Примусити себе з'їсти — зберегти прикриття
Choice/316/text,Відштовхнути тарілку — ви не можете цього зробити
Text/317/text,Ви підносите виделку до губ. Заплющуєте очі. [color=STEEL_BLUE]Жувати. Ковтати. Не думати.[/color]
