keys,cs
LAWS,ZÁKONY
_VALIDATION MESSAGES,
msg_not_fresh,"Brambora byla %s, ale musí být čerstvá"
msg_extra_eyes,"Brambora měla Extra Oči, což je zakázáno"
msg_rotten,Shnilé brambory nejsou povoleny
msg_sprouted,Naklíčené brambory nejsou povoleny
msg_dehydrated,Dehydratované brambory nejsou dnes povoleny
msg_frozen,Zmrazené brambory jsou zakázány
msg_over_age,Brambora je stará %d let (max 5 let)
msg_under_age,Brambora je stará %d let (musí být starší 3 let)
_LAWS,
law_fresh_potatoes,[color=dark_goldenrod]POUZE čerstvé[/color] brambory povoleny - [color=dark_red]ODMÍTNOUT[/color] všechny ostatní
law_extra_eyes,[color=dark_goldenrod]Extra Oči[/color] stav brambory musí být [color=dark_red]ODMÍTNUTY[/color]
law_rotten,[color=dark_goldenrod]Shnilé[/color] brambory musí být [color=dark_red]ODMÍTNUTY[/color]
law_sprouted,[color=dark_goldenrod]Naklíčené[/color] brambory musí být [color=dark_red]ODMÍTNUTY[/color]
law_dehydrated,[color=dark_goldenrod]Dehydrované[/color] brambory musí být [color=dark_red]ODMÍTNUTY[/color]
law_frozen,[color=dark_goldenrod]Zmrazené[/color] brambory musí být [color=dark_red]ODMÍTNUTY[/color]
law_over_5_years,Brambory [color=dark_goldenrod]5 let nebo starší[/color] musí být [color=dark_red]ODMÍTNUTY[/color]
law_under_3_years,Brambory [color=dark_goldenrod]3 roky nebo mladší[/color] musí být [color=dark_red]ODMÍTNUTY[/color]
law_under_2_years,Brambory [color=dark_goldenrod]2 roky nebo mladší[/color] musí být [color=dark_red]ODMÍTNUTY[/color]
law_males_only,[color=dark_goldenrod]POUZE samčí[/color] brambory povoleny - [color=dark_red]ODMÍTNOUT[/color] všechny samičí
law_females_only,[color=dark_goldenrod]POUZE samičí[/color] brambory povoleny - [color=dark_red]ODMÍTNOUT[/color] všechny samčí
law_country_spudland,[color=dark_goldenrod]VŠECHNY[/color] brambory ze [color=dark_goldenrod]Spudlandu[/color] musí být [color=dark_red]ODMÍTNUTY[/color]
law_country_potatopia,[color=dark_goldenrod]VŠECHNY[/color] brambory z [color=dark_goldenrod]Potatopie[/color] musí být [color=dark_red]ODMÍTNUTY[/color]
law_country_tuberstan,[color=dark_goldenrod]VŠECHNY[/color] brambory z [color=dark_goldenrod]Tuberstanu[/color] musí být [color=dark_red]ODMÍTNUTY[/color]
law_country_north_yamnea,[color=dark_goldenrod]VŠECHNY[/color] brambory ze [color=dark_goldenrod]Severní Yamnea[/color] musí být [color=dark_red]ODMÍTNUTY[/color]
law_country_spuddington,[color=dark_goldenrod]VŠECHNY[/color] brambory ze [color=dark_goldenrod]Spuddingtonu[/color] musí být [color=dark_red]ODMÍTNUTY[/color]
law_country_tatcross,[color=dark_goldenrod]VŠECHNY[/color] brambory z [color=dark_goldenrod]Tatcrossu[/color] musí být [color=dark_red]ODMÍTNUTY[/color]
law_country_mash_meadows,[color=dark_goldenrod]VŠECHNY[/color] brambory z [color=dark_goldenrod]Mash Meadows[/color] musí být [color=dark_red]ODMÍTNUTY[/color]
law_country_tuberville,[color=dark_goldenrod]VŠECHNY[/color] brambory z [color=dark_goldenrod]Tuberville[/color] musí být [color=dark_red]ODMÍTNUTY[/color]
law_country_chip_hill,[color=dark_goldenrod]VŠECHNY[/color] brambory z [color=dark_goldenrod]Chip Hill[/color] musí být [color=dark_red]ODMÍTNUTY[/color] (vývozní zákaz)
law_country_murphyland,[color=dark_goldenrod]VŠECHNY[/color] brambory z [color=dark_goldenrod]Murphylandu[/color] musí být [color=dark_red]ODMÍTNUTY[/color]
law_country_colcannon,[color=dark_goldenrod]VŠECHNY[/color] brambory z [color=dark_goldenrod]Colcannonu[/color] musí být [color=dark_red]ODMÍTNUTY[/color]
law_country_pratie_point,[color=dark_goldenrod]VŠECHNY[/color] brambory z [color=dark_goldenrod]Pratie Point[/color] musí být [color=dark_red]ODMÍTNUTY[/color]
law_purple_majesty,[color=dark_goldenrod]Purple Majesty[/color] typy brambor musí být [color=dark_red]ODMÍTNUTY[/color]
law_sweet_potatoes,[color=dark_goldenrod]Sladká brambora[/color] typy musí být [color=dark_red]ODMÍTNUTY[/color] (žádná povolení k dispozici)
law_yukon_gold,[color=dark_goldenrod]Yukon Gold[/color] typy brambor musí být [color=dark_red]ODMÍTNUTY[/color]
law_fingerling,[color=dark_goldenrod]Fingerling[/color] typy brambor musí být [color=dark_red]ODMÍTNUTY[/color]
law_red_bliss,[color=dark_goldenrod]Red Bliss[/color] typy brambor musí být [color=dark_red]ODMÍTNUTY[/color]
law_russet,[color=dark_goldenrod]Russet[/color] typy brambor musí být [color=dark_red]ODMÍTNUTY[/color]
