keys,fr
dialogue_spud_being_called_1,"Prochaine étape, ton destin t'attend."
dialogue_spud_being_called_2,"En tête de la file, le moment de vérité approche."
dialogue_spud_being_called_3,"Avance, élu de la tribu des tubercules."
dialogue_spud_being_called_4,Félicitations ! Ton attente a réussi.
dialogue_spud_being_called_5,La Grande Bureaucratie de la Pomme de Terre te convoque.
dialogue_spud_being_called_6,"Avance, noble tubercule ! Les papiers attendent !"
dialogue_spud_being_called_7,Avance ! Le tampon devient nerveux.
dialogue_spud_being_called_8,Bouge prestement ! Le formulaire P-38B nécessite d'être rempli.
dialogue_spud_being_called_9,"Viens en avant, le destin exige ton entrée."
dialogue_spud_being_called_10,"Approche du comptoir du jugement, tubercule."
dialogue_spud_in_office_1,Sois patient. Le temps est une illusion.
dialogue_spud_in_office_2,L'attente construit le caractère. Et l'amidon.
dialogue_spud_in_office_3,La file avance de manière mystérieuse.
dialogue_spud_in_office_4,Ta position est notée par les autorités.
dialogue_spud_in_office_5,Faire la queue : la constante universelle.
dialogue_spud_in_office_6,Aucun tubercule n'est prêt avant d'être assaisonné par l'attente.
dialogue_spud_in_office_7,"Patience : pas la seule vertu, mais mentionnée."
dialogue_spud_in_office_8,Les roues bureaucratiques tournent lentement. Très lentement.
dialogue_spud_in_office_9,"Ah, le doux son de la procédure !"
dialogue_spud_in_office_10,La file d'aujourd'hui est l'anecdote de demain.
dialogue_spud_in_office_11,Le temps dans les files se plie. Il a été mesuré.
dialogue_spud_in_office_12,Compétence d'attente : Niveau 43 atteint !
dialogue_warnings_1,Ceux qui s'opposent seront épluché avec précision.
dialogue_warnings_2,Les resquilleurs sont envoyés au Traitement Express.
dialogue_warnings_3,Perturber la file déclenche des conférences sur les files.
dialogue_warnings_4,L'insubordination mène à la Salle à l'Huile Chaude.
dialogue_warnings_5,"Nous n'avons pas besoin d'être justes, juste organisés."
dialogue_warnings_6,Le Comité de Conformité des Pommes de Terre voit tout.
dialogue_warnings_7,Fauteurs de troubles : écrasés sans beurre.
dialogue_warnings_8,Les créateurs de chaos deviennent des röstis. Rapidement.
dialogue_warnings_9,Les contrevenants font face au statut de double cuisson.
dialogue_warnings_10,Les Auditeurs de File ont marqué ton existence.
dialogue_warnings_11,Ton dossier : marqué du tampon ROUGE.
dialogue_misc_1,Où est tout le monde ?
dialogue_misc_2,Urgence ? Continue d'attendre en ordre.
dialogue_misc_3,As-tu lu le paragraphe sept de l'accord d'attente ?
dialogue_misc_4,"Propriété perdue : trouvée, taxée, égarée."
dialogue_misc_5,"Si une pomme de terre se plaint, fait-elle du bruit ?"
dialogue_misc_6,Lumière remplacée par un panneau : 'Plus de Tunnel.'
dialogue_misc_7,La mort est temporaire. La bureaucratie est éternelle.
dialogue_misc_8,Le système d'archivage a atteint la conscience. Reste calme.
dialogue_misc_9,Les numéros chanceux du jour ne signifient rien. Désolé.
dialogue_misc_10,"Apocalypse ? Prends un numéro, attends de disparaître."
dialogue_misc_11,Pas de preuves signifient plus de formulaires.
dialogue_document_interaction_1,"Prends tes documents, s'il te plaît."
dialogue_document_interaction_2,PRENDS-LES !
dialogue_perfect_stamp_1,Excellent travail !
dialogue_perfect_stamp_2,"ÇA, c'est comme ça qu'on tamponne !"
dialogue_perfect_stamp_3,La précision à son apogée !
dialogue_perfect_stamp_4,Les dieux du tampon vous sourient !
dialogue_perfect_stamp_5,Une technique de manuel !
dialogue_runner_stopped_1,JE T'AI EU !
dialogue_runner_stopped_2,Pas sous MA surveillance !
dialogue_runner_stopped_3,"Justice servie, chaude et fraîche !"
dialogue_runner_stopped_4,Voilà ce qui arrive aux fuyards !
dialogue_runner_stopped_5,Cible éliminée !
dialogue_runner_escaped_1,Zut ! Ils se sont échappés !
dialogue_runner_escaped_2,Maudit ! Trop lent !
dialogue_runner_escaped_3,Celui-là a filé...
dialogue_runner_escaped_4,La paperasse pour ça...
dialogue_runner_escaped_5,Pas mon meilleur moment.
dialogue_wrong_stamp_1,"Attendez, ce n'est pas ça..."
dialogue_wrong_stamp_2,"Hmm, est-ce que je voulais faire ça ?"
dialogue_wrong_stamp_3,L'encre... elle me trahit !
dialogue_wrong_stamp_4,Oups.
dialogue_strike_received_1,Ça va aller dans mon dossier...
dialogue_strike_received_2,Le Ministère n'aimera pas ça.
dialogue_strike_received_3,Un pas de plus vers la purée...
dialogue_strike_received_4,Strike ! Mais pas le bon.
