keys,fr
Text/265/text,Le service se termine dans un silence pesant. Les patrouilles de sécurité ont doublé. Tout le monde se déplace en chuchotant.
Text/266/text,Vous vous dirigez vers vos quartiers quand vous l'entendez - [color=YELLOW]des cris provenant de l'aile des officiers[/color].
Text/267/text,Vous tournez le coin pour voir les forces de sécurité [pulse freq=3][color=RED]enfoncer la porte de Sasha[/color][/pulse].
Text/268/text,La voix du Chef Yukon tonne. PATATE DOUCE SASHA ! Vous êtes en état d'arrestation pour [color=CRIMSON]trahison envers la nation de Spud ![/color]
Text/269/text,"Sasha est traînée dehors, se débattant. Ses yeux sont défiants même lorsque les gardes lui tordent les bras derrière le dos."
Text/26a/text,[tornado radius=4 freq=3][color=CHARTREUSE]LA VÉRITÉ ÉCLATERA ! VOUS NE POUVEZ PAS NOUS FAIRE TAIRE TOUS ![/color][/tornado]
Text/26b/text,Son regard vous trouve dans la foule des spectateurs. Le temps semble se figer.
Text/26c/text,Reconnaissance... puis [color=CRIMSON]une compréhension dévastatrice[/color]. Vous avez trahi son emplacement. Elle sait.
Text/26d/text,Elle ne parle pas. Le regard suffit. [color=STEEL_BLUE]Une déception plus profonde que la haine.[/color]
Text/26e/text,Une lueur de quelque chose - [color=CHARTREUSE]espoir ? confiance ?[/color] - traverse son visage.
Text/26f/text,"Ses lèvres bougent silencieusement : ""[color=CHARTREUSE]Les racines sont profondes.[/color]"" Un message. Un rappel."
Text/270/text,"Russet émerge des ombres, la satisfaction suintant de chaque pore."
Text/271/text,"Tiens tiens. La [color=CRIMSON]patate douce tourne au vinaigre[/color]. J'ai toujours su qu'il y avait quelque chose de pourri en toi, Sasha."
Text/272/text,"Russet brandit un dossier. Vos petits [color=DARK_VIOLET]manifestes[/color]. Vos ""preuves."" Tous récupérés."
Text/273/text,"Pensiez-vous vraiment pouvoir saper [pulse freq=2][color=DARK_VIOLET]la Réserve Racinaire[/color][/pulse] ? Me saper, MOI ?"
Text/274/text,"Des copies sont déjà en circulation, Russet. Le monde saura ce que vous faites à notre peuple !"
Text/275/text,Russet rit froidement. Ils sauront ce que nous leur dirons. Et vous ? Vous ferez partie d'un [color=CRIMSON]lot très spécial[/color].
Text/276/text,"""[color=DARK_VIOLET]Mélange de Traîtres[/color]"" - Je pense que ça sonne bien."
