keys,no
Text/b8/text,"Grenseanlegget er i fullstendig nedstengning, med bevæpnet sikkerhet som patruljerer hver korridor."
Text/b9/text,[pulse freq=3][color=RED]OBS! NIVÅ RØD sikkerhetssituasjon![/color][/pulse] Klassifiserte dokumenter ble stjålet i går kveld.
Text/ba/text,Vi har en [tornado radius=4 freq=3][color=CRIMSON]forræder blant oss[/color][/tornado]. Enhver som tilbakeholder informasjon vil bli behandlet som medskyldig.
Text/bb/text,"Alle offiserer, still opp for [wave amp=15 freq=2][color=DARK_ORANGE]sikkerhetsskanning[/color][/wave]. De med forhøyede stressresponser vil bli flagget."
Text/bc/text,Har du sett hva som skjer utenfor? Brosjyrer overalt som viser at [color=DARK_VIOLET]Root Reserve[/color] er laget av... [pulse freq=3][color=CRIMSON]av oss[/color][/pulse].
Choice/bd/text,Senk stemmen din. Vi blir alle overvåket.
Choice/be/text,Jeg har hørt de samme ryktene. Det er skremmende hvis det er sant.
Choice/bf/text,Det er latterlig propaganda. Ikke spre slike løgner.
Text/c0/text,Du har rett. Men hvis det er sant... hva gjør det oss til?
Text/c1/text,Fetteren min ble avvist forrige måned. Betyr det...? Jeg [color=CHARTREUSE]kan ikke gjøre dette lenger[/color].
Text/c2/text,Uttrykket deres blir reservert. Selvfølgelig. Lojal mot Spud for alltid.
Text/c3/text,Oppgi hvor du befant deg i går kveld mellom kl. 22:00 og 04:00.
Choice/c4/text,"Jeg var i mine kvarterer hele natten, og sov."
Choice/c5/text,Jeg foretrekker å snakke med min juridiske representant først.
Text/c6/text,Stressnivåene dine indikerer [color=YELLOW]bedrag[/color]. Imidlertid... ikke konkluderende. Du kan gå for nå.
Text/c7/text,"Juridisk representant? Dette er en sikkerhetsprosedyre, ikke en rettssak. Din nektelse er notert."
Text/c8/text,"Det fungerer. Manifestene har forårsaket oppstyr, men [color=DARK_ORANGE]Russet mistenker oss[/color]."
Text/c9/text,Se etter allierte fra organisasjonen vår under dagens skift. [color=CHARTREUSE]Du vil gjenkjenne dem[/color].
Text/ca/text,"Hvis du kan få dem trygt gjennom, bruk [color=CHARTREUSE]det spesielle merket vi diskuterte[/color]."
Choice/cb/text,Det er verdt risikoen. Jeg er med.
Choice/cc/text,Dette blir for farlig. Kanskje vi burde holde lav profil.
Text/cd/text,"Jeg visste jeg kunne stole på deg. Når dette er over, [color=CHARTREUSE]vil Spud vite hvem de virkelige heltene var[/color]."
Text/ce/text,Vi er langt forbi det punktet. Å holde lav profil vil ikke redde oss. [color=CHARTREUSE]Bare å velte systemet vil gjøre det[/color].
Text/cf/text,Hver stasjon har nå det nye [color=DARK_ORANGE]RealityScan-systemet[/color]. Det oppdager uautoriserte markeringer og forfalskninger.
Text/d0/text,Alle dokumenter må skannes før godkjenning. [color=CRIMSON]Forræderne vil bli utryddet[/color]. Jeg garanterer det.
Text/d1/text,"Å hjelpe motstandsmedlemmer har nettopp blitt mye farligere, men [color=CHARTREUSE]sannheten må spres[/color]."
Choice/bd/disabled_text,
Choice/be/disabled_text,
Choice/bf/disabled_text,
Choice/c4/disabled_text,
Choice/c5/disabled_text,
Choice/cb/disabled_text,
Choice/cc/disabled_text,
