keys,pt
Text/d2/text,"Após o seu turno, você é levado a uma reunião secreta da resistência em uma fábrica de amido abandonada."
Text/d3/text,Uma batata desgastada com cicatrizes de batalha se dirige ao grupo reunido.
Text/d4/text,O tempo de sussurros e panfletos acabou. O governo mostrou suas verdadeiras cores.
Text/d5/text,Nossas fontes confirmam que as fábricas de processamento [wave amp=15 freq=2][color=DARK_VIOLET]Root Reserve[/color][/wave] estão aumentando a produção.
Text/d6/text,"O que significa [tornado radius=3 freq=3][color=CRIMSON]mais de nossos irmãos e irmãs desaparecidos, processados, consumidos[/color][/tornado]."
Text/d7/text,O líder bate com o punho na mesa. [pulse freq=3][color=CHARTREUSE]Isso acaba agora.[/color][/pulse] Temos um plano para atacar o coração da operação deles.
Text/d8/text,"Sasha desenrola planos detalhados na mesa. Em três dias, lançaremos nossa ofensiva principal."
Text/d9/text,"Enquanto uma equipe cria uma diversão no complexo principal do governo, outra infiltrará na maior instalação da Root Reserve."
Text/da/text,"Nosso objetivo: obter [color=CHARTREUSE]provas irrefutáveis[/color] do que acontece lá dentro, transmiti-las para toda Spud."
Text/db/text,Sasha aponta para uma seção dos planos. É aqui que você entra.
Text/dc/text,Precisamos de alguém dentro da Alfândega de Spud para garantir que nossos operativos possam cruzar a fronteira para a missão.
Text/dd/text,Podemos contar com você para ser essa pessoa?
Choice/de/text,Farei o que for necessário para expor a verdade.
Choice/df/text,Parece perigoso. E se formos pegos?
Choice/e0/text,Existe outra maneira que não coloque tantos em risco?
Text/e1/text,O rosto de Sasha se ilumina de esperança. Obrigada. [color=CHARTREUSE]Sua coragem salvará inúmeras vidas.[/color]
Text/e2/text,"Ela aperta sua mão. Quando tudo isso acabar, [color=CHARTREUSE]você será lembrado como um herói da revolução.[/color]"
Text/e3/text,Sasha acena solenemente. É perigoso. Não vou mentir para você sobre isso.
Text/e4/text,Todos nós podemos acabar [color=DARK_VIOLET]processados em Root Reserve[/color] se falharmos.
Text/e5/text,"Mas não fazer nada é ainda mais perigoso. Para todos nós, a longo prazo."
Text/e6/text,A expressão de Sasha se torna sombria. Tentamos outros meios. Por anos.
Text/e7/text,Petições. Diplomacia silenciosa. Denúncias anônimas. Nada funcionou.
Text/e8/text,Às vezes você precisa arriscar tudo para mudar qualquer coisa.
Text/e9/text,Um debate acalorado explode entre os membros da resistência.
Text/ea/text,Alguns argumentam por uma abordagem mais agressiva — destruir completamente as fábricas de processamento.
Text/eb/text,Outros insistem que a ação violenta apenas voltaria a opinião pública contra eles.
Text/ec/text,BASTA! O líder silencia a sala com uma voz de comando.
Text/ed/text,"Não podemos nos dar ao luxo de estarmos divididos. Não agora, quando estamos tão perto."
Text/ee/text,Nosso objetivo é simples: revelar a verdade. Deixe o povo decidir o que acontece depois.
Text/ef/text,O líder se vira para se dirigir diretamente a você. Mas precisamos saber [color=YELLOW]onde você se posiciona[/color].
Text/f0/text,"Em três dias, nossos agentes se aproximarão do seu posto de controle. Eles carregarão [color=CHARTREUSE]cartões de identificação azuis[/color]."
Text/f1/text,Você vai ajudá-los a cruzar? Sua resposta agora determinará nosso próximo movimento.
Choice/f2/text,Vou ajudá-los a cruzar. Pelo futuro de Spud.
Choice/f3/text,"Não posso estar diretamente envolvido, mas olharei para o outro lado."
Choice/f4/text,Preciso de mais tempo para pensar sobre isso.
Text/f5/text,O líder aperta firmemente seu ombro. [color=CHARTREUSE]Sua coragem honra a todos nós.[/color]
Text/f6/text,"No terceiro dia, quando o sol estiver mais alto, nossos agentes virão."
Text/f7/text,"A senha é ""[wave amp=15 freq=3][color=CHARTREUSE]As raízes crescem profundamente.[/color][/wave]"" Lembre-se disso."
Text/f8/text,"O líder acena lentamente, claramente desapontado, mas compreensivo."
Text/f9/text,"Às vezes, o máximo que podemos pedir é que as pessoas não fiquem em nosso caminho."
Text/fa/text,Nossos agentes prosseguirão conforme planejado. Apenas... não dê o alarme.
Text/fb/text,A expressão do líder endurece. [color=YELLOW]Tempo é um luxo que não temos.[/color]
Text/fc/text,Mas forçar alguém a se juntar à nossa causa não nos torna melhores do que eles.
Text/fd/text,Prosseguiremos sem contar com sua ajuda. Consulte sua consciência.
Text/fe/text,"Enquanto a reunião termina, Sasha caminha com você de volta em direção ao posto de controle."
Text/ff/text,Aconteça o que acontecer... obrigada por tudo o que você fez.
Text/100/text,"Você retorna aos seus aposentos no posto de controle, sua mente correndo com o peso dos eventos por vir."
Text/101/text,"Em apenas três dias, tudo poderia mudar. [color=YELLOW]Para melhor ou pior.[/color]"
Choice/de/disabled_text,
Choice/f4/disabled_text,
Choice/f3/disabled_text,
Choice/f2/disabled_text,
Choice/e0/disabled_text,
Choice/df/disabled_text,
