keys,zh-CN
Character/173/name,广播员
Character/174/name,墨菲
Character/175/name,旁白
Character/176/name,安静的土豆
Character/177/name,担忧的土豆
Character/178/name,古老的土豆
Character/179/name,You
Character/17a/name,爱达荷首相
Character/17b/name,反抗军领袖
Character/17c/name,多疑的反抗军成员
Character/17d/name,大胆的反抗军成员
Character/17e/name,安全主管
Character/17f/name,安全官员
Character/180/name,斯普德·马舍森
Character/181/name,主管 罗斯特
Character/181/nicknames,"Russ,Russet,Supervisor Russet"
Character/182/name,红薯莎莎
Character/183/name,紧张的旅客
Character/184/name,维克多
Character/183/nicknames,
Character/184/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
