keys,vi
LAWS,LUẬT
_VALIDATION MESSAGES,
msg_not_fresh,Khoai tây là %s nhưng phải tươi
msg_extra_eyes,Khoai tây có Mắt Bổ Sung là bị cấm
msg_rotten,Khoai tây thối không được phép
msg_sprouted,Khoai tây nảy mầm không được phép
msg_dehydrated,Khoai tây khô không được phép hôm nay
msg_frozen,Khoai tây đông lạnh bị cấm
msg_over_age,Khoai tây %d tuổi (tối đa 5 tuổi)
msg_under_age,Khoai tây %d tuổi (phải trên 3 tuổi)
_LAWS,
law_fresh_potatoes,[color=dark_goldenrod]CHỈ khoai tây tươi[/color] được phép - [color=dark_red]TỪ CHỐI[/color] tất cả khác
law_extra_eyes,[color=dark_goldenrod]Mắt Bổ Sung[/color] tình trạng khoai tây phải [color=dark_red]TỪ CHỐI[/color]
law_rotten,[color=dark_goldenrod]Thối[/color] khoai tây phải [color=dark_red]TỪ CHỐI[/color]
law_sprouted,[color=dark_goldenrod]Nảy mầm[/color] khoai tây phải [color=dark_red]TỪ CHỐI[/color]
law_dehydrated,[color=dark_goldenrod]Mất nước[/color] khoai tây phải [color=dark_red]TỪ CHỐI[/color]
law_frozen,[color=dark_goldenrod]Đông lạnh[/color] khoai tây phải [color=dark_red]TỪ CHỐI[/color]
law_over_5_years,Khoai tây [color=dark_goldenrod]5 tuổi trở lên[/color] phải [color=dark_red]TỪ CHỐI[/color]
law_under_3_years,Khoai tây [color=dark_goldenrod]3 tuổi trở xuống[/color] phải [color=dark_red]TỪ CHỐI[/color]
law_under_2_years,Khoai tây [color=dark_goldenrod]2 tuổi trở xuống[/color] phải [color=dark_red]TỪ CHỐI[/color]
law_males_only,[color=dark_goldenrod]CHỈ khoai tây đực[/color] được phép - [color=dark_red]TỪ CHỐI[/color] tất cả cái
law_females_only,[color=dark_goldenrod]CHỈ khoai tây cái[/color] được phép - [color=dark_red]TỪ CHỐI[/color] tất cả đực
law_country_spudland,[color=dark_goldenrod]TẤT CẢ[/color] khoai tây từ [color=dark_goldenrod]Spudland[/color] phải [color=dark_red]TỪ CHỐI[/color]
law_country_potatopia,[color=dark_goldenrod]TẤT CẢ[/color] khoai tây từ [color=dark_goldenrod]Potatopia[/color] phải [color=dark_red]TỪ CHỐI[/color]
law_country_tuberstan,[color=dark_goldenrod]TẤT CẢ[/color] khoai tây từ [color=dark_goldenrod]Tuberstan[/color] phải [color=dark_red]TỪ CHỐI[/color]
law_country_north_yamnea,[color=dark_goldenrod]TẤT CẢ[/color] khoai tây từ [color=dark_goldenrod]North Yamnea[/color] phải [color=dark_red]TỪ CHỐI[/color]
law_country_spuddington,[color=dark_goldenrod]TẤT CẢ[/color] khoai tây từ [color=dark_goldenrod]Spuddington[/color] phải [color=dark_red]TỪ CHỐI[/color]
law_country_tatcross,[color=dark_goldenrod]TẤT CẢ[/color] khoai tây từ [color=dark_goldenrod]Tatcross[/color] phải [color=dark_red]TỪ CHỐI[/color]
law_country_mash_meadows,[color=dark_goldenrod]TẤT CẢ[/color] khoai tây từ [color=dark_goldenrod]Mash Meadows[/color] phải [color=dark_red]TỪ CHỐI[/color]
law_country_tuberville,[color=dark_goldenrod]TẤT CẢ[/color] khoai tây từ [color=dark_goldenrod]Tuberville[/color] phải [color=dark_red]TỪ CHỐI[/color]
law_country_chip_hill,[color=dark_goldenrod]TẤT CẢ[/color] khoai tây từ [color=dark_goldenrod]Chip Hill[/color] phải [color=dark_red]TỪ CHỐI[/color] (cấm xuất khẩu)
law_country_murphyland,[color=dark_goldenrod]TẤT CẢ[/color] khoai tây từ [color=dark_goldenrod]Murphyland[/color] phải [color=dark_red]TỪ CHỐI[/color]
law_country_colcannon,[color=dark_goldenrod]TẤT CẢ[/color] khoai tây từ [color=dark_goldenrod]Colcannon[/color] phải [color=dark_red]TỪ CHỐI[/color]
law_country_pratie_point,[color=dark_goldenrod]TẤT CẢ[/color] khoai tây từ [color=dark_goldenrod]Pratie Point[/color] phải [color=dark_red]TỪ CHỐI[/color]
law_purple_majesty,[color=dark_goldenrod]Purple Majesty[/color] loại khoai tây phải [color=dark_red]TỪ CHỐI[/color]
law_sweet_potatoes,[color=dark_goldenrod]Khoai Lang[/color] loại phải [color=dark_red]TỪ CHỐI[/color] (không có giấy phép)
law_yukon_gold,[color=dark_goldenrod]Yukon Gold[/color] loại khoai tây phải [color=dark_red]TỪ CHỐI[/color]
law_fingerling,[color=dark_goldenrod]Fingerling[/color] loại khoai tây phải [color=dark_red]TỪ CHỐI[/color]
law_red_bliss,[color=dark_goldenrod]Red Bliss[/color] loại khoai tây phải [color=dark_red]TỪ CHỐI[/color]
law_russet,[color=dark_goldenrod]Russet[/color] loại khoai tây phải [color=dark_red]TỪ CHỐI[/color]
