keys,sk
main_menu_feedback,Spätná väzba a chyby
main_menu_version,Verzia 1.2.0
main_menu_new_game,Nová hra
main_menu_continue,Pokračovať
main_menu_level_select,Výber úrovne
main_menu_score_attack,Útok na skóre
main_menu_options,Možnosti
main_menu_credits,Titulky
main_menu_exit,Ukončiť
select_language,Jazyk
social_discord_tooltip,Pridajte sa k nášmu Discordu!
social_steam_tooltip,Navštívte nás na Steame
social_twitch_tooltip,Integrácia Twitch
twitch_status_disabled,Zakázané
twitch_status_no_viewers,Žiadni diváci v poole
twitch_status_ready,{count} divákov pripravených
twitch_connection_disabled,Zakázané
twitch_connection_disconnected,Odpojené
twitch_connection_connected,Pripojené
twitch_connection_connecting,Pripájanie...
options_menu_title,Možnosti
options_difficulty,Obtiažnosť
options_difficulty_easy,Ľahká
options_difficulty_normal,Normálna
options_difficulty_expert,Odborník
options_music_volume,Hlasitosť hudby
options_sfx_volume,Hlasitosť zvukových efektov
options_camera_shake,Trasenie kamery
options_back,Späť
paused_menu_title,Pozastavené
shift_summary_title,SÚHRN ZMENY
shift_summary_continue,Pokračovať
shift_summary_restart,Reštart
shift_summary_main_menu,Hlavné menu
shift_summary_submit_score,Odoslať skóre
shift_summary_runner_stats,ŠTATISTIKY BEŽCA
shift_summary_document_stats,ŠTATISTIKY DOKUMENTU
shift_summary_performance,VÝKON
shift_summary_bonuses,BONUSY
_FORMAT KEYS,
time_format,{minutes}min {seconds}sek
_SHIFT SUMMARY DETAILS,
shift_complete_success,ZMENA {shift} DOKONČENÁ\nÚSPECH!
shift_complete_failure,ZMENA {shift} DOKONČENÁ\n{failure}
strike_limit_reached,LIMIT POKUSOV DOSIAHNUTÝ!
quota_not_met,KVÓTA NESPLNENÁ!
shift_summary_title_with_difficulty,SÚHRN ZMENY\n{difficulty}
runner_stats_template,\nŠTATISTIKY BEŽCA\nPokusy o útek: {runner_attempts}\nVypálené rakety: {fired}\nZasiahnutí bežci: {hit}\nPerfektné zásahy: {perfect}\nÚspešnosť zásahov: {rate}%
document_stats_template,ŠTATISTIKY DOKUMENTU\nOpečiatkované dokumenty: {stamped}\nSchválené zemiaky: {approved}\nZamietnuté zemiaky: {rejected}\nPerfektné pečiatky: {perfect_stamps}
bonus_stats_template,BONUSY\nBonus za rýchlosť spracovania: {processing_speed_bonus}\nBonus za presnosť pečiatky: {accuracy}\nBonus za perfektné zásahy: {perfect_hit_bonus}\nCelkový bodový bonus: {total_score_bonus}
performance_stats_template,VÝKON\nStrávený čas: {time_taken}\nOčakávané skóre: {expected_score}\nCelkové skóre: {score}\nProcento prevyšenia: {percent}%\nHodnotenie výkonu:\n{rating}
performance_exceptional,Výnimočný!
performance_excellent,Vynikajúci!
performance_good,Dobrý
performance_needs_improvement,Potrebuje zlepšenie
performance_poor,Slabý
global_leaderboard_title,Globálna tabuľka\n- {difficulty}
getting_leaderboard_scores,Získavanie skóre z rebríčka...
_PAUSE OPTIONS OVERLAY,
reset_game_label,Resetovať hru:
reset_game_button,Resetovať
reset_game_success,Reset dokončený!
mute_label,Stlmiť
fullscreen_label,Celá obrazovka:
resolution_label,Rozlíšenie:
antialiasing_label,Anti-Aliasing:
screenshake_label,Trasenie obrazovky:
mouse_sens_label,Citlivosť myši:
___ LOADING SCREEN,
Loading…,Načítava sa…
___ DIALOGS IN GAME,
You lose.,prehráte.
You won!,Vyhrali ste!
Thanks for playing!,"Ďakujeme, že hráte!"
