keys,es
sex_male,Hombre
sex_female,Mujer
condition_fresh,Fresco
condition_extra_eyes,Ojos extra
condition_rotten,Podrido
condition_sprouted,Germinado
condition_dehydrated,Deshidratado
condition_frozen,Congelado
race_russet,Russet
race_yukon_gold,Yukon Gold
race_sweet_potato,Batata
race_purple_majesty,Purple Majesty
country_spudland,Spudlandia
country_potatopia,Patatopia
country_tuberstan,Tuberistán
country_north_yamnea,Yamnea del Norte
country_spuddington,Spuddington
country_tatcross,Tatcross
country_mash_meadows,Praderas de Puré
country_tuberville,Tuberville
country_chip_hill,Colina Chip
country_murphyland,Murphylandia
country_colcannon,Colcannon
country_pratie_point,Punta Pratie
