keys,pt
Text/299_suppress1/text,O caos irrompe enquanto o ataque da resistência começa. Explosões abalam o posto de controle.
Text/299_suppress2/text,"Você poderia correr. Você poderia se esconder. Em vez disso, você [color=DARK_ORANGE]escolhe o seu lado[/color]."
Text/299_suppress3/text,Russet agarra seu braço. [pulse freq=2][color=YELLOW]AGORA É A SUA CHANCE![/color][/pulse] Prove sua lealdade!
Text/299_suppress4/text,A resistência está tentando invadir o portão leste! [color=CRIMSON]Impeça-os![/color]
Text/299_suppress5/text,Você aperta sua arma. Estas poderiam ser pessoas que você conhece. Pessoas que você ajudou.
Text/299_suppress6/text,Mas a sobrevivência tem um preço. [color=DARK_ORANGE]Você fez sua escolha.[/color]
Text/299_suppress7/text,[pulse freq=3][color=CRIMSON]Lute pelo estado![/color][/pulse] Suprima o ataque da resistência!
Text/299_suppress8/text,"Quando a fumaça se dissipa, corpos jazem espalhados pelo chão. Alguns usam distintivos da resistência."
Text/299_suppress9/text,[color=STEEL_BLUE]Você reconhece rostos entre os caídos.[/color]
Text/299_suppress10/text,Murphy jaz entre os mortos. Seus olhos fitam o nada. A foto de Tommy apertada em sua mão.
Text/299_suppress11/text,[color=STEEL_BLUE]Ele morreu lutando por algo em que acreditava. Você ajudou a matá-lo.[/color]
Text/300/text,"O ataque da resistência falhou. O posto de controle permanece, mais forte do que nunca. E você permanece em seu posto."
Text/301/text,[pulse freq=2][color=GOLD]SALVE O PRIMEIRO-MINISTRO IDAHO![/color][/pulse] Defensor de Spud! Vencedor de traidores!
Text/302/text,"Uma batata enorme em regalia ornamentada desce de um veículo blindado, flanqueado por guardas de elite."
Text/303/text,Idaho inspeciona o posto de controle com olhos frios e calculistas.
Text/304/text,"Russet apressa-se para a frente, curvando-se profundamente. Primeiro-Ministro! Estamos honrados com sua presença!"
Text/305/text,Os traidores foram [color=DARK_VIOLET]processados[/color] como você ordenou. A produção aumentou 40% neste trimestre!
Text/306/text,E este é o oficial que permaneceu leal durante a revolta?
Text/307/text,"Sim, Primeiro-Ministro. Dedicação inabalável. Reportou atividades suspeitas. Um cidadão modelo."
Text/308/text,"Idaho avança, prendendo uma medalha em seu peito - [color=GOLD]O Tubérculo Dourado[/color]."
Text/309/text,Por serviço exemplar. Você provou que a [color=DARK_ORANGE]lealdade a Spud[/color] sempre será recompensada.
Choice/30a/text,"Obrigado, Primeiro-Ministro. Glória a Spud."
Choice/30b/text,"Eu apenas cumpri meu dever, senhor. (Força um sorriso)"
Text/30c/text,O sorriso de Idaho não alcança seus olhos. Sim. Você certamente o fez.
Text/30d/text,Idaho o estuda por um longo momento. Dever. [color=STEEL_BLUE]Uma palavra tão simples para ações tão complicadas.[/color]
Text/30e/text,"Pergunto-me que [color=CRIMSON]pesadelos[/color] visitam aqueles que cumprem seu ""dever"" tão bem."
Text/30f/text,"Um banquete é realizado em honra da vitória. Mesas gemem com comida, incluindo porções generosas de [color=DARK_VIOLET]Reserva de Raiz[/color]."
Text/310/text,Russet levanta um copo de líquido espesso e roxo. Um brinde! Aos [color=CRIMSON]traidores que nos nutrem[/color]!
Text/311/text,A sala ri. Alguns nervosamente. A maioria genuinamente.
Text/312/text,"Ele desliza um prato na sua direção. Experimente o novo lote. [color=DARK_VIOLET]""Mistura da Resistência.""[/color] A contribuição de Sasha para o futuro de Spud."
Text/313/text,Seu estômago revira. A comida no prato. [color=CRIMSON]Sasha.[/color] A prima de Murphy. A esposa da foto.
Text/314/text,[tornado radius=3 freq=2][color=CRIMSON]Todos eles.[/color][/tornado]
Choice/315/text,Force-se a comer - mantenha seu disfarce
Choice/316/text,Empurre o prato - você não consegue fazer isso
Text/317/text,Você leva o garfo aos lábios. Feche os olhos. [color=STEEL_BLUE]Mastigue. Engula. Não pense.[/color]
Text/318/text,"Russet acena aprovadoramente. ""Bom. [color=DARK_ORANGE]Você irá longe.[/color]"""
Text/319/text,"Você empurra o prato. ""Não estou me sentindo bem. A emoção do dia..."""
Text/31a/text,"Os olhos de Russet se estreitam brevemente, depois suavizam. Claro. Que [color=YELLOW]constituição sensível[/color]."
Text/31b/text,"Descanse. Amanhã, temos [color=CRIMSON]mais processamento[/color] para supervisionar."
Text/31c/text,Você retorna aos seus aposentos. A medalha pesa em seu peito.
Text/31d/text,Você tira a foto da esposa desaparecida. Ela provavelmente está no mesmo lote que as outras agora.
