keys,it
Text/299_suppress1/text,Il caos dilaga mentre l'attacco della resistenza ha inizio. Esplosioni scuotono il checkpoint.
Text/299_suppress2/text,"Potresti scappare. Potresti nasconderti. Invece, [color=DARK_ORANGE]scegli la tua parte[/color]."
Text/299_suppress3/text,Russet ti afferra il braccio. [pulse freq=2][color=YELLOW]ORA O MAI PIÙ![/color][/pulse] Dimostra la tua lealtà!
Text/299_suppress4/text,La resistenza sta cercando di sfondare il cancello est! [color=CRIMSON]Fermali![/color]
Text/299_suppress5/text,Afferri la tua arma. Potrebbero essere persone che conosci. Persone che hai aiutato.
Text/299_suppress6/text,Ma la sopravvivenza ha un prezzo. [color=DARK_ORANGE]Hai fatto la tua scelta.[/color]
Text/299_suppress7/text,[pulse freq=3][color=CRIMSON]Combatti per lo stato![/color][/pulse] Sopprimi l'attacco della resistenza!
Text/299_suppress8/text,"Quando il fumo si dirada, corpi giacciono a terra. Alcuni indossano distintivi della resistenza."
Text/299_suppress9/text,[color=STEEL_BLUE]Riconosci volti tra i caduti.[/color]
Text/299_suppress10/text,Murphy giace tra i morti. I suoi occhi fissano il vuoto. La foto di Tommy stretta nella sua mano.
Text/299_suppress11/text,[color=STEEL_BLUE]È morto combattendo per qualcosa in cui credeva. Tu hai contribuito a ucciderlo.[/color]
Text/300/text,"L'attacco della resistenza è fallito. Il checkpoint resiste, più forte che mai. E tu rimani al tuo posto."
Text/301/text,[pulse freq=2][color=GOLD]LUNGA VITA AL PRIMO MINISTRO IDAHO![/color][/pulse] Difensore di Spud! Sterminatore di traditori!
Text/302/text,"Una patata imponente in sfarzose insegne scende da un veicolo blindato, affiancata da guardie d'élite."
Text/303/text,Idaho ispeziona il checkpoint con occhi freddi e calcolatori.
Text/304/text,"Russet si affretta in avanti, inchinandosi profondamente. Primo Ministro! Siamo onorati della vostra presenza!"
Text/305/text,I traditori sono stati [color=DARK_VIOLET]processati[/color] come da voi ordinato. La produzione è aumentata del 40% questo trimestre!
