keys,fr
Text/299_suppress1/text,Le chaos éclate alors que l'attaque de la résistance commence. Des explosions secouent le poste de contrôle.
Text/299_suppress2/text,"Vous pourriez fuir. Vous pourriez vous cacher. Au lieu de cela, vous [color=DARK_ORANGE]choisissez votre camp[/color]."
Text/299_suppress3/text,Russet vous attrape le bras. [pulse freq=2][color=YELLOW]C'EST VOTRE CHANCE ![color][/pulse] Prouvez votre loyauté !
Text/299_suppress4/text,La résistance tente de forcer la porte est ! [color=CRIMSON]Arrêtez-les ![color]
Text/299_suppress5/text,Vous serrez votre arme. Ce pourraient être des gens que vous connaissez. Des gens que vous avez aidés.
Text/299_suppress6/text,Mais la survie a un prix. [color=DARK_ORANGE]Vous avez fait votre choix.[/color]
Text/299_suppress7/text,[pulse freq=3][color=CRIMSON]Battez-vous pour l'État ![color][/pulse] Réprimez l'attaque de la résistance !
Text/299_suppress8/text,"Quand la fumée se dissipe, des corps jonchent le sol. Certains portent des insignes de la résistance."
Text/299_suppress9/text,[color=STEEL_BLUE]Vous reconnaissez des visages parmi les morts.[/color]
Text/299_suppress10/text,Murphy gît parmi les morts. Ses yeux fixent le vide. La photo de Tommy serrée dans sa main.
Text/299_suppress11/text,[color=STEEL_BLUE]Il est mort en se battant pour quelque chose en quoi il croyait. Vous avez aidé à le tuer.[/color]
Text/300/text,"L'attaque de la résistance a échoué. Le poste de contrôle tient bon, plus fort que jamais. Et vous restez à votre poste."
Text/301/text,[pulse freq=2][color=GOLD]GLOIRE AU PREMIER MINISTRE IDAHO ![color][/pulse] Défenseur de Spud ! Vainqueur des traîtres !
Text/302/text,"Une pomme de terre massive en tenue d'apparat descend d'un véhicule blindé, flanquée de gardes d'élite."
Text/303/text,Idaho inspecte le poste de contrôle avec des yeux froids et calculateurs.
Text/304/text,"Russet s'avance précipitamment, s'inclinant profondément. Premier Ministre ! Nous sommes honorés de votre présence !"
Text/305/text,Les traîtres ont été [color=DARK_VIOLET]traités[/color] comme vous l'avez ordonné. La production a augmenté de 40 % ce trimestre !
Text/306/text,Et c'est l'officier qui est resté loyal pendant le soulèvement ?
Text/307/text,"Oui, Premier Ministre. Dévouement inébranlable. A signalé des activités suspectes. Un citoyen modèle."
Text/308/text,"Idaho s'avance, épinglant une médaille sur votre poitrine - [color=GOLD]Le Tubercule d'Or[/color]."
Text/309/text,Pour service exceptionnel. Vous avez prouvé que la [color=DARK_ORANGE]loyauté envers Spud[/color] sera toujours récompensée.
Choice/30a/text,"Merci, Premier Ministre. Gloire à Spud."
Choice/30b/text,"Je n'ai fait que mon devoir, monsieur. (Force un sourire)"
Text/30c/text,Le sourire d'Idaho n'atteint pas ses yeux. Oui. Vous l'avez certainement fait.
Text/30d/text,Idaho vous observe longuement. Devoir. [color=STEEL_BLUE]Un mot si simple pour des actions si compliquées.[/color]
Text/30e/text,Je me demande quels [color=CRIMSON]cauchemars[/color] visitent ceux qui font si bien leur « devoir ».
Text/30f/text,"Un festin est organisé en l'honneur de la victoire. Les tables ploient sous la nourriture, y compris de généreuses portions de [color=DARK_VIOLET]Réserve Racinaire[/color]."
Text/310/text,Russet lève un verre de liquide épais et violet. Un toast ! Aux [color=CRIMSON]traîtres qui nous nourrissent[/color] !
Text/311/text,La salle rit. Certains nerveusement. La plupart sincèrement.
Text/312/text,Il fait glisser une assiette vers vous. Goûtez la nouvelle fournée. [color=DARK_VIOLET]« Mélange de la Résistance. »[/color] La contribution de Sasha à l'avenir de Spud.
Text/313/text,Votre estomac se noue. La nourriture dans l'assiette. [color=CRIMSON]Sasha.[/color] La cousine de Murphy. La femme de la photo.
Text/314/text,[tornado radius=3 freq=2][color=CRIMSON]Tous.[/color][/tornado]
Choice/315/text,Forcez-vous à manger - maintenez votre couverture
Choice/316/text,Repoussez l'assiette - vous ne pouvez pas faire ça
Text/317/text,Vous portez la fourchette à vos lèvres. Fermez les yeux. [color=STEEL_BLUE]Mâchez. Avalez. Ne pensez pas.[/color]
Text/318/text,Russet hoche la tête d'un air approbateur. « Bien. [color=DARK_ORANGE]Vous irez loin.[/color] »
Text/319/text,Vous repoussez l'assiette. « Je ne me sens pas bien. L'excitation de la journée... »
Text/31a/text,"Les yeux de Russet se plissent un instant, puis s'adoucissent. Bien sûr. Une constitution si [color=YELLOW]sensible[/color]."
Text/31b/text,"Reposez-vous bien. Demain, nous aurons [color=CRIMSON]plus de traitement[/color] à superviser."
Text/31c/text,Vous retournez à vos quartiers. La médaille pèse lourd sur votre poitrine.
