keys,ar
Text/265/text,ينتهي الدوام بصمت مضطرب. تضاعفت دوريات الأمن. الجميع يتحرك بالهمس.
Text/266/text,بينما أنت في طريقك إلى غرفتك، تسمع ذلك - [color=YELLOW]صراخًا من جناح الضباط[/color].
Text/267/text,تستدير عند الزاوية لترى قوات الأمن [pulse freq=3][color=RED]تقتحم باب ساشا[/color][/pulse].
Text/268/text,يدوي صوت الزعيم يوكون. ساشا يا بطاطا حلوة! أنتِ قيد الاعتقال بتهمة [color=CRIMSON]الخيانة ضد أمة سباد![/color]
Text/269/text,تُسحب ساشا خارجًا وهي تقاوم. عيناها تتحديان حتى بينما يلوي الحراس ذراعيها خلف ظهرها.
Text/26a/text,[tornado radius=4 freq=3][color=CHARTREUSE]الحقيقة ستظهر! لا يمكنك إسكاتنا جميعًا![/color][/tornado]
Text/26b/text,تجد نظراتها عينيك في حشد المتفرجين. يبدو أن الزمن يتوقف.
Text/26c/text,إدراك... ثم [color=CRIMSON]فهم مدمر[/color]. لقد خنتَ موقعها. إنها تعلم.
Text/26d/text,لا تتكلم. النظرة تكفي. [color=STEEL_BLUE]خيبة أمل أعمق من الكراهية.[/color]
Text/26e/text,وميض لشيء ما - [color=CHARTREUSE]أمل؟ ثقة؟[/color] - يعبر وجهها.
Text/26f/text,"تتحرك شفتاها بصمت: ""[color=CHARTREUSE]الجذور تضرب عميقًا.[/color]"" رسالة. تذكير."
Text/270/text,يخرج راسيت من الظلال، والرضا يتسرب من كل مسامّه.
Text/271/text,حسنًا حسنًا. [color=CRIMSON]البطاطا الحلوة تفسد[/color]. لطالما علمت أن هناك شيئًا فاسدًا فيكِ يا ساشا.
Text/272/text,"يرفع راسيت مجلدًا. [color=DARK_VIOLET]بياناتك[/color] الصغيرة. ""أدلتك"". كلها استُعيدت."
Text/273/text,هل ظننتِ حقًا أنكِ تستطيعين تقويض [pulse freq=2][color=DARK_VIOLET]احتياطي الجذور[/color][/pulse]؟ تقويضني أنا؟
