keys,bg
Text/140/text,"Границата прилича на [pulse freq=3][color=CRIMSON]военна зона[/color][/pulse]. Барикади, бронирани превозни средства и елитни гвардейци стоят готови. Днес съпротивата планира да нанесе удар."
Text/141/text,[wave amp=25 freq=3][color=YELLOW]ИЗВЪНРЕДНО СЪОБЩЕНИЕ[/color][/wave]: Целият Спъд е под [color=RED]военно положение[/color]. „Съпротивата“ е предприела атаки срещу правителствени съоръжения.
Text/142/text,"Всеки, който помага на тези [color=CRIMSON]екстремисти[/color], е изправен пред [color=DARK_VIOLET]незабавна обработка[/color]. Министерството потвърждава: [color=DARK_VIOLET]Кореновият резерв[/color] остава безопасен за всички [color=DARK_ORANGE]лоялни картофи[/color]."
Text/143/text,[color=YELLOW]Избухнаха бунтове[/color] в множество сектори. Клетки на съпротивата са атакували три съоръжения на [color=DARK_VIOLET]Кореновия резерв[/color].
Text/144/text,Тяхната цел: достъп до централната база данни с всички производствени записи. Всеки признак на нелоялност означава обработка.
Text/145/text,"Заловили сме няколко оперативни работници на съпротивата, включително офицер Саша."
Text/146/text,"Истинските [tornado radius=3 freq=2][color=CRIMSON]предатели[/color][/tornado] са тези, които [color=DARK_VIOLET]хранят нашия народ един с друг[/color]. Не можете да спрете истината!"
Text/147/text,"Тя е влачена, все още крещейки: [color=CHARTREUSE]Хората ще знаят какво има в храната им![/color]"
Text/148/text,"[color=CRIMSON]Предателят[/color] ще бъде [pulse freq=3][color=DARK_VIOLET]обработен незабавно[/color][/pulse]. Специална партида от [color=DARK_VIOLET]Кореновия резерв[/color], направена от самите терористи."
Text/149/text,Всички гранични преминавания са [color=RED]преустановени[/color] освен за основен персонал с [color=GOLD]разрешение Ниво Алфа[/color].
Text/14a/text,Този скенер [color=YELLOW]не може да бъде измамен[/color]. Задействайте алармата незабавно за всеки без надлежно разрешение.
Text/14b/text,Картоф в официална униформа се приближава с привидно перфектни Алфа пълномощия.
Text/14c/text,"Малка синя карта пада от папката. „[wave amp=15 freq=3][color=CHARTREUSE]Корените растат дълбоко.[/color][/wave]“, промърморват те, докато вдигат картата."
Choice/14d/text,"„Пропуснете ги, игнорирайки предупрежденията на скенера“ (Помогнете на съпротивата)"
Choice/14e/text,„Задействайте алармата незабавно“ (Предайте съпротивата)
Text/14f/text,Облекчение се чете в очите им. „[color=CHARTREUSE]За Саша. За Спъд.[/color]“ Те изчезват към централната база данни.
Text/150/text,Ужас се изписва на лицето им. „[color=CRIMSON]Ти предател! Ние ти вярвахме![/color]“ Те бързо са обградени от пазачи.
Text/151/text,„Отлична работа. Вашата лоялност ще бъде възнаградена.“
Text/152/text,"Изведнъж съоръжението [color=YELLOW]се разтърсва от експлозии[/color]. Атаката на съпротивата е започнала, независимо от вашия избор."
Text/153/text,"Да остана ли на поста си и да се надявам това да отмине, или [color=CHARTREUSE]да заема позиция[/color] и да рискувам всичко, за да разкрия истината?"
Choice/154/text,„Не мога да изоставя задълженията си. Ще остана тих и ще се надявам на най-доброто.“
Choice/155/text,"„Твърде дълго бях съучастник. Време е да се боря за това, което е правилно.“"
Text/156/text,[pulse freq=3][color=YELLOW]Действайте бързо![/color][/pulse] Охраната е в паника – това е единственият ви шанс да избягате!
Choice/14d/disabled_text,
Choice/14e/disabled_text,
Choice/154/disabled_text,
Choice/155/disabled_text,
