keys,it
Character/173/name,Conduttore radiofonico
Character/174/name,Ufficiale collega
Character/175/name,Narratore
Character/176/name,Patata silenziosa
Character/177/name,Patata preoccupata
Character/178/name,Patata antica
Character/179/name,Tu
Character/17a/name,Primo Ministro Idaho
Character/17b/name,Capo della resistenza
Character/17c/name,Membro diffidente della resistenza
Character/17d/name,Membro sfacciato della resistenza
Character/17e/name,Capo della sicurezza
Character/17f/name,Ufficiale di sicurezza
Character/180/name,Spud Purètti
Character/181/name,Supervisore Russet
Character/181/nicknames,"Russ,Russet,Supervisore Russet"
Character/182/name,Patata dolce Sasha
Character/183/name,Viaggiatore nervoso
Character/183/nicknames,
Character/173/nicknames,
Character/182/nicknames,
Character/180/nicknames,
Character/17f/nicknames,
Character/17e/nicknames,
Character/17d/nicknames,
Character/17c/nicknames,
Character/17b/nicknames,
Character/17a/nicknames,
Character/179/nicknames,
Character/178/nicknames,
Character/177/nicknames,
Character/176/nicknames,
Character/175/nicknames,
Character/174/nicknames,
