keys,ko
sex_male,남성
sex_female,여성
condition_fresh,신선함
condition_extra_eyes,과도한 눈
condition_rotten,썩음
condition_sprouted,싹이 남
condition_dehydrated,탈수됨
condition_frozen,냉동됨
race_russet,러스셋
race_yukon_gold,유콘 골드
race_sweet_potato,고구마
race_purple_majesty,퍼플 마제스티
country_spudland,스퍼드랜드
country_potatopia,포테이토피아
country_tuberstan,튜버스탄
country_north_yamnea,북 얌니아
country_spuddington,스퍼딩턴
country_tatcross,탯크로스
country_mash_meadows,매쉬 메도우즈
country_tuberville,튜버빌
country_chip_hill,칩 힐
country_murphyland,머피랜드
country_colcannon,콜캐넌
country_pratie_point,프래티 포인트
