keys,es-419
sex_male,Masculino
sex_female,Femenino
condition_fresh,Fresco
condition_extra_eyes,Ojos Extra
condition_rotten,Podrido
condition_sprouted,Brotado
condition_dehydrated,Deshidratado
condition_frozen,Congelado
race_russet,Russet
race_yukon_gold,Yukon Gold
race_sweet_potato,Camote
race_purple_majesty,Majestad Púrpura
country_spudland,Papalandia
country_potatopia,Papatopia
country_tuberstan,Tubestán
country_north_yamnea,Ñamnea del Norte
country_spuddington,Patatadington
country_tatcross,Patacruce
country_mash_meadows,Praderas de Puré
country_tuberville,Tubérculovilla
country_chip_hill,Cerro de Chips
country_murphyland,Murphylandia
country_colcannon,Colcannon
country_pratie_point,Punto Patata
