keys,th
Text/78/text,อีกวันหนึ่งที่ด่านตรวจ แถวมันฝรั่งยาวเหยียดกว่าที่เคย ทุกคนต่างตึงเครียด
Text/79/text,คำสั่งใหม่จากเบื้องบน เราจะ[wave amp=15 freq=3][color=DARK_ORANGE]เพิ่มการปฏิเสธเป็นสองเท่า[/color][/wave] มันฝรั่งใดก็ตามที่ถือว่าไม่ปลอดภัยจะถูกกักตัวทันที
Text/7a/text,ฉันมีภารกิจพิเศษ เราได้รับข้อมูลเกี่ยวกับ[pulse freq=2][color=CRIMSON]ผู้ก่อปัญหา[/color][/pulse] จงระมัดระวังในการตรวจสอบของคุณ
Choice/7b/text,"""ครับท่าน ผมจะไม่ทำให้ท่านผิดหวัง"""
Choice/7c/text,"""เรากำลังพูดถึงผู้ก่อปัญหาประเภทไหนกันครับ?"""
Text/7d/text,ดีมาก ฉันรู้ว่าฉันพึ่งพาคุณได้ ด้วยทัศนคติแบบนี้ คุณจะไปได้ไกล
Text/7e/text,พวกที่[color=CRIMSON]คุกคามวิถีชีวิตของเรา[/color] อย่าถามมากนักถ้าคุณรู้ว่าอะไรดีสำหรับตัวคุณเอง
Text/7f0/text,"บอกหน่อยสิ... คุณเหมือนพี่ชายของฉันมากเลย"
Text/7f/text,[color=STEEL_BLUE]ได้โปรด ผมขอร้อง![/color] ภรรยาของผม - เธอชื่อ[color=GOLD]มาริส[/color] - เธอควรจะอยู่ข้างหลังผม
Text/7fb/text,"เธอ[tornado radius=2 freq=3]ไม่เคยผ่านด่านศุลกากร[/tornado] พวกเขาบอกว่าเอกสารของเธอมี ""ความผิดปกติ"""
Text/80/text,ไม่มีใครบอกผมเลยว่าเกิดอะไรขึ้นกับเธอ ได้โปรด [color=CHARTREUSE]ช่วยผมตามหาเธอด้วย![/color]
Choice/81/text,"""ผมเสียใจด้วยครับ แต่ผมทำอะไรไม่ได้"""
Choice/82/text,"""ให้ผมลองดูว่าผมจะหาข้อมูลอะไรได้บ้าง ไม่รับปากนะ"""
Text/83/text,ก็เหมือนกับคนอื่นๆ... [color=STEEL_BLUE]ขอให้มโนธรรมของคุณหนักอึ้งเหมือนของผม[/color]
Text/83b/text,มันฝรั่งที่สิ้นหวังเดินโซซัดโซเซจากไป คุณสังเกตเห็นเธอมองรูปถ่ายเก่าๆ ก่อนที่เธอจะหายไป
Text/84/text,ขอบคุณครับ! แม้แต่ความหวังเล็กๆ น้อยๆ ก็ยังดีกว่าไม่มีเลย
Text/84b/text,เธอยื่น[color=GOLD]รูปถ่ายเก่าๆ[/color] ใส่มือคุณ เธอชื่อ[color=GOLD]มาริส ไพเพอร์[/color] เธอมีดวงตาที่อ่อนโยน ได้โปรดตามหาเธอด้วย
Text/84c/text,คุณมองดูรูปถ่าย มันฝรั่งสาวที่มีใบหน้าอ่อนโยนและรอยยิ้มอบอุ่น [color=GOLD]มาริส ไพเพอร์[/color]
Text/84d/text,เธอไปไหน? แถวการปฏิเสธนำไปสู่... ที่ไหนกันแน่?
Text/85/text,ฉันเห็นการแลกเปลี่ยนนั้น [color=DARK_ORANGE]การเห็นอกเห็นใจผู้ถูกปฏิเสธมีแต่จะนำไปสู่ปัญหา[/color] จงมุ่งมั่นกับหน้าที่ของคุณ
Choice/7b/disabled_text,
Choice/7c/disabled_text,
Choice/81/disabled_text,
Choice/82/disabled_text,
