keys,th
Text/d2/text,หลังเลิกกะ คุณถูกพาไปเข้าร่วมการประชุมลับของกลุ่มต่อต้านในโรงงานแป้งร้าง
Text/d2b/text,ก่อนที่เราจะเริ่ม... ฉันมีเรื่องจะสารภาพ
Text/d2c/text,"โน้ตที่คุณเจอวันแรกน่ะเหรอ? ""[color=GOLD]เพื่อนคนหนึ่ง[/color]""?"
Text/d2d/text,ซาช่ายิ้ม ฉันเห็นว่าคุณเก็บมันไว้ ฉลาดมาก ฉันรู้ว่าฉันเลือกหน่ออ่อนที่ถูกต้องแล้ว
Text/d2e/text,ฉันเฝ้าดูเจ้าหน้าที่ใหม่มาหลายเดือนแล้ว มองหาใครสักคนที่มี[color=CHARTREUSE]แววตาที่ตั้งคำถาม[/color] ใครสักคนที่อาจมองทะลุความเท็จได้
Text/d2f/text,สีหน้าของซาช่าซับซ้อน คุณแสดงมันให้รัสเซ็ตดู ฉันต้องหลบซ่อนตัวอยู่หลายสัปดาห์หลังจากนั้น
Text/d2g/text,แต่ถึงยังไงคุณก็มาอยู่ที่นี่ นั่นบอกฉันบางอย่างเกี่ยวกับจิตสำนึกของคุณ
Text/d2h/text,คุณทำลายมันทิ้ง ฉันไม่โทษคุณหรอก – มันเสี่ยงเกินไปที่จะเก็บไว้
Text/d2i/text,แต่คำพูดเหล่านั้นก็ยังคงอยู่ในหัวของคุณอยู่ดี ใช่ไหมล่ะ?
Text/d2j/text,"[color=CHARTREUSE]ฉันคือ ""เพื่อนคนหนึ่ง""[/color] และตอนนี้คุณก็รู้แล้วว่าทำไม"
Text/d2k/text,ซาช่ากางเอกสารที่ยึดมาได้บนโต๊ะ รายการการแปรรูปจากเดือนที่แล้ว
Text/d2l/text,คุณกวาดสายตาดูชื่อต่างๆ และเลือดของคุณก็เย็นเฉียบ
Text/d2m/text,นั่นไง [color=GOLD]มาริส ไพเพอร์[/color] ผู้หญิงคนนั้นในรูป
Text/d2n/text,"""[color=CRIMSON]สถานะ: แปรรูปแล้ว. ชุด RR-2847.[/color]"" ลงวันที่สามวันหลังจากที่สามีของเธอวิงวอนขอความช่วยเหลือจากคุณ"
Text/d2o/text,คุณสัมผัสรูปถ่ายในกระเป๋าของคุณ [color=STEEL_BLUE]เธอจากไปแล้ว และคุณก็ช่วยเธอไว้ไม่ได้[/color]
Text/d2p/text,แต่บางที... [color=CHARTREUSE]บางทีคุณอาจจะยังช่วยคนอื่นๆ ได้[/color]
Text/d2q/text,เมอร์ฟีปรากฏตัวออกมาจากเงามืด เฮ้ ดีใจที่คุณมาได้
Text/d2r/text,เมอร์ฟีชูแบบฟอร์ม RR-UTIL ที่ยับยู่ยี่ขึ้นมา ลูกพี่ลูกน้องของฉันก็อยู่ในรายชื่อนั้นด้วย [color=CHARTREUSE]เราจะทำเรื่องนี้ไปด้วยกัน[/color]
Text/d3/text,มันฝรั่งที่ผ่านโลกมามากพร้อมรอยแผลเป็นจากการต่อสู้กล่าวกับกลุ่มคนที่รวมตัวกัน
Text/d4/text,เวลาสำหรับการกระซิบกระซาบและใบปลิวได้จบลงแล้ว รัฐบาลได้เผยธาตุแท้ของมันออกมาแล้ว
Text/d5/text,แหล่งข่าวของเรายืนยันว่าโรงงานแปรรูป[wave amp=15 freq=2][color=DARK_VIOLET]รูท รีเสิร์ฟ[/color][/wave]กำลังเพิ่มกำลังการผลิต
Text/d6/text,ซึ่งหมายความว่า [tornado radius=3 freq=3][color=CRIMSON]พี่น้องของเราจำนวนมากขึ้นหายไป ถูกแปรรูป ถูกบริโภค[/color][/tornado]
Text/d7/text,ผู้นำทุบกำปั้นลงบนโต๊ะ [pulse freq=3][color=CHARTREUSE]เรื่องนี้จะจบลงเดี๋ยวนี้[/color][/pulse] เรามีแผนที่จะโจมตีศูนย์กลางการปฏิบัติงานของพวกเขา
Text/d8/text,ซาช่าคลี่แผนการโดยละเอียดบนโต๊ะ ในอีกสามวัน เราจะเริ่มการโจมตีหลักของเรา
Text/d9/text,ในขณะที่ทีมหนึ่งสร้างความปั่นป่วนที่อาคารรัฐบาลหลัก อีกทีมหนึ่งจะแทรกซึมเข้าไปในโรงงานรูท รีเสิร์ฟที่ใหญ่ที่สุด
Text/da/text,เป้าหมายของเรา: รวบรวม[color=CHARTREUSE]หลักฐานที่ไม่อาจโต้แย้งได้[/color]เกี่ยวกับสิ่งที่เกิดขึ้นภายใน และเผยแพร่ไปทั่วสปัด
Text/db/text,ซาช่าชี้ไปที่ส่วนหนึ่งของแผน นี่คือส่วนที่คุณจะเข้ามามีบทบาท
Text/dc/text,เราต้องการคนวงในที่ด่านตรวจสปัดคัสตอมส์ เพื่อให้แน่ใจว่าสายลับของเราจะสามารถข้ามชายแดนได้สำหรับภารกิจนี้
Text/dd/text,เราจะพึ่งพาคุณให้เป็นคนคนนั้นได้ไหม?
Choice/de/text,"""ผม/ฉันจะทำทุกวิถีทางเพื่อเปิดเผยความจริง"""
