keys,ar
sex_male,ذكر
sex_female,أنثى
condition_fresh,طازج
condition_extra_eyes,عيون إضافية
condition_rotten,فاسد
condition_sprouted,متبرعم
condition_dehydrated,مجفف
condition_frozen,مجمد
race_russet,راست
race_yukon_gold,يوكون جولد
race_sweet_potato,بطاطا حلوة
race_purple_majesty,الماجستي الأرجواني
country_spudland,سبودلاند
country_potatopia,بطاطوبيا
country_tuberstan,تيوبرستان
country_north_yamnea,يامنيا الشمالية
country_spuddington,سبودينغتون
country_tatcross,تاتكروس
country_mash_meadows,مروج المهروس
country_tuberville,تيوبرفيل
country_chip_hill,تل الشيبس
country_murphyland,ميرفيلاند
country_colcannon,كولكانون
country_pratie_point,براتي بوينت
