keys,de
Text/131/text,"Du duckst dich, während die Schlacht tobt. Es tut mir leid, Sasha. Ich bin [color=STEEL_BLUE]nicht so mutig wie du[/color]."
Text/132/text,Der [color=CRIMSON]Terroranschlag[/color] wurde abgewehrt! Die Rädelsführer werden gerade [color=DARK_VIOLET]verarbeitet[/color].
Text/133/text,"Häuptling Yukon schleppt Widerstandsmitglieder in Ketten herein, Sasha unter ihnen. ""Diese [color=CRIMSON]Verräter[/color] werden [color=DARK_VIOLET]endgültig verarbeitet[/color]."""
Text/134/text,"Sasha fängt deinen Blick auf. Trotz ihrer Blutergüsse enthält ihr Blick [wave amp=15 freq=2][color=CHARTREUSE]kein Urteil, nur Traurigkeit[/color][/wave]."
Text/135/text,"Du hast überlebt, indem du den Kopf gesenkt hast, aber [pulse freq=3][color=GOLD]zu welchem Preis?[/color][/pulse] Während die Produktion der [color=DARK_VIOLET]Wurzelreserve[/color] aus der Anlage weht, dreht sich dir der Magen um."
Text/136/text,Vielleicht gibt es noch eine Chance von innen. Oder vielleicht beruhigst du nur dein Gewissen.
Text/137/text,Du [tornado radius=3 freq=2][color=CHARTREUSE]verlässt deinen Posten[/color][/tornado] und rennst in Richtung der Kämpfe. Die Zeit für Vorsicht ist vorbei.
Text/138/text,"[pulse freq=3][color=GOLD]Beweise, dass du mit uns bist![/color][/pulse] Woher kennst du Sasha?"
Text/139/text,"[color=CHARTREUSE]Die Wurzeln wachsen tief![/color] Ich bin vom Kontrollpunkt, Sasha hat mich rekrutiert!"
Text/13a/text,Sie bringen sie gerade zur Verarbeitungsanlage. Wir müssen uns beeilen!
Text/13b/text,"Die Türen sprengen auf und enthüllen die [wave amp=25 freq=3][color=CRIMSON]schreckliche Wahrheit[/color][/wave] - Schleifmaschinen, Förderbänder, die Kartoffeln zu ihrem Untergang tragen."
Text/13c/text,Am Ende eines Bandes - Sasha und andere [color=CRIMSON]hilflos gebunden[/color]. Aufseher Russet steht an den Kontrollen.
Text/13d/text,"[color=RED]DU![/color] Ich hätte wissen müssen, dass du einer von ihnen bist! Tritt zurück oder ich starte den Prozessor!"
Text/13e/text,"Als Widerstandskämpfer Russet überwältigen, leitet Sasha die Anlagenkameras um. [color=YELLOW]Volk von Spud! Das ist die Wurzelreserve! Sie haben uns gegenseitig gefüttert![/color]"
Text/13f/text,Du bist für mich zurückgekommen. [color=CHARTREUSE]Wir haben es geschafft. Die Wahrheit ist jetzt draußen.[/color] Wir haben eine Zukunft aufzubauen!
