keys,pl
patch_1_2_0_title,SPUD CUSTOMS 1.2.0 - NOTATKI Z AKTUALIZACJI
patch_1_2_0_personal_note_header,OSOBISTA NOTATKA OD DEWELOPERA
patch_1_2_0_personal_note,"Ta aktualizacja jest poświęcona mojemu maluchowi, który spędził pierwsze miesiące życia na OIOM-ie – od 1 funta przy urodzeniu do obecnych 20 funtów czystej radości. Dziękuję wszystkim, którzy dołączyli do tej podróży – ponad 2000 graczy doświadczyło już Spud Customs!"
patch_1_2_0_visual_header,ULEPSZENIA WIZUALNE
patch_1_2_0_visual_1,Integracja animowanej grafiki: Zintegrowano nowe animowane GIF-y od StagNation w scenach początkowych
patch_1_2_0_visual_2,"Przebudowa grafiki: Przerysowano pierwszych pięć scen, które widzą gracze, dla poprawy jakości wizualnej"
patch_1_2_0_visual_3,Dynamiczne tła: Wizualizacje tła zmieniają się teraz wraz ze wzrostem trudności
patch_1_2_0_story_header,FABUŁA I NARRACJA
patch_1_2_0_story_1,Zachowanie wyborów: Wybory narracyjne są teraz prawidłowo przenoszone między wszystkimi poziomami
patch_1_2_0_story_2,"Wizualny postęp: Dodano wizualne wskaźniki postępu fabuły w głównych scenach rozgrywki, oparte na aktualnym numerze zmiany"
patch_1_2_0_story_3,Poprawki rozgałęzionych dialogów: Naprawiono problemy z rozgałęzionymi dialogami w końcowych scenach narracyjnych
patch_1_2_0_bugfix_header,POPRAWKI BŁĘDÓW
patch_1_2_0_bugfix_1,System osiągnięć: Naprawiono śledzenie osiągnięć – wszystkie osiągnięcia odblokowują się teraz prawidłowo
patch_1_2_0_bugfix_2,"Tablica wyników: Naprawiono problem, w którym tablica wyników zawieszała się podczas ładowania"
patch_1_2_0_bugfix_3,Drżenie ekranu: Drżenie ekranu prawidłowo resetuje się do stanu początkowego po każdym użyciu
patch_1_2_0_bugfix_4,Skalowanie trudności: Naprawiono współczynnik skalowania dla trybu łatwego
patch_1_2_0_bugfix_5,Wyświetlanie tła: Naprawiono brakujące tła podczas scen dialogowych
patch_1_2_0_bugfix_6,Czytelność tekstu: Poprawiono kolorystykę tekstu dla lepszej czytelności
patch_1_2_0_engagement_header,ZAANGAŻOWANIE GRACZY
patch_1_2_0_engagement_1,Prośby o recenzje: Dodano prośby o recenzje dla graczy wersji demo i pełnej gry
patch_1_2_0_engagement_2,Poprawki tłumaczeń: Różne ulepszenia tłumaczeń we wszystkich obsługiwanych językach
patch_1_2_0_technical_header,ULEPSZENIA TECHNICZNE
patch_1_2_0_technical_1,Rozszerzone wsparcie językowe: Teraz obsługiwane są wszystkie 31 języków wspieranych przez Steam
patch_1_2_0_technical_2,Przebudowa systemu tłumaczeń: Przeorganizowano pliki tłumaczeń dla lepszej konserwacji
