keys,en,ar,bg,cs,da,de,el,es,es-419,fi,fr,hu,id,it,ja,ko,nl,no,pl,pt,pt-BR,ro,ru,sk,sv,th,tr,uk,vi,zh-CN,zh-TW
Text/200/text,"Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now.","Hey, new spud! Tough shift, huh? Name's Murphy. Been here three seasons now."
Text/201/text,"I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think.","I saw you talking to Sasha earlier. She's... [color=STEEL_BLUE]different[/color]. Good different, I think."
Choice/202/text,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.,She seems nice. Gave me some advice about staying alert.
Choice/203/text,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.,Just introductions. Nothing special.
Text/204/text,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah,Murphy glances around nervously. Yeah
Text/205/text,"Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection.","Between you and me? That radio broadcast about ""missing potatoes""... my cousin went missing last month. Failed his inspection."
Text/206/text,"Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day.","Smart. Keep your head down, do your job. That's what I tell myself every day."
Text/207/text,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...,Murphy's voice drops. Though sometimes I wonder where all those rejected potatoes actually go...
Text/208/text,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria,In the cafeteria
Text/209/text,"You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious.","You stare at the thick, purple-brown paste. Everyone eats it without question. It's supposed to be nutritious."
