keys,fi
dialogue_spud_being_called_1,"Seuraava askel, kohtalo odottaa."
dialogue_spud_being_called_2,"Jonon kärjessä, totuuden hetki lähestyy."
dialogue_spud_being_called_3,"Astu eteenpäin, perunakunnan valittu."
dialogue_spud_being_called_4,Onnittelut! Odotuksesi onnistui.
dialogue_spud_being_called_5,Suuri Perunabyrokratia kutsuu sinut.
dialogue_spud_being_called_6,"Eteenpäin, jalo mukulainen! Paperit odottavat!"
dialogue_spud_being_called_7,Etene! Leima käy levottomaksi.
dialogue_spud_being_called_8,Liiku reippaasti! Lomake P-38B vaatii täyttämistä.
dialogue_spud_being_called_9,"Tule eteenpäin, kohtalo vaatii sinun saapumistasi."
dialogue_spud_being_called_10,"Lähesty tuomion tiskiä, mukulainen."
dialogue_spud_in_office_1,Ole kärsivällinen. Aika on harha.
dialogue_spud_in_office_2,Odottaminen rakentaa luonnetta. Ja tärkkelystä.
dialogue_spud_in_office_3,Jono liikkuu mystisillä tavoilla.
dialogue_spud_in_office_4,Sijaintisi on viranomaisten merkitsemä.
dialogue_spud_in_office_5,Jonossa seisominen: universaali vakio.
dialogue_spud_in_office_6,"Yksikään mukulainen ei ole valmis, ennen kuin odotus on sen maustamaa."
dialogue_spud_in_office_7,"Kärsivällisyys: ei ainoa hyve, mutta mainittu."
dialogue_spud_in_office_8,Byrokraattiset rattaat pyörivät hitaasti. Erittäin hitaasti.
dialogue_spud_in_office_9,"Ah, prosessin suloinen ääni!"
dialogue_spud_in_office_10,Tämän päivän jono on huomisen anekdootti.
dialogue_spud_in_office_11,Aika jonossa taittuu. Se on mitattu.
dialogue_spud_in_office_12,Odotustaso: Taso 43 saavutettu!
dialogue_warnings_1,"Ne, jotka vastustavat, kuoritaan täsmällisesti."
dialogue_warnings_2,Jonon rikkojat lähetetään Pikavalmisteluun.
dialogue_warnings_3,Jonon häirintä aiheuttaa luentoja jonoista.
dialogue_warnings_4,Tottelemattomuus johtaa Kuuman Öljyn Huoneeseen.
dialogue_warnings_5,"Meidän ei tarvitse olla reiluja, vain järjestäytyneitä."
dialogue_warnings_6,Perunan Noudattamisen Komitea näkee kaiken.
dialogue_warnings_7,Hankaluuden aiheuttajat: murskattu ilman voita.
dialogue_warnings_8,Kaaoksen luojista tulee ranskanperunoita. Nopeasti.
dialogue_warnings_9,Sääntöjen rikkojat kohtaavat kahdesti paistetun kohtalon.
dialogue_warnings_10,Jonojen Tarkastajat ovat merkinneet olemassaolosi.
dialogue_warnings_11,Kansiotasi: merkitty PUNAISELLA leimalla.
dialogue_misc_1,Missä kaikki ovat?
dialogue_misc_2,Hätätilanne? Jatka odottamista järjestyksessä.
dialogue_misc_3,Luettiinko seitsemäs kappale odotussopimuksesta?
dialogue_misc_4,"Kadonnut omaisuus: löydetty, verotettu, unohdettu."
dialogue_misc_5,"Jos peruna valittaa, kuuluuko ääni?"
dialogue_misc_6,Valo korvattu kyltillä: 'Lisää Tunnelia.'
dialogue_misc_7,Kuolema on tilapäinen. Byrokratia on ikuinen.
dialogue_misc_8,Arkistointijärjestelmä on saavuttanut tajunnan. Pysy rauhallisena.
dialogue_misc_9,Tämän päivän onnenumerot eivät merkitse mitään. Pahoittelut.
dialogue_misc_10,"Apokalypsi? Ota numero, odota häipymistä."
dialogue_misc_11,Ei todisteita tarkoittaa lisää lomakkeita.
dialogue_document_interaction_1,"Ota dokumenttisi, kiitos."
dialogue_document_interaction_2,OTA NE!
dialogue_perfect_stamp_1,Erinomaista työtä!
dialogue_perfect_stamp_2,NÄIN leimataan!
dialogue_perfect_stamp_3,Tarkkuus huipussaan!
dialogue_perfect_stamp_4,Leimajumalat hymyilevät sinulle!
dialogue_perfect_stamp_5,Oppikirjatekniikkaa!
dialogue_runner_stopped_1,Kiinni jäit!
dialogue_runner_stopped_2,Ei minun vahtivuorollani!
dialogue_runner_stopped_3,"Oikeus on tapahtunut, kuumana ja tuoreena!"
dialogue_runner_stopped_4,Niin käy karkulaisille!
dialogue_runner_stopped_5,Kohde eliminoitu!
dialogue_runner_escaped_1,Pahus! He pääsivät pakoon!
dialogue_runner_escaped_2,Voi piru! Liian hidas!
dialogue_runner_escaped_3,Se lipsahti läpi...
dialogue_runner_escaped_4,Tästä seuraava paperisota...
dialogue_runner_escaped_5,Ei paras hetkeni.
dialogue_wrong_stamp_1,"Hetkinen, tuo ei ole oikein..."
dialogue_wrong_stamp_2,"Hmm, oliko tämä tarkoitus?"
dialogue_wrong_stamp_3,Muste... se pettää minut!
dialogue_wrong_stamp_4,Oho.
dialogue_strike_received_1,Tuo jää minun merkintöihini...
dialogue_strike_received_2,Ministeriö ei pidä tästä.
dialogue_strike_received_3,Yksi askel lähempänä muhennosta...
dialogue_strike_received_4,Virhe! Mutta ei se hyvä sellainen.
