keys,da
Text/56/text,Velkommen til nationen Kartoffel. Et land af [pulse freq=2][color=MEDIUM_VIOLET_RED]velstand for alle kartofler[/color][/pulse].
Text/57/text,Du er udvalgt til en [color=DARK_ORANGE]afgørende rolle[/color] i beskyttelsen af vores grænser.
Text/59/text,SE HER! Den [color=MEDIUM_VIOLET_RED]mægtige mur[/color] der beskytter vores nation. Her vil du tjene og sikre kun de værdige kommer ind.
Text/5a/text,"Ah, den nye spire. Lyt omhyggeligt, din rolle er [color=DARK_ORANGE]afgørende for Kartoffels sikkerhed[/color]."
Text/184/text,Dit velbefindende [wave amp=20 freq=3][color=YELLOW]afhænger af din præstation[/color][/wave].
Text/5b/text,Jeg udnævner dig til toldembedsmand i [pulse freq=1][color=MEDIUM_VIOLET_RED]glorværdige Kartoffel[/color][/pulse]. Nogle spørgsmål?
Choice/5c/text,Jeg er klar til at tjene Kartoffel med hele min stivelse!
Choice/5d/text,Hvad sker der præcis med afviste kartofler?
Text/5e/text,"Fremragende! Det er den slags begejstring, vi har brug for. Du kan måske fortjene en [color=DARK_VIOLET]Rod Reserve[/color] udmærkelse."
Text/5f/text,De bliver... [color=DARK_VIOLET]behandlet[/color]. Ifølge protokollen. [color=DARK_VIOLET]Rod Reserve[/color] tager sig af alle detaljerne.
Text/60/text,Fokuser på dine pligter. [color=DARK_ORANGE]Ikke mere.[/color]
Text/61/text,"Din første vagt begynder nu. Tjek papirer omhyggeligt, afvis dem der ikke opfylder vores standarder."
Text/62/text,"Opfyld din kvote, undgå straffe. [color=MEDIUM_VIOLET_RED]Ære være Kartoffel![/color]"
Choice/5d/disabled_text,
Choice/5c/disabled_text,
