keys,pt
violation_condition_not_fresh,REJEITAR: Apenas batatas frescas permitidas. Esta batata está {condition}
violation_extra_eyes,REJEITAR: A condição Olhos Extra é proibida
violation_rotten,REJEITAR: Batatas podres são proibidas
violation_sprouted,REJEITAR: Batatas germinadas são proibidas
violation_dehydrated,REJEITAR: Batatas desidratadas são proibidas
violation_frozen,REJEITAR: Batatas congeladas são proibidas
violation_too_old,REJEITAR: Batata tem {age} anos (idade máxima: 4 anos)
violation_too_young_3,REJEITAR: Batata tem {age} anos (idade mínima: 4 anos)
violation_too_young_2,REJEITAR: Batata tem {age} anos (idade mínima: 3 anos)
violation_males_only,REJEITAR: Apenas batatas macho permitidas
violation_females_only,REJEITAR: Apenas batatas fêmea permitidas
violation_country_spudland,REJEITAR: Todas as batatas Spudland são proibidas
violation_country_potatopia,REJEITAR: Todas as batatas Potatopia são proibidas
violation_country_tuberstan,REJEITAR: Todas as batatas Tuberstan são proibidas
violation_country_north_yamnea,REJEITAR: Todas as batatas North Yamnea são proibidas
violation_country_spuddington,REJEITAR: Todas as batatas Spuddington são proibidas
violation_country_tatcross,REJEITAR: Todas as batatas Tatcross são proibidas
violation_country_mash_meadows,REJEITAR: Todas as batatas Mash Meadows são proibidas
violation_country_tuberville,REJEITAR: Todas as batatas Tuberville são proibidas
violation_country_chip_hill,REJEITAR: Todas as batatas Chip Hill são proibidas (restrições de exportação)
violation_country_murphyland,REJEITAR: Todas as batatas Murphyland são proibidas
violation_country_colcannon,REJEITAR: Todas as batatas Colcannon são proibidas
violation_country_pratie_point,REJEITAR: Todas as batatas Pratie Point são proibidas
violation_race_purple_majesty,REJEITAR: Tipos Purple Majesty são proibidos
violation_race_sweet_potato,REJEITAR: Tipos de batata-doce requerem licenças especiais (não disponíveis)
violation_race_yukon_gold,REJEITAR: Tipos Yukon Gold são proibidos
violation_expired_document,REJEITAR: Documento expirado em {date}
violation_invalid_potato,Esta batata cumpre todos os requisitos e deveria ter sido aprovada
